,journal_title,article_title,contributors,year,doi
0,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Tianyi Fan', 'Xiaohong Liu', 'Chenglai Wu', 'Qiang Zhang', 'Chuanfeng Zhao', 'Xin Yang', 'Yanglian Li']",2022,10.1007/s00376-021-1119-6
1,International Journal of Environmental Research and Public Health,International Journal of Environmental Research and Public Health,"['Ying Xu', 'Jie Wu', 'Zhenyu Han']",2022,10.3390/ijerph191912092
2,Environmental Research: Climate,Environmental Research: Climate,"['Arlene M Fiore', 'Sarah E Hancock', 'Jean-François Lamarque', 'Gustavo P Correa', 'Kai-Lan Chang', 'Muye Ru', 'Owen Cooper', 'Audrey Gaudel', 'Lorenzo M Polvani', 'Bastien Sauvage', 'Jerry R Ziemke']",2022,10.1088/2752-5295/ac9cc2
3,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['J. P. Dunne', 'L. W. Horowitz', 'A. J. Adcroft', 'P. Ginoux', 'I. M. Held', 'J. G. John', 'J. P. Krasting', 'S. Malyshev', 'V. Naik', 'F. Paulot', 'E. Shevliakova', 'C. A. Stock', 'N. Zadeh', 'V. Balaji', 'C. Blanton', 'K. A. Dunne', 'C. Dupuis', 'J. Durachta', 'R. Dussin', 'P. P. G. Gauthier', 'S. M. Griffies', 'H. Guo', 'R. W. Hallberg', 'M. Harrison', 'J. He', 'W. Hurlin', 'C. McHugh', 'R. Menzel', 'P. C. D. Milly', 'S. Nikonov', 'D. J. Paynter', 'J. Ploshay', 'A. Radhakrishnan', 'K. Rand', 'B. G. Reichl', 'T. Robinson', 'D. M. Schwarzkopf', 'L. T. Sentman', 'S. Underwood', 'H. Vahlenkamp', 'M. Winton', 'A. T. Wittenberg', 'B. Wyman', 'Y. Zeng', 'M. Zhao']",2020,10.1029/2019MS002015
4,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Guang Zeng', 'Olaf Morgenstern', 'Jonny H. T. Williams', 'Fiona M. O’Connor', 'Paul T. Griffiths', 'James Keeble', 'Makoto Deushi', 'Larry W. Horowitz', 'Vaishali Naik', 'Louisa K. Emmons', 'N. Luke Abraham', 'Alexander T. Archibald', 'Susanne E. Bauer', 'Birgit Hassler', 'Martine Michou', 'Michael J. Mills', 'Lee T. Murray', 'Naga Oshima', 'Lori T. Sentman', 'Simone Tilmes', 'Kostas Tsigaridis', 'Paul J. Young']",2022,10.1029/2022JD036452
5,Geoscientific Model Development,Geoscientific Model Development,"['Leyang Feng', 'Steven J. Smith', 'Caleb Braun', 'Monica Crippa', 'Matthew J. Gidden', 'Rachel Hoesly', 'Zbigniew Klimont', 'Margreet van Marle', 'Maarten van den Berg', 'Guido R. van der Werf']",2020,10.5194/gmd-13-461-2020
6,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['M. Michou', 'P. Nabat', 'D. Saint‐Martin', 'J. Bock', 'B. Decharme', 'M. Mallet', 'R. Roehrig', 'R. Séférian', 'S. Sénési', 'A. Voldoire']",2020,10.1029/2019MS001816
7,Weather and Climate Extremes,Weather and Climate Extremes,"['Tianyun Dong', 'Xian Zhu', 'Rong Deng', 'Yiling Ma', 'Wenjie Dong']",2022,10.1016/j.wace.2022.100497
8,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Zhenze Liu', 'Ruth M. Doherty', 'Oliver Wild', ""Fiona M. O'Connor"", 'Steven T. Turnock']",2022,10.5194/acp-22-1209-2022
9,Geoscientific Model Development,Geoscientific Model Development,"['Tommi Bergman', 'Risto Makkonen', 'Roland Schrödner', 'Erik Swietlicki', 'Vaughan T. J. Phillips', 'Philippe Le Sager', 'Twan van Noije']",2022,10.5194/gmd-15-683-2022
10,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Thanh Le', 'Deg-Hyo Bae']",2022,10.5194/acp-22-5253-2022
11,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Prodromos Zanis', 'Dimitris Akritidis', 'Aristeidis K. Georgoulias', 'Robert J. Allen', 'Susanne E. Bauer', 'Olivier Boucher', 'Jason Cole', 'Ben Johnson', 'Makoto Deushi', 'Martine Michou', 'Jane Mulcahy', 'Pierre Nabat', 'Dirk Olivié', 'Naga Oshima', 'Adriana Sima', 'Michael Schulz', 'Toshihiko Takemura', 'Konstantinos Tsigaridis']",2020,10.5194/acp-20-8381-2020
12,Nature Geoscience,Nature Geoscience,"['Robert J. Allen', 'Xueying Zhao', 'Cynthia A. Randles', 'Ryan J. Kramer', 'Bjørn H. Samset', 'Christopher J. Smith']",2023,10.1038/s41561-023-01144-z
13,Nature Communications,Nature Communications,"['James Weber', 'Scott Archer-Nicholls', 'Nathan Luke Abraham', 'Youngsub Matthew Shin', 'Paul Griffiths', 'Daniel P. Grosvenor', 'Catherine E. Scott', 'Alex T. Archibald']",2022,10.1038/s41467-022-34944-9
14,Environmental Research Letters,Environmental Research Letters,"['Prodromos Zanis', 'Dimitris Akritidis', 'Steven Turnock', 'Vaishali Naik', 'Sophie Szopa', 'Aristeidis K Georgoulias', 'Susanne E Bauer', 'Makoto Deushi', 'Larry W Horowitz', 'James Keeble', 'Philippe Le Sager', 'Fiona M O’Connor', 'Naga Oshima', 'Konstantinos Tsigaridis', 'Twan van Noije']",2022,10.1088/1748-9326/ac4a34
15,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Etienne Terrenoire', 'Didier A. Hauglustaine', 'Yann Cohen', 'Anne Cozic', 'Richard Valorso', 'Franck Lefèvre', 'Sigrun Matthes']",2022,10.5194/acp-22-11987-2022
16,Geoscientific Model Development,Geoscientific Model Development,"['Bette L. Otto-Bliesner', 'Pascale Braconnot', 'Sandy P. Harrison', 'Daniel J. Lunt', 'Ayako Abe-Ouchi', 'Samuel Albani', 'Patrick J. Bartlein', 'Emilie Capron', 'Anders E. Carlson', 'Andrea Dutton', 'Hubertus Fischer', 'Heiko Goelzer', 'Aline Govin', 'Alan Haywood', 'Fortunat Joos', 'Allegra N. LeGrande', 'William H. Lipscomb', 'Gerrit Lohmann', 'Natalie Mahowald', 'Christoph Nehrbass-Ahles', 'Francesco S. R. Pausata', 'Jean-Yves Peterschmitt', 'Steven J. Phipps', 'Hans Renssen', 'Qiong Zhang']",2017,10.5194/gmd-10-3979-2017
17,Climate Dynamics,Climate Dynamics,"['Mark D. Risser', 'William D. Collins', 'Michael F. Wehner', 'Travis A. O’Brien', 'Christopher J. Paciorek', 'John P. O’Brien', 'Christina M. Patricola', 'Huanping Huang', 'Paul A. Ullrich', 'Burlen Loring']",2023,10.1007/s00382-022-06321-1
18,Journal of Meteorological Research,Journal of Meteorological Research,"['Xiaole Su', 'Tongwen Wu', 'Jie Zhang', 'Yong Zhang', 'Junli Jin', 'Qing Zhou', 'Fang Zhang', 'Yiming Liu', 'Yumeng Zhou', 'Lin Zhang', 'Steven T. Turnock', 'Kalli Furtado']",2022,10.1007/s13351-022-1202-7
19,Journal of Southern Hemisphere Earth Systems Science,Journal of Southern Hemisphere Earth Systems Science,"['Fraser Dennison', 'Matthew T. Woodhouse', 'Eun-Pa Lim']",2023,10.1071/ES22015
20,Theoretical and Applied Climatology,Theoretical and Applied Climatology,"['Haodong Jin', 'Xiaodong Li', 'Oliver W. Frauenfeld', 'Yaohua Zhao', 'Cong Chen', 'Ran Du', 'Jun Du', 'Xiaoqing Peng']",2022,10.1007/s00704-022-04081-w
21,Journal of Climate,Journal of Climate,"['Paul-Arthur Monerie', 'Laura J. Wilcox', 'Andrew G. Turner']",2022,10.1175/JCLI-D-21-0412.1
