,journal_title,article_title,contributors,year,doi
0,Climate Dynamics,Climate Dynamics,"['Yuan Liang', 'Ben Yang', 'Minghuai Wang', 'Yipeng Guo', 'Koichi Sakaguchi', 'L. Ruby Leung']",2023,10.1007/s00382-023-06677-y
1,Earth and Space Science,Earth and Space Science,"['Anna Mackie', 'Martin Wild', 'Helen Brindley', 'Doris Folini', 'Paul I. Palmer']",2020,10.1029/2019EA001017
2,Journal of Climate,Journal of Climate,"['Marianne Pietschnig', 'Abigail L. S. Swann', 'F. Hugo Lambert', 'Geoffrey K. Vallis']",2021,10.1175/JCLI-D-21-0195.1
3,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['M. Schneider', 'K. Yoshimura', 'F. Hase', 'T. Blumenstock']",2010,10.5194/acp-10-3427-2010
4,Atmospheric Science Letters,Atmospheric Science Letters,"['G. M. Martin', 'K. Arpe', 'F. Chauvin', 'L. Ferranti', 'K. Maynard', 'J. Polcher', 'D. B. Stephenson', 'P. Tschuck']",2000,10.1006/asle.2000.0004
5,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Alan M. Rhoades', 'Paul A. Ullrich', 'Colin M. Zarzycki', 'Hans Johansen', 'Steven A. Margulis', 'Hugh Morrison', 'Zexuan Xu', 'William D. Collins']",2018,10.1029/2018MS001326
6,Journal of Geophysical Research,Journal of Geophysical Research,['Sébastien Masson'],2003,10.1029/2001JC000833
7,Natural Hazards and Earth System Sciences,Natural Hazards and Earth System Sciences,"['Robin Noyelle', 'Uwe Ulbrich', 'Nico Becker', 'Edmund P. Meredith']",2019,10.5194/nhess-19-941-2019
8,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['George A. Ban-Weiss', 'Ling Jin', 'Susanne E. Bauer', 'Ralf Bennartz', 'Xiaohong Liu', 'Kai Zhang', 'Yi Ming', 'Huan Guo', 'Jonathan H. Jiang']",2014,10.1002/2014JD021722
9,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['R. Hide', 'J. O. Dickey', 'S. L. Marcus', 'R. D. Rosen', 'D. A. Salstein']",1997,10.1029/97JD00699
10,Journal of the Meteorological Society of Japan. Ser. II,Journal of the Meteorological Society of Japan. Ser. II,"['Xueshun Shen', 'Masahide Kimoto', 'Akimasa Sumi', 'Atusi Numaguti', 'Jun Matsumoto']",2001,10.2151/jmsj.79.741
11,Geophysical Research Letters,Geophysical Research Letters,"['Peirong Lin', 'Jiangfeng Wei', 'Zong‐Liang Yang', 'Yongfei Zhang', 'Kai Zhang']",2016,10.1002/2016GL070966
12,Geophysical Research Letters,Geophysical Research Letters,"['Shinjiro Kanae', 'Taikan Oki', 'Katumi Musiake']",2002,10.1029/2002GL015346
13,A Pinatubo Climate Modeling Investigation,The Mount Pinatubo Eruption,"['J. Hansen', 'M. Sato', 'R. Ruedy', 'A. Lacis', 'K. Asamoah', 'S. Borenstein', 'E. Brown', 'B. Cairns', 'G. Caliri', 'M. Campbell', 'B. Curran', 'S. de Castro', 'L. Druyan', 'M. Fox', 'C. Johnson', 'J. Lerner', 'M. P. McCormick', 'R. Miller', 'P. Minnis', 'A. Morrison', 'L. Pandolfo', 'I. Ramberrann', 'F. Zaucker', 'M. Robinson', 'P. Russell', 'K. Shah', 'P. Stone', 'I. Tegen', 'L. Thomason', 'J. Wilder', 'H. Wilson']",1996,10.1007/978-3-642-61173-5_20
14,The GCM as a Dynamical System,Numerical Modeling of the Global Atmosphere in the Climate System,['J.-F. Royer'],2000,10.1007/978-94-011-4046-1_2
15,Meteorology and Atmospheric Physics,Meteorology and Atmospheric Physics,"['W. May', 'L. Bengtsson']",1998,10.1007/BF01025185
16,Quarterly Journal of the Royal Meteorological Society,Quarterly Journal of the Royal Meteorological Society,"['S. Cusack', 'J. M. Edwards', 'R. Kershaw']",2007,10.1002/qj.49712556013
17,Pure and Applied Geophysics,Pure and Applied Geophysics,"['Hamza Varikoden', 'J. V. Revadekar']",2018,10.1007/s00024-017-1740-6
18,Climate Dynamics,Climate Dynamics,"['Cyril Palerme', 'Christophe Genthon', 'Chantal Claud', 'Jennifer E. Kay', 'Norman B. Wood', 'Tristan L’Ecuyer']",2017,10.1007/s00382-016-3071-1
19,Geophysical Research Letters,Geophysical Research Letters,"['G. Cesana', 'D. E. Waliser']",2016,10.1002/2016GL070515
20,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Liu Huaqiang', 'Qian Yongfu']",1999,10.1007/s00376-999-0018-z
21,Journal of Climate,Journal of Climate,"['Hélène Brogniez', 'Rémy Roca', 'Laurence Picon']",2009,10.1175/2009JCLI2963.1
