,journal_title,article_title,contributors,year,doi
0,Geophysical Research Letters,Geophysical Research Letters,"['Aaron Spring', 'Tatiana Ilyina']",2020,10.1029/2019GL085311
1,Geoscientific Model Development,Geoscientific Model Development,"['Chris D. Jones', 'Thomas L. Frölicher', 'Charles Koven', 'Andrew H. MacDougall', 'H. Damon Matthews', 'Kirsten Zickfeld', 'Joeri Rogelj', 'Katarzyna B. Tokarska', 'Nathan P. Gillett', 'Tatiana Ilyina', 'Malte Meinshausen', 'Nadine Mengis', 'Roland Séférian', 'Michael Eby', 'Friedrich A. Burger']",2019,10.5194/gmd-12-4375-2019
2,Remote Sensing of Environment,Remote Sensing of Environment,"['Alexander J. Norton', 'Peter J. Rayner', 'Ying-Ping Wang', 'Nicholas C. Parazoo', 'Latha Baskaran', 'Peter R. Briggs', 'Vanessa Haverd', 'Russell Doughty']",2022,10.1016/j.rse.2022.112937
3,International Journal of Climatology,International Journal of Climatology,"['Seonju Lee', 'Myong‐In Lee']",2020,10.1002/joc.6420
4,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['J. P. Dunne', 'L. W. Horowitz', 'A. J. Adcroft', 'P. Ginoux', 'I. M. Held', 'J. G. John', 'J. P. Krasting', 'S. Malyshev', 'V. Naik', 'F. Paulot', 'E. Shevliakova', 'C. A. Stock', 'N. Zadeh', 'V. Balaji', 'C. Blanton', 'K. A. Dunne', 'C. Dupuis', 'J. Durachta', 'R. Dussin', 'P. P. G. Gauthier', 'S. M. Griffies', 'H. Guo', 'R. W. Hallberg', 'M. Harrison', 'J. He', 'W. Hurlin', 'C. McHugh', 'R. Menzel', 'P. C. D. Milly', 'S. Nikonov', 'D. J. Paynter', 'J. Ploshay', 'A. Radhakrishnan', 'K. Rand', 'B. G. Reichl', 'T. Robinson', 'D. M. Schwarzkopf', 'L. T. Sentman', 'S. Underwood', 'H. Vahlenkamp', 'M. Winton', 'A. T. Wittenberg', 'B. Wyman', 'Y. Zeng', 'M. Zhao']",2020,10.1029/2019MS002015
5,Geoscientific Model Development,Geoscientific Model Development,"['Charlotte Pascoe', 'Bryan N. Lawrence', 'Eric Guilyardi', 'Martin Juckes', 'Karl E. Taylor']",2020,10.5194/gmd-13-2149-2020
6,Reviews of Modern Physics,Reviews of Modern Physics,"['Mark S. Williamson', 'Chad W. Thackeray', 'Peter M. Cox', 'Alex Hall', 'Chris Huntingford', 'Femke J.\u2009M.\u2009M. Nijsse']",2021,10.1103/RevModPhys.93.025004
7,Environmental Research Letters,Environmental Research Letters,"['Armineh Barkhordarian', 'Kevin W Bowman', 'Noel Cressie', 'Jeffrey Jewell', 'Junjie Liu']",2021,10.1088/1748-9326/ac2ce8
8,Earth System Dynamics,Earth System Dynamics,"['Thomas Luke Smallman', 'David Thomas Milodowski', 'Eráclito Sousa Neto', 'Gerbrand Koren', 'Jean Ometto', 'Mathew Williams']",2021,10.5194/esd-12-1191-2021
9,Geoscientific Model Development,Geoscientific Model Development,"['Chia-Te Chien', 'Jonathan V. Durgadoo', 'Dana Ehlert', 'Ivy Frenger', 'David P. Keller', 'Wolfgang Koeve', 'Iris Kriest', 'Angela Landolfi', 'Lavinia Patara', 'Sebastian Wahl', 'Andreas Oschlies']",2022,10.5194/gmd-15-5987-2022
10,Geoscientific Model Development,Geoscientific Model Development,"['Daniel S. Goll', 'Alexander J. Winkler', 'Thomas Raddatz', 'Ning Dong', 'Ian Colin Prentice', 'Philippe Ciais', 'Victor Brovkin']",2017,10.5194/gmd-10-2009-2017
11,Geoscientific Model Development,Geoscientific Model Development,"['Jerry F. Tjiputra', 'Jörg Schwinger', 'Mats Bentsen', 'Anne L. Morée', 'Shuang Gao', 'Ingo Bethke', 'Christoph Heinze', 'Nadine Goris', 'Alok Gupta', 'Yan-Chun He', 'Dirk Olivié', 'Øyvind Seland', 'Michael Schulz']",2020,10.5194/gmd-13-2393-2020
12,Geoscientific Model Development,Geoscientific Model Development,"['Leyang Feng', 'Steven J. Smith', 'Caleb Braun', 'Monica Crippa', 'Matthew J. Gidden', 'Rachel Hoesly', 'Zbigniew Klimont', 'Margreet van Marle', 'Maarten van den Berg', 'Guido R. van der Werf']",2020,10.5194/gmd-13-461-2020
13,Journal of Geophysical Research: Biogeosciences,Journal of Geophysical Research: Biogeosciences,"['Ning Wei', 'Jianyang Xia', 'Ying‐Ping Wang', 'Xuanze Zhang', 'Jian Zhou', 'Chenyu Bian', 'Yiqi Luo']",2022,10.1029/2021JG006764
14,Communications Earth & Environment,Communications Earth & Environment,"['John P. Krasting', 'Maurizia De Palma', 'Maike Sonnewald', 'John P. Dunne', 'Jasmin G. John']",2022,10.1038/s43247-022-00419-4
15,Geoscientific Model Development,Geoscientific Model Development,"['David P. Keller', 'Andrew Lenton', 'Vivian Scott', 'Naomi E. Vaughan', 'Nico Bauer', 'Duoying Ji', 'Chris D. Jones', 'Ben Kravitz', 'Helene Muri', 'Kirsten Zickfeld']",2018,10.5194/gmd-11-1133-2018
16,Earth System Dynamics,Earth System Dynamics,"['Andrew Lenton', 'Richard J. Matear', 'David P. Keller', 'Vivian Scott', 'Naomi E. Vaughan']",2018,10.5194/esd-9-339-2018
17,Biogeosciences,Biogeosciences,"['Taraka Davies-Barnard', 'Sönke Zaehle', 'Pierre Friedlingstein']",2022,10.5194/bg-19-3491-2022
18,Paleoceanography and Paleoclimatology,Paleoceanography and Paleoclimatology,"['F. Lhardy', 'N. Bouttes', 'D. M. Roche', 'A. Abe‐Ouchi', 'Z. Chase', 'K. A. Crichton', 'T. Ilyina', 'R. Ivanovic', 'M. Jochum', 'M. Kageyama', 'H. Kobayashi', 'B. Liu', 'L. Menviel', 'J. Muglia', 'R. Nuterman', 'A. Oka', 'G. Vettoretti', 'A. Yamamoto']",2021,10.1029/2021PA004302
19,Forests,Forests,"['Fumei Xin', 'Jiming Liu', 'Chen Chang', 'Yuting Wang', 'Liming Jia']",2021,10.3390/f12091230
20,Global Biogeochemical Cycles,Global Biogeochemical Cycles,"['Heather Graven', 'Ralph F. Keeling', 'Joeri Rogelj']",2020,10.1029/2019GB006170
21,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['R. K. Braghiere', 'J. B. Fisher', 'K. Allen', 'E. Brzostek', 'M. Shi', 'X. Yang', 'D. M. Ricciuto', 'R. A. Fisher', 'Q. Zhu', 'R. P. Phillips']",2022,10.1029/2022MS003204
22,Current Climate Change Reports,Current Climate Change Reports,"['Roland Séférian', 'Sarah Berthet', 'Andrew Yool', 'Julien Palmiéri', 'Laurent Bopp', 'Alessandro Tagliabue', 'Lester Kwiatkowski', 'Olivier Aumont', 'James Christian', 'John Dunne', 'Marion Gehlen', 'Tatiana Ilyina', 'Jasmin G. John', 'Hongmei Li', 'Matthew C. Long', 'Jessica Y. Luo', 'Hideyuki Nakano', 'Anastasia Romanou', 'Jörg Schwinger', 'Charles Stock', 'Yeray Santana-Falcón', 'Yohei Takano', 'Jerry Tjiputra', 'Hiroyuki Tsujino', 'Michio Watanabe', 'Tongwen Wu', 'Fanghua Wu', 'Akitomo Yamamoto']",2020,10.1007/s40641-020-00160-0
23,Earth's Future,Earth's Future,"['I. Melnikova', 'O. Boucher', 'P. Cadule', 'P. Ciais', 'T. Gasser', 'Y. Quilcaille', 'H. Shiogama', 'K. Tachiiri', 'T. Yokohata', 'K. Tanaka']",2021,10.1029/2020EF001967
24,Data Science Journal,Data Science Journal,"['Maegen B. Simmonds', 'William J. Riley', 'Deborah A. Agarwal', 'Xingyuan Chen', 'Shreyas Cholia', 'Robert Crystal-Ornelas', 'Ethan T. Coon', 'Dipankar Dwivedi', 'Valerie C. Hendrix', 'Maoyi Huang', 'Ahmad Jan', 'Zarine Kakalia', 'Jitendra Kumar', 'Charles D. Koven', 'Li Li', 'Mario Melara', 'Lavanya Ramakrishnan', 'Daniel M. Ricciuto', 'Anthony P. Walker', 'Wei Zhi', 'Qing Zhu', 'Charuleka Varadharajan']",2022,10.5334/dsj-2022-003
25,Global Biogeochemical Cycles,Global Biogeochemical Cycles,"['Lei Liu', 'Qianlai Zhuang', 'Dongsheng Zhao', 'Du Zheng', 'Dan Kou', 'Yuanhe Yang']",2022,10.1029/2021GB007068
