,journal_title,article_title,contributors,year,doi
0,Paleoceanography and Paleoclimatology,Paleoceanography and Paleoclimatology,"['Lingwei Li', 'Zhengyu Liu', 'Jean Lynch‐Stieglitz', 'Chengfei He', 'Sifan Gu', 'Jiaxu Zhang', 'Bette Otto‐Bliesner']",2021,10.1029/2020PA004183
1,Climate,Climate,"['Marco Gianinetto', 'Martina Aiello', 'Renata Vezzoli', 'Francesco Niccolò Polinelli', 'Maria Cristina Rulli', 'Davide Danilo Chiarelli', 'Daniele Bocchiola', 'Giovanni Ravazzani', 'Andrea Soncini']",2020,10.3390/cli8020028
2,Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans,"['Hyacinth C. Nnamchi', 'Mojib Latif', 'Noel S. Keenlyside', 'Wonsun Park']",2020,10.1029/2019JC015834
3,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Nan Wei', 'Yongjiu Dai', 'Minghua Zhang', 'Liming Zhou', 'Duoying Ji', 'Siguang Zhu', 'Lili Wang']",2014,10.1002/2014MS000322
4,PLOS ONE,PLOS ONE,"['Jan Blanke', 'Niklas Boke-Olén', 'Stefan Olin', 'Jinfeng Chang', 'Ullrika Sahlin', 'Mats Lindeskog', 'Veiko Lehsten', 'Suzannah Rutherford']",2018,10.1371/journal.pone.0201058
5,Journal of Hydrology: Regional Studies,Journal of Hydrology: Regional Studies,"['Samuale Tesfaye', 'Gebeyehu Taye', 'Emiru Birhane', 'Sjoerd EATM van der Zee']",2019,10.1016/j.ejrh.2019.100595
6,Frontiers of Computer Science,Frontiers of Computer Science,"['Yingsheng Ji', 'Yingzhuo Zhang', 'Guangwen Yang']",2014,10.1007/s11704-014-3408-z
7,Journal of Meteorological Research,Journal of Meteorological Research,"['Pengfei Lin', 'Hailong Liu', 'Wei Xue', 'Huimin Li', 'Jinrong Jiang', 'Mirong Song', 'Yi Song', 'Fuchang Wang', 'Minghua Zhang']",2016,10.1007/s13351-015-5045-3
8,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Wenhua Wan', 'Jianshi Zhao', 'Hong-Yi Li', 'Ashok Mishra', 'L. Ruby Leung', 'Mohamad Hejazi', 'Wei Wang', 'Hui Lu', 'Zhiqun Deng', 'Yonas Demissisie', 'Hao Wang']",2017,10.1002/2017JD026899
9,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['W. H. Chen', 'A. B. Guenther', 'X. M. Wang', 'Y. H. Chen', 'D. S. Gu', 'M. Chang', 'S. Z. Zhou', 'L. L. Wu', 'Y. Q. Zhang']",2018,10.1002/2017JD027934
10,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences","Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences","['Victoria Volodina', 'Peter Challenor']",2021,10.1098/rsta.2020.0071
11,Theoretical and Applied Climatology,Theoretical and Applied Climatology,"['T. Aili', 'A. Soncini', 'A. Bianchi', 'G. Diolaiuti', 'C. D’Agata', 'D. Bocchiola']",2019,10.1007/s00704-017-2366-4
12,Geophysical Research Letters,Geophysical Research Letters,"['Clay R. Tabor', 'Ran Feng', 'Bette L. Otto‐Bliesner']",2019,10.1029/2018GL081510
13,International Journal of Climatology,International Journal of Climatology,"['Adrienne M. Wootten', 'Keith W. Dixon', 'Dennis J. Adams‐Smith', 'Renee A. McPherson']",2021,10.1002/joc.6716
14,Water Resources Research,Water Resources Research,"['Joanna C. Young', 'Erin Pettit', 'Anthony Arendt', 'Eran Hood', 'Glen E. Liston', 'Jordan Beamer']",2021,10.1029/2020WR027404
15,Climatic Change,Climatic Change,"['Teerachai Amnuaylojaroen', 'Pavinee Chanvichit']",2019,10.1007/s10584-019-02442-5
16,Journal of Hydrometeorology,Journal of Hydrometeorology,"['Ally M. Toure', 'Matthew Rodell', 'Zong-Liang Yang', 'Hiroko Beaudoing', 'Edward Kim', 'Yongfei Zhang', 'Yonghwan Kwon']",2016,10.1175/JHM-D-14-0165.1
17,Journal of Climate,Journal of Climate,"['R. Justin Small', 'Enrique Curchitser', 'Katherine Hedstrom', 'Brian Kauffman', 'William G. Large']",2015,10.1175/JCLI-D-15-0192.1
18,Biogeosciences,Biogeosciences,"['Weiwei Fu', 'James T. Randerson', 'J. Keith Moore']",2016,10.5194/bg-13-5151-2016
19,Geophysical Research Letters,Geophysical Research Letters,"['Julie M. Arblaster', 'Lisa V. Alexander']",2012,10.1029/2012GL053409
20,The Astrophysical Journal,The Astrophysical Journal,"['Aomawa L. Shields', 'Regina C. Carns']",2018,10.3847/1538-4357/aadcaa
21,Climate Dynamics,Climate Dynamics,"['Charu Singh', 'Dilip Ganguly', 'S. K. Dash']",2018,10.1007/s00382-017-3617-x
22,Atmospheric Environment,Atmospheric Environment,"['Arezoo Khodayari', 'Seth C. Olsen', 'Donald J. Wuebbles', 'Daniel B. Phoenix']",2015,10.1016/j.atmosenv.2015.04.070
23,Journal of Climate,Journal of Climate,"['Jacola Roman', 'Robert Knuteson', 'Steve Ackerman']",2014,10.1175/JCLI-D-13-00736.1
24,Journal of Climate,Journal of Climate,"['Jessica Liptak', 'Courtenay Strong']",2014,10.1175/JCLI-D-13-00371.1
25,Journal of Applied Meteorology and Climatology,Journal of Applied Meteorology and Climatology,"['Ryuhei Yoshida', 'Yumi Onodera', 'Takamasa Tojo', 'Takeshi Yamazaki', 'Hiromitsu Kanno', 'Izuru Takayabu', 'Asuka Suzuki-Parker']",2015,10.1175/JAMC-D-14-0219.1
26,BMC Evolutionary Biology,BMC Evolutionary Biology,"['Yuchi Zheng', 'Qiang Dai', 'Xianguang Guo', 'Xiaomao Zeng']",2020,10.1186/s12862-020-01675-8
27,Journal of Hydrology,Journal of Hydrology,"['Jesse Crawford', 'Kartik Venkataraman', 'Juliann Booth']",2019,10.1016/j.jhydrol.2018.10.054
28,Journal of Climate,Journal of Climate,"['Jiapeng Miao', 'Tao Wang', 'Huijun Wang']",2020,10.1175/JCLI-D-19-0148.1
29,Science of The Total Environment,Science of The Total Environment,"['Jonny Fernando Rivadeneira Vera', 'Yeriel Elizabeth Zambrano Mera', 'Miguel Ángel Pérez-Martín']",2020,10.1016/j.scitotenv.2019.135554
30,Journal of the Atmospheric Sciences,Journal of the Atmospheric Sciences,"['Vered Silverman', 'Sandro W. Lubis', 'Nili Harnik', 'Katja Matthes']",2021,10.1175/JAS-D-20-0387.1
31,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['C. R. Terai', 'S. A. Klein', 'M. D. Zelinka']",2016,10.1002/2016JD025233
32,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['B. Jebri', 'M. Khodri']",2023,10.1029/2022MS003094
33,Climate Dynamics,Climate Dynamics,"['Kaiming Hu', 'Gang Huang', 'Shang-Ping Xie']",2019,10.1007/s00382-018-4503-x
34,Geophysical Research Letters,Geophysical Research Letters,"['Shantong Sun', 'Ian Eisenman', 'Andrew L. Stewart']",2018,10.1002/2017GL076437
35,Environmental Research Letters,Environmental Research Letters,"['Debjani Ghatak', 'Eric Sinsky', 'James Miller']",2014,10.1088/1748-9326/9/11/114008
36,Molecular Ecology,Molecular Ecology,"['Enrique Maguilla', 'Marcial Escudero', 'Andrew L. Hipp', 'Modesto Luceño']",2017,10.1111/mec.14253
37,Nature Climate Change,Nature Climate Change,"['Aixue Hu', 'Yangyang Xu', 'Claudia Tebaldi', 'Warren M. Washington', 'Veerabhadran Ramanathan']",2013,10.1038/nclimate1869
38,Journal of Climate,Journal of Climate,"['Anna L. Merrifield', 'Shang-Ping Xie']",2016,10.1175/JCLI-D-15-0705.1
39,PeerJ,PeerJ,"['Fabio Albuquerque', 'Blas Benito', 'Miguel Ángel Macias Rodriguez', 'Caitlin Gray']",2018,10.7717/peerj.5623
40,Journal of Climate,Journal of Climate,"['Hege-Beate Fredriksen', 'Kristoffer Rypdal']",2016,10.1175/JCLI-D-15-0457.1
41,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Christopher G. Fletcher', 'Hongxu Zhao', 'Paul J. Kushner', 'Richard Fernandes']",2012,10.1029/2012JD017724
42,Climate Dynamics,Climate Dynamics,"['E. Blanchard-Wrigglesworth', 'M. Bushuk']",2019,10.1007/s00382-018-4461-3
43,Diversity and Distributions,Diversity and Distributions,"['Alan D. Yanahan', 'Wendy Moore', 'Kenneth Feeley']",2019,10.1111/ddi.12965
44,Mammalian Biology,Mammalian Biology,"['Eliécer E. Gutiérrez', 'Neander M. Heming', 'Gabriel Penido', 'Julio C. Dalponte', 'Ana Cristyna Reis Lacerda', 'Ricardo Moratelli', 'Jamile de Moura Bubadué', 'Leonardo Henrique da Silva', 'Mariana M. Wolf', 'Jader Marinho-Filho']",2019,10.1016/j.mambio.2019.08.002
