,journal_title,article_title,contributors,year,doi
0,Geophysical Research Letters,Geophysical Research Letters,"['Feng Shi', 'Hugues Goosse', 'François Klein', 'Sen Zhao', 'Ting Liu', 'Zhengtang Guo']",2019,10.1029/2019GL085320
1,Remote Sensing,Remote Sensing,"['Yao Xiao', 'Youmin Tang', 'Xiaoxiao Tan', 'Yanling Wu', 'Zhixiong Yao']",2022,10.3390/rs14051064
2,International Journal of Climatology,International Journal of Climatology,"['Maria Leidinice da Silva', 'Cristiano Prestrelo de Oliveira', 'João Medeiros de Araújo', 'Cláudio Moisés Santos e Silva']",2022,10.1002/joc.7708
3,Geophysical Research Letters,Geophysical Research Letters,"['Giovanni Liguori', 'Emanuele Di Lorenzo']",2019,10.1029/2018GL080320
4,Journal of Climate,Journal of Climate,"['Yuqi Wang', 'Renguang Wu', 'Qinlu Gu']",2022,10.1175/JCLI-D-21-0615.1
5,Journal of Water Resources Planning and Management,Journal of Water Resources Planning and Management,"['Sarah Alexander', 'Shu Wu', 'Paul Block']",2019,10.1061/(ASCE)WR.1943-5452.0001044
6,Journal of Geophysical Research: Biogeosciences,Journal of Geophysical Research: Biogeosciences,"['Feng Chen', 'Shulong Yu', 'Huaming Shang', 'Ruibo Zhang', 'Tongwen Zhang', 'Heli Zhang', 'Youping Chen', 'Rysbek Satylkanov', 'Bakytbek Ermenbaev', 'Zainalobudin Kobuliev', 'Ahsan Ahmadov', 'Anvar Kodirov', 'Bagila Maisupova']",2021,10.1029/2021JG006269
7,Remote Sensing,Remote Sensing,"['Chengrong Dou', 'Zhenming Ji', 'Yukun Xiao', 'Zhiyuan Hu', 'Xian Zhu', 'Wenjie Dong']",2021,10.3390/rs13163064
8,Geophysical Research Letters,Geophysical Research Letters,"['Shifeng Pan', 'Tingfeng Dou', 'Lei Lin', 'Jiao Yang', 'Feng Zhang', 'Mingkeng Duan', 'Chuanfeng Zhao', 'Hong Liao', 'Cunde Xiao']",2020,10.1029/2020GL090452
9,Journal of Hydrometeorology,Journal of Hydrometeorology,"['Brent M. Lofgren', 'Jonathan Rouhana']",2016,10.1175/JHM-D-15-0220.1
10,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Liran Peng', 'Michael Pritchard', 'Walter M. Hannah', 'Peter N. Blossey', 'Patrick H. Worley', 'Christopher S. Bretherton']",2022,10.1029/2021MS002841
11,Geophysical Research Letters,Geophysical Research Letters,"['Weifu Guo', 'Rohit Bokade', 'Anne L. Cohen', 'Nathaniel R. Mollica', 'Muriel Leung', 'Russell E. Brainard']",2020,10.1029/2019GL086761
12,Earth System Dynamics,Earth System Dynamics,"['Marianne T. Lund', 'Borgar Aamaas', 'Terje Berntsen', 'Lisa Bock', 'Ulrike Burkhardt', 'Jan S. Fuglestvedt', 'Keith P. Shine']",2017,10.5194/esd-8-547-2017
13,Climatic Change,Climatic Change,"['Muhammad Shafqat Mehboob', 'Yeonjoo Kim', 'Jaehyeong Lee', 'Myoung-Jin Um', 'Amir Erfanian', 'Guiling Wang']",2020,10.1007/s10584-020-02879-z
14,Climate of the Past,Climate of the Past,"['Michiel Baatsen', 'Anna S. von der Heydt', 'Matthew Huber', 'Michael A. Kliphuis', 'Peter K. Bijl', 'Appy Sluijs', 'Henk A. Dijkstra']",2020,10.5194/cp-16-2573-2020
15,Environmental Research Letters,Environmental Research Letters,"['Jihoon Shin', 'Sungsu Park']",2020,10.1088/1748-9326/ab7466
16,Geological Magazine,Geological Magazine,"['Xinzhou Li', 'Xiaodong Liu', 'Haibo Zhou']",2020,10.1017/S0016756819000335
17,Climate Dynamics,Climate Dynamics,"['Chang Hui', 'Xiao-Tong Zheng']",2018,10.1007/s00382-018-4098-2
18,Journal of Climate,Journal of Climate,"['Tao Zhang', 'Xiaolu Shao', 'Shuanglin Li']",2017,10.1175/JCLI-D-17-0360.1
19,Climate Dynamics,Climate Dynamics,"['Wansuo Duan', 'Junya Hu']",2016,10.1007/s00382-015-2789-5
20,Journal of Geophysical Research: Space Physics,Journal of Geophysical Research: Space Physics,"['Christine Smith-Johnsen', 'Daniel R. Marsh', 'Yvan Orsolini', 'Hilde Nesse Tyssøy', 'Koen Hendrickx', 'Marit Irene Sandanger', 'Linn-Kristine Glesnes Ødegaard', 'Frode Stordal']",2018,10.1029/2018JA025418
21,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['N. Freychet', 'S. F. B. Tett', 'A. A. Abatan', 'A. Schurer', 'Z. Feng']",2021,10.1029/2020JD033447
22,Quaternary Science Reviews,Quaternary Science Reviews,"['Xiaojian Zhang', 'Zhifeng Chen', 'Yunxia Gan', 'Chunzhu Chen', 'Wenwei Zhao']",2023,10.1016/j.quascirev.2023.108019
23,Journal of Climate,Journal of Climate,"['Yang Yang', 'Lynn M. Russell', 'Sijia Lou', 'Maryam A. Lamjiri', 'Ying Liu', 'Balwinder Singh', 'Steven J. Ghan']",2016,10.1175/JCLI-D-16-0237.1
24,Geophysical Research Letters,Geophysical Research Letters,"['Jinhyuk E. Kim', 'Marysa M. Laguë', 'Sam Pennypacker', 'Eliza Dawson', 'Abigail L. S. Swann']",2020,10.1029/2019GL085663
25,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Longlei Li', 'Natalie M. Mahowald', 'Ron L. Miller', 'Carlos Pérez García-Pando', 'Martina Klose', 'Douglas S. Hamilton', 'Maria Gonçalves Ageitos', 'Paul Ginoux', 'Yves Balkanski', 'Robert O. Green', 'Olga Kalashnikova', 'Jasper F. Kok', 'Vincenzo Obiso', 'David Paynter', 'David R. Thompson']",2021,10.5194/acp-21-3973-2021
26,Scientific Reports,Scientific Reports,"['Lu Dong', 'Tianjun Zhou', 'Aiguo Dai', 'Fengfei Song', 'Bo Wu', 'Xiaolong Chen']",2016,10.1038/srep21251
27,Environmental and Experimental Botany,Environmental and Experimental Botany,"['Rachel K. Owen', 'Elisabeth B. Webb', 'David A. Haukos', 'Keith W. Goyne']",2020,10.1016/j.envexpbot.2020.104039
28,Earth's Future,Earth's Future,"['Lei Lin', 'Zhili Wang', 'Yangyang Xu', 'Xiaoye Zhang', 'Hua Zhang', 'Wenjie Dong']",2018,10.1029/2018EF000862
29,Earth System Dynamics,Earth System Dynamics,"['D. S. Ward', 'N. M. Mahowald']",2015,10.5194/esd-6-175-2015
30,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,"['Haoran Zhou', 'Brent R. Helliker', 'Matthew Huber', 'Ashley Dicks', 'Erol Akçay']",2018,10.1073/pnas.1718988115
31,Earth's Future,Earth's Future,"['Robert Newton', 'Stephanie Pfirman', 'L. Bruno Tremblay', 'Patricia DeRepentigny']",2021,10.1029/2021EF001988
32,Climate Dynamics,Climate Dynamics,"['Donglin Guo', 'Huijun Wang']",2017,10.1007/s00382-016-3469-9
33,Science of The Total Environment,Science of The Total Environment,"['Sara Alibakhshi', 'Aarne Hovi', 'Miina Rautiainen']",2019,10.1016/j.scitotenv.2019.01.253
34,SOLA,SOLA,"['Kei Kawai', 'Hitoshi Matsui', 'Reiji Kimura', 'Masato Shinoda']",2021,10.2151/sola.2021-042
35,Biogeosciences,Biogeosciences,"['Ronny Meier', 'Edouard L. Davin', 'Quentin Lejeune', 'Mathias Hauser', 'Yan Li', 'Brecht Martens', 'Natalie M. Schultz', 'Shannon Sterling', 'Wim Thiery']",2018,10.5194/bg-15-4731-2018
36,Earth System Dynamics,Earth System Dynamics,"['Christopher M. Colose', 'Allegra N. LeGrande', 'Mathias Vuille']",2016,10.5194/esd-7-681-2016
