,journal_title,article_title,contributors,year,doi
0,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Jiang Zhu', 'Bette L. Otto‐Bliesner', 'Esther C. Brady', 'Andrew Gettelman', 'Julio T. Bacmeister', 'Richard B. Neale', 'Christopher J. Poulsen', 'Jonah K. Shaw', 'Zachary S. McGraw', 'Jennifer E. Kay']",2022,10.1029/2021MS002776
1,Scientific Reports,Scientific Reports,"['Kevin Raeder', 'Timothy J. Hoar', 'Mohamad El\xa0Gharamti', 'Benjamin K. Johnson', 'Nancy Collins', 'Jeffrey L. Anderson', 'Jeff Steward', 'Mick Coady']",2021,10.1038/s41598-021-92927-0
2,Nature Communications,Nature Communications,"['Yue Li', 'Paulo M. Brando', 'Douglas C. Morton', 'David M. Lawrence', 'Hui Yang', 'James T. Randerson']",2022,10.1038/s41467-022-29601-0
3,Climate Dynamics,Climate Dynamics,"['Xueke Li', 'Amanda H. Lynch', 'David A. Bailey', 'Scott R. Stephenson', 'Siri Veland']",2021,10.1007/s00382-021-05814-9
4,Journal of Geophysical Research: Space Physics,Journal of Geophysical Research: Space Physics,"['John M. C. Plane', 'Wuhu Feng', 'Kevin M. Douglas']",2021,10.1029/2021JA029881
5,Geophysical Research Letters,Geophysical Research Letters,"['Jiang Zhu', 'Bette L. Otto‐Bliesner', 'Esther C. Brady', 'Christopher J. Poulsen', 'Jessica E. Tierney', 'Marcus Lofverstrom', 'Pedro DiNezio']",2021,10.1029/2020GL091220
6,International Journal of Climatology,International Journal of Climatology,"['Nicolas E. Bambach', 'Alan M. Rhoades', 'Benjamin J. Hatchett', 'Andrew D. Jones', 'Paul A. Ullrich', 'Colin M. Zarzycki']",2022,10.1002/joc.7379
7,Elementa: Science of the Anthropocene,Elementa: Science of the Anthropocene,"['Melinda A. Webster', 'Marika Holland', 'Nicholas C. Wright', 'Stefan Hendricks', 'Nils Hutter', 'Polona Itkin', 'Bonnie Light', 'Felix Linhardt', 'Donald K. Perovich', 'Ian A. Raphael', 'Madison M. Smith', 'Luisa von Albedyll', 'Jinlun Zhang']",2022,10.1525/elementa.2021.000072
8,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Kai Lyu', 'Xiaohong Liu', 'Julio Bacmeister', 'Xi Zhao', 'Lin Lin', 'Yang Shi', 'Odran Sourdeval']",2023,10.1029/2022JD038164
9,Climate of the Past,Climate of the Past,"['Masa Kageyama', 'Louise C. Sime', 'Marie Sicard', 'Maria-Vittoria Guarino', 'Anne de Vernal', 'Ruediger Stein', 'David Schroeder', 'Irene Malmierca-Vallet', 'Ayako Abe-Ouchi', 'Cecilia Bitz', 'Pascale Braconnot', 'Esther C. Brady', 'Jian Cao', 'Matthew A. Chamberlain', 'Danny Feltham', 'Chuncheng Guo', 'Allegra N. LeGrande', 'Gerrit Lohmann', 'Katrin J. Meissner', 'Laurie Menviel', 'Polina Morozova', 'Kerim H. Nisancioglu', 'Bette L. Otto-Bliesner', ""Ryouta O'ishi"", 'Silvana Ramos Buarque', 'David Salas y Melia', 'Sam Sherriff-Tadano', 'Julienne Stroeve', 'Xiaoxu Shi', 'Bo Sun', 'Robert A. Tomas', 'Evgeny Volodin', 'Nicholas K. H. Yeung', 'Qiong Zhang', 'Zhongshi Zhang', 'Weipeng Zheng', 'Tilo Ziehn']",2021,10.5194/cp-17-37-2021
