,journal_title,article_title,contributors,year,doi
0,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Akira T. Noda', 'Chihiro Kodama', 'Yohei Yamada', 'Masaki Satoh', 'Tomoo Ogura', 'Tomoki Ohno']",2019,10.1029/2019MS001658
1,Journal of Climate,Journal of Climate,"['Shang-Min Long', 'Gen Li', 'Kaiming Hu', 'Jun Ying']",2020,10.1175/JCLI-D-20-0459.1
2,Current Climate Change Reports,Current Climate Change Reports,"['Masaki Satoh', 'Bjorn Stevens', 'Falko Judt', 'Marat Khairoutdinov', 'Shian-Jiann Lin', 'William M. Putman', 'Peter Düben']",2019,10.1007/s40641-019-00131-0
3,Communications Earth & Environment,Communications Earth & Environment,"['Benoît Meyssignac', 'Jonathan Chenal', 'Norman Loeb', 'Robin Guillaume-Castel', 'Aurélien Ribes']",2023,10.1038/s43247-023-00887-2
4,npj Climate and Atmospheric Science,npj Climate and Atmospheric Science,"['Sukyoung Lee', 'Michelle L’Heureux', 'Andrew T. Wittenberg', 'Richard Seager', 'Paul A. O’Gorman', 'Nathaniel C. Johnson']",2022,10.1038/s41612-022-00301-2
5,Earth System Dynamics,Earth System Dynamics,"['Manuel Schlund', 'Axel Lauer', 'Pierre Gentine', 'Steven C. Sherwood', 'Veronika Eyring']",2020,10.5194/esd-11-1233-2020
6,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Jennifer E. Kay', ""Tristan L'Ecuyer"", 'Angeline Pendergrass', 'Helene Chepfer', 'Rodrigo Guzman', 'Vineel Yettella']",2018,10.1002/2017JD028213
7,Geoscientific Model Development,Geoscientific Model Development,"['Duncan Ackerley', 'Robin Chadwick', 'Dietmar Dommenget', 'Paola Petrelli']",2018,10.5194/gmd-11-3865-2018
8,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Daniele Visioni', 'Ben Kravitz', 'Alan Robock', 'Simone Tilmes', 'Jim Haywood', 'Olivier Boucher', 'Mark Lawrence', 'Peter Irvine', 'Ulrike Niemeier', 'Lili Xia', 'Gabriel Chiodo', 'Chris Lennard', 'Shingo Watanabe', 'John C. Moore', 'Helene Muri']",2023,10.5194/acp-23-5149-2023
9,Science of The Total Environment,Science of The Total Environment,"['Mohit Prakash Mohanty', 'Slobodan P. Simonovic']",2021,10.1016/j.scitotenv.2021.148323
10,Environmental Research Letters,Environmental Research Letters,"['G Dagan', 'I Koren', 'O Altaratz', 'G Feingold']",2018,10.1088/1748-9326/aac178
11,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['William Cossich', 'Tiziano Maestri', 'Davide Magurno', 'Michele Martinazzo', 'Gianluca Di Natale', 'Luca Palchetti', 'Giovanni Bianchini', 'Massimo Del Guasta']",2021,10.5194/acp-21-13811-2021
12,Journal of Climate,Journal of Climate,"['Claire M. Zarakas', 'Abigail L. S. Swann', 'Marysa M. Laguë', 'Kyle C. Armour', 'James T. Randerson']",2020,10.1175/JCLI-D-20-0078.1
13,Progress in Earth and Planetary Science,Progress in Earth and Planetary Science,"['Masaki Satoh', 'Shuhei Matsugishi', 'Woosub Roh', 'Yasutaka Ikuta', 'Naomi Kuba', 'Tatsuya Seiki', 'Tempei Hashino', 'Hajime Okamoto']",2022,10.1186/s40645-022-00511-5
14,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Peter Kuma', 'Adrian J. McDonald', 'Olaf Morgenstern', 'Simon P. Alexander', 'John J. Cassano', 'Sally Garrett', 'Jamie Halla', 'Sean Hartery', 'Mike J. Harvey', 'Simon Parsons', 'Graeme Plank', 'Vidya Varma', 'Jonny Williams']",2020,10.5194/acp-20-6607-2020
15,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['M. H. Retsch', 'T. Mauritsen', 'C. Hohenegger']",2019,10.1029/2019MS001677
16,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,"['Tsuyoshi Koshiro', 'Hideaki Kawai', 'Akira T. Noda']",2022,10.1073/pnas.2200635119
17,Geoscientific Model Development,Geoscientific Model Development,"['Salomon Eliasson', 'Karl Göran Karlsson', 'Erik van Meijgaard', 'Jan Fokke Meirink', 'Martin Stengel', 'Ulrika Willén']",2019,10.5194/gmd-12-829-2019
18,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Travis Aerenson', 'Roger Marchand', 'Hélène Chepfer', 'Brian Medeiros']",2022,10.1029/2021JD035865
19,Journal of Climate,Journal of Climate,"['Aiko Voigt', 'Nicole Albern', 'Georgios Papavasileiou']",2019,10.1175/JCLI-D-18-0810.1
20,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Rick D. Russotto', 'Thomas P. Ackerman']",2018,10.5194/acp-18-11905-2018
