,journal_title,article_title,contributors,year,doi
0,Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans,"['Seong-Joong Kim', 'Achim Stössel']",1998,10.1029/98JC02413
1,Climate Modeling,Meteorology of the Southern Hemisphere,['Gerald A. Meehl'],1998,10.1007/978-1-935704-10-2_13
2,Forecasting,Forecasting,"['Abhiru Aryal', 'Albira Acharya', 'Ajay Kalra']",2022,10.3390/forecast4030032
3,Theoretical and Applied Climatology,Theoretical and Applied Climatology,"['Chan-Yeong Song', 'Joong-Bae Ahn']",2023,10.1007/s00704-023-04404-5
4,International Journal of Climatology,International Journal of Climatology,"['Xuejuan Ren', 'Yongfu Qian']",2005,10.1002/joc.1137
5,Atmospheric and Oceanic Science Letters,Atmospheric and Oceanic Science Letters,"['Peng-Fei LIN', 'Xiao-Li FENG', 'Hai ZHI', 'Hai-Long LIU', 'Li WANG']",2016,10.1080/16742834.2016.1159911
6,Progress in Physical Geography: Earth and Environment,Progress in Physical Geography: Earth and Environment,"['A.M. Joubert', 'B.C. Hewitson']",1997,10.1177/030913339702100104
7,Science of The Total Environment,Science of The Total Environment,"['Mohit Prakash Mohanty', 'Slobodan P. Simonovic']",2021,10.1016/j.scitotenv.2021.148323
8,"Eos, Transactions American Geophysical Union","Eos, Transactions American Geophysical Union","['Gerald A. Meehl', 'George J. Boer', 'Curt Covey', 'Mojib Latif', 'Ronald J. Stouffer']",1997,10.1029/97EO00276
9,International Journal of Climatology,International Journal of Climatology,"['Quentin Desmet', 'Thanh Ngo‐Duc']",2022,10.1002/joc.7234
10,Physica D: Nonlinear Phenomena,Physica D: Nonlinear Phenomena,['Achim Stössel'],1996,10.1016/0167-2789(96)00101-7
11,International Journal of Climatology,International Journal of Climatology,"['Pedro M. M. Soares', 'Gil Lemos', 'Daniela C. A. Lima']",2023,10.1002/joc.7973
12,International Journal of Climatology,International Journal of Climatology,"['Eung‐Sup Kim', 'Joong‐Bae Ahn', 'Kyo‐Moon Shim', 'Jina Hur', 'Sera Jo', 'Myoung‐Seok Suh', 'Dong‐Hyun Cha', 'Seung‐Ki Min', 'Hyun‐Suk Kang']",2023,10.1002/joc.8102
13,Atmosphere,Atmosphere,"['Ziyun Yin', 'Zhuotong Nan', 'Zetao Cao', 'Guofei Zhang']",2021,10.3390/atmos12091170
14,Astronomy & Astrophysics,Astronomy & Astrophysics,"['C. Haslebacher', 'M.-E. Demory', 'B.-O. Demory', 'M. Sarazin', 'P. L. Vidale']",2022,10.1051/0004-6361/202142493
15,Environmetrics,Environmetrics,['Simon J. Mason'],2001,10.1002/env.476
16,International Journal of Climatology,International Journal of Climatology,"['Joonlee Lee', 'Joong‐Bae Ahn']",2019,10.1002/joc.5943
17,Vulnerability of Freshwater Resources to Climate Change in the Tropical Pacific Region,Climate Change Vulnerability and Adaptation in Asia and the Pacific,['G. A. Meehl'],1996,10.1007/978-94-017-1053-4_19
18,Frontiers in Marine Science,Frontiers in Marine Science,"['Simon Nicol', 'Patrick Lehodey', 'Inna Senina', 'Don Bromhead', 'Andrea Y. Frommel', 'John Hampton', 'Jon Havenhand', 'Daniel Margulies', 'Philip L. Munday', 'Vernon Scholey', 'Jane E. Williamson', 'Neville Smith']",2022,10.3389/fmars.2022.816772
19,Climate Dynamics,Climate Dynamics,"['Xin Li', 'Guohua Fang', 'Jianhui Wei', 'Joël Arnault', 'Patrick Laux', 'Xin Wen', 'Harald Kunstmann']",2023,10.1007/s00382-023-06781-z
20,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Tianjun Zhou', 'Bo Wu', 'Xinyu Wen', 'Lijuan Li', 'Bin Wang']",2008,10.1007/s00376-008-0655-7
21,Land-Ocean-Atmosphere Interactions and Monsoon Climate Change,Global Biogeochemical Cycles in the Climate System,"['John E. Kutzbach', 'Sandy P. Harrison', 'Michael T. Coe']",2001,10.1016/B978-012631260-7/50008-X
22,"Water, Air, and Soil Pollution","Water, Air, and Soil Pollution",['G. A. Meehl'],1996,10.1007/BF00175566
23,Journal of the Meteorological Society of Japan. Ser. II,Journal of the Meteorological Society of Japan. Ser. II,"['Joong-Bae AHN', 'Joonlee LEE', 'Eun-Soon IM']",2012,10.2151/jmsj.2012-404
24,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Yu Yongqiang', 'Yu Rucong', 'Zhang Xuehong', 'Liu Hailong']",2002,10.1007/s00376-002-0042-8
25,Transactions of the Royal Society of South Africa,Transactions of the Royal Society of South Africa,['S. J. Mason'],1998,10.1080/00359199809520360
26,International Journal of Climatology,International Journal of Climatology,"['Bayasgalan Gerelchuluun', 'Joong‐Bae Ahn']",2014,10.1002/joc.3853
27,International Journal of Climatology,International Journal of Climatology,"['Gerelchuluun Bayasgalan', 'Joong-Bae Ahn']",2018,10.1002/joc.5848
28,Journal of Geophysical Research: Solid Earth,Journal of Geophysical Research: Solid Earth,"['Michael A. Celaya', 'John M. Wahr', 'Frank O. Bryan']",1999,10.1029/1999JB900016
