,journal_title,article_title,contributors,year,doi
0,Nature,Nature,"['Haewon McJeon', 'Jae Edmonds', 'Nico Bauer', 'Leon Clarke', 'Brian Fisher', 'Brian P. Flannery', 'Jérôme Hilaire', 'Volker Krey', 'Giacomo Marangoni', 'Raymond Mi', 'Keywan Riahi', 'Holger Rogner', 'Massimo Tavoni']",2014,10.1038/nature13837
1,Validation of Biophysical Models: Issues and Methodologies,Sustainable Agriculture Volume 2,"['Gianni Bellocchi', 'Mike Rivington', 'Marcello Donatelli', 'Keith Matthews']",2011,10.1007/978-94-007-0394-0_26
2,Nature Climate Change,Nature Climate Change,"['Joeri Rogelj', 'Malte Meinshausen', 'Reto Knutti']",2012,10.1038/nclimate1385
3,Hydrological Sciences Journal,Hydrological Sciences Journal,"['Cleiton Da Silva Silveira', 'Francisco Das Chagas Vasconcelos Junior', 'Francisco De Assis De Souza Filho', 'Sullyandro Oliveira Guimarães', 'Antonio Duarte Marcos Junior', 'Giullian Nicola Lima Dos Reis', 'Victor Costa Porto']",2019,10.1080/02626667.2019.1612521
4,Journal of Oceanology and Limnology,Journal of Oceanology and Limnology,"['Chaoran Cui', 'Rong-Hua Zhang', 'Hongna Wang', 'Yanzhou Wei']",2020,10.1007/s00343-019-9042-8
5,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Bin Wang', 'Xin Xie', 'Lijuan Li']",2009,10.1007/s00376-009-9038-y
6,Nature Climate Change,Nature Climate Change,"['Joeri Rogelj', 'David L. McCollum', 'Brian C. O’Neill', 'Keywan Riahi']",2013,10.1038/nclimate1758
7,SOLA,SOLA,"['H. L. Tanaka', 'Noriko Ishizaki', 'Daisuke Nohara']",2005,10.2151/sola.2005-021
8,Nature,Nature,"['Malte Meinshausen', 'Nicolai Meinshausen', 'William Hare', 'Sarah C. B. Raper', 'Katja Frieler', 'Reto Knutti', 'David J. Frame', 'Myles R. Allen']",2009,10.1038/nature08017
9,Nature,Nature,"['Joeri Rogelj', 'David L. McCollum', 'Andy Reisinger', 'Malte Meinshausen', 'Keywan Riahi']",2013,10.1038/nature11787
10,Climate Dynamics,Climate Dynamics,"['Soumya Mohan', 'R. D. Ruchith']",2023,10.1007/s00382-023-06871-y
11,Russian Meteorology and Hydrology,Russian Meteorology and Hydrology,"['Yu. D. Resnyanskii', 'V. N. Stepanov', 'B. S. Strukov', 'A. A. Zelenko']",2023,10.3103/S1068373923030019
12,Nature Geoscience,Nature Geoscience,"['Markus Huber', 'Reto Knutti']",2012,10.1038/ngeo1327
13,Stochastic Environmental Research and Risk Assessment,Stochastic Environmental Research and Risk Assessment,"['Donghui Xu', 'Valeriy Y. Ivanov', 'Jongho Kim', 'Simone Fatichi']",2019,10.1007/s00477-018-1621-2
14,Nature,Nature,"['Jonathan A. Patz', 'Diarmid Campbell-Lendrum', 'Tracey Holloway', 'Jonathan A. Foley']",2005,10.1038/nature04188
15,Climate Dynamics,Climate Dynamics,"['Kuno M. Strassmann', 'G.-K. Plattner', 'F. Joos']",2009,10.1007/s00382-008-0505-4
16,Climate Dynamics,Climate Dynamics,"['Massimo Bollasina', 'Sumant Nigam']",2009,10.1007/s00382-008-0477-4
17,Climate Dynamics,Climate Dynamics,"['Julia V. Manganello', 'Bohua Huang']",2009,10.1007/s00382-008-0407-5
18,Climatic Change,Climatic Change,"['Levi D. Brekke', 'Michael D. Dettinger', 'Edwin P. Maurer', 'Michael Anderson']",2008,10.1007/s10584-007-9388-3
19,Climate Dynamics,Climate Dynamics,"['Ulrike Löptien', 'Olga Zolina', 'Sergey Gulev', 'Mojib Latif', 'Vladimir Soloviov']",2008,10.1007/s00382-007-0355-5
20,Climate Dynamics,Climate Dynamics,"['Ingo Richter', 'Shang-Ping Xie']",2008,10.1007/s00382-008-0364-z
21,Climate Dynamics,Climate Dynamics,"['Fabio Di Sante', 'Erika Coppola', 'Riccardo Farneti', 'Filippo Giorgi']",2019,10.1007/s00382-019-04612-8
22,Environmental Monitoring and Assessment,Environmental Monitoring and Assessment,"['Akinlabi O. Akintuyi', 'Mayowa J. Fasona', 'Amidu O. Ayeni', 'Alabi S. O. Soneye']",2021,10.1007/s10661-021-09642-6
