,journal_title,article_title,contributors,year,doi
0,Geophysical Research Letters,Geophysical Research Letters,"['Takuro Aizawa', 'Naga Oshima', 'Seiji Yukimoto']",2022,10.1029/2021GL097093
1,Geophysical Research Letters,Geophysical Research Letters,"['Dean P. Walker', 'John H. Marsham', 'Cathryn E. Birch', 'Adam A. Scaife', 'Declan L. Finney']",2020,10.1029/2020GL089182
2,Journal of Climate,Journal of Climate,"['Seth Westra', 'Lisa V. Alexander', 'Francis W. Zwiers']",2013,10.1175/JCLI-D-12-00502.1
3,Geoscientific Model Development,Geoscientific Model Development,"['Mitchell T. Black', 'David J. Karoly', 'Suzanne M. Rosier', 'Sam M. Dean', 'Andrew D. King', 'Neil R. Massey', 'Sarah N. Sparrow', 'Andy Bowery', 'David Wallom', 'Richard G. Jones', 'Friederike E. L. Otto', 'Myles R. Allen']",2016,10.5194/gmd-9-3161-2016
4,Environmental Research Letters,Environmental Research Letters,"['Nan Zhang', 'Yuntao Zhou']",2019,10.1088/1748-9326/ab31de
5,Paleoceanography and Paleoclimatology,Paleoceanography and Paleoclimatology,"['C. M. Chiessi', 'S. Mulitza', 'N. K. Taniguchi', 'M. Prange', 'M. C. Campos', 'C. Häggi', 'E. Schefuß', 'T. M. L. Pinho', 'T. Frederichs', 'R. C. Portilho‐Ramos', 'S. H. M. Sousa', 'S. Crivellari', 'F. W. Cruz']",2021,10.1029/2020PA003936
6,Climate,Climate,"['Pietro Croce', 'Paolo Formichi', 'Filippo Landi']",2021,10.3390/cli9090133
7,Space Weather,Space Weather,"['David R. Jackson', 'Tim J. Fuller‐Rowell', 'Dan J. Griffin', 'Matthew J. Griffith', 'Christopher W. Kelly', 'Daniel R. Marsh', 'Maria‐Theresia Walach']",2019,10.1029/2019SW002267
8,Journal of Climate,Journal of Climate,"['Wang Zhan', 'Xiaogang He', 'Justin Sheffield', 'Eric F. Wood']",2020,10.1175/JCLI-D-19-0311.1
9,Climate Dynamics,Climate Dynamics,"['Nikolaos Skliris', 'Robert Marsh', 'Jennifer V. Mecking', 'Jan D. Zika']",2020,10.1007/s00382-020-05261-y
10,Climate Dynamics,Climate Dynamics,"['Catherine Rio', 'Jean-Yves Grandpeix', 'Frédéric Hourdin', 'Francoise Guichard', 'Fleur Couvreux', 'Jean-Philippe Lafore', 'Ann Fridlind', 'Agnieszka Mrowiec', 'Romain Roehrig', 'Nicolas Rochetin', 'Marie-Pierre Lefebvre', 'Abderrahmane Idelkadi']",2013,10.1007/s00382-012-1506-x
11,Energy Strategy Reviews,Energy Strategy Reviews,"['Shankar Chandramowli', 'Frank A. Felder', 'Nancy Mantell', 'Will Irving', 'Joseph Seneca']",2016,10.1016/j.esr.2016.05.002
12,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Aiko Voigt', 'Robert Pincus', 'Bjorn Stevens', 'Sandrine Bony', 'Olivier Boucher', 'Nicolas Bellouin', 'Anna Lewinschal', 'Brian Medeiros', 'Zhili Wang', 'Hua Zhang']",2017,10.1002/2016MS000902
13,Journal of Earth System Science,Journal of Earth System Science,"['Stella Jes Varghese', 'Sajani Surendran', 'B Ajithkumar', 'Kavirajan Rajendran', 'Akio Kitoh']",2020,10.1007/s12040-020-01459-0
14,A Review of the Effects of Climate Extremes on Agriculture Production,Climate Risk and Sustainable Water Management,"['Xiaomeng Yin', 'Guoyong Leng']",2022,10.1017/9781108787291.013
15,Climatic Change,Climatic Change,"['Carlos Yañez-Arenas', 'A. Townsend Peterson', 'Karla Rodríguez-Medina', 'Narayani Barve']",2016,10.1007/s10584-015-1544-6
16,Geophysical Research Letters,Geophysical Research Letters,"['Youjun Dou', 'Jiannong Quan', 'Xingcan Jia', 'Qianqian Wang', 'Yangang Liu']",2021,10.1029/2020GL091923
17,"Air Quality, Atmosphere & Health","Air Quality, Atmosphere & Health","['Sally Jahn', 'Elke Hertig']",2021,10.1007/s11869-020-00961-0
18,Climate Dynamics,Climate Dynamics,"['Michael R. Grose', 'Robert Colman', 'Jonas Bhend', 'Aurel F. Moise']",2017,10.1007/s00382-016-3269-2
19,Theoretical and Applied Climatology,Theoretical and Applied Climatology,"['Juan Li', 'Ying Yang', 'Zhiwei Zhu']",2020,10.1007/s00704-020-03185-5
20,Science China Earth Sciences,Science China Earth Sciences,"['Tianjun Zhou', 'Wenxia Zhang', 'Lixia Zhang', 'Xuebin Zhang', 'Yun Qian', 'Dongdong Peng', 'Shuangmei Ma', 'Buwen Dong']",2020,10.1007/s11430-019-9613-9
21,Climate Research,Climate Research,"['M Belda', 'E Holtanová', 'T Halenka', 'J Kalvová', 'Z Hlávka']",2015,10.3354/cr01316
22,Environmental Research Letters,Environmental Research Letters,"['A J Catalano', 'P C Loikith', 'J D Neelin']",2020,10.1088/1748-9326/ab8cd0
23,Earth's Future,Earth's Future,"['Kyung Min Noh', 'Hyung‐Gyu Lim', 'Eun Jin Yang', 'Jong‐Seong Kug']",2023,10.1029/2022EF003427
24,Journal of Climate,Journal of Climate,"['Samantha Ferrett', 'Matthew Collins', 'Hong-Li Ren']",2018,10.1175/JCLI-D-17-0331.1
25,Earth's Future,Earth's Future,"['Konstantin Gregor', 'Thomas Knoke', 'Andreas Krause', 'Christopher P. O. Reyer', 'Mats Lindeskog', 'Phillip Papastefanou', 'Benjamin Smith', 'Anne‐Sofie Lansø', 'Anja Rammig']",2022,10.1029/2022EF002796
26,Journal of Climate,Journal of Climate,"['Ying Li', 'David W. J. Thompson', 'Sandrine Bony', 'Timothy M. Merlis']",2019,10.1175/JCLI-D-18-0417.1
27,Theoretical and Applied Climatology,Theoretical and Applied Climatology,"['Matthew B. Grieco', 'Arthur T. DeGaetano']",2019,10.1007/s00704-018-2502-9
28,Geophysical Research Letters,Geophysical Research Letters,"['Mio Matsueda', 'Hirokazu Endo']",2017,10.1002/2017GL073336
29,Journal of Climate,Journal of Climate,"['Maria Antonia Sunyer', 'Henrik Madsen', 'Dan Rosbjerg', 'Karsten Arnbjerg-Nielsen']",2014,10.1175/JCLI-D-13-00589.1
