,journal_title,article_title,contributors,year,doi
0,Atmosphere,Atmosphere,"['Xiao Dong', 'Renping Lin']",2021,10.3390/atmos12060664
1,International Journal of Climatology,International Journal of Climatology,"['Yu Kou', 'Siqin Tong', 'Li Mei', 'Yuhai Bao']",2023,10.1002/joc.8046
2,Environmental Research Letters,Environmental Research Letters,"['Klaus Wyser', 'Erik Kjellström', 'Torben Koenigk', 'Helena Martins', 'Ralf Döscher']",2020,10.1088/1748-9326/ab81c2
3,Journal of Cleaner Production,Journal of Cleaner Production,"['Gergely Molnár', 'Diana Ürge-Vorsatz', 'Souran Chatterjee']",2022,10.1016/j.jclepro.2022.134133
4,Environmental Earth Sciences,Environmental Earth Sciences,"['Ahmed S. Elshall', 'Ming Ye', 'Sven A. Kranz', 'Julie Harrington', 'Xiaojuan Yang', 'Yongshan Wan', 'Mathew Maltrud']",2022,10.1007/s12665-022-10343-7
5,Nature Communications,Nature Communications,"['Felicia Chiang', 'Omid Mazdiyasni', 'Amir AghaKouchak']",2021,10.1038/s41467-021-22314-w
6,Freshwater Biology,Freshwater Biology,"['Janine P. Silva', 'Duarte Vasconcelos Gonçalves', 'Manuel Lopes‐Lima', 'Pedro M. Anastácio', 'Filipe Banha', 'Emmanuel Frimpong', 'Mafalda Gama', 'Rafael Miranda', 'Joaquim Reis', 'Ana Filipa Filipe', 'Ronaldo Sousa']",2022,10.1111/fwb.13885
7,Nature Communications,Nature Communications,"['Michiya Hayashi', 'Fei-Fei Jin', 'Malte F. Stuecker']",2020,10.1038/s41467-020-17983-y
8,npj Climate and Atmospheric Science,npj Climate and Atmospheric Science,"['Jie Zhang', 'Tongwen Wu', 'Laurent Li', 'Kalli Furtado', 'Xiaoge Xin', 'Chengjun Xie', 'Mengzhe Zheng', 'He Zhao', 'Yumeng Zhou']",2023,10.1038/s41612-023-00410-6
9,Climate Dynamics,Climate Dynamics,"['Fredolin Tangang', 'Jing Xiang Chung', 'Liew Juneng', ' Supari', 'Ester Salimun', 'Sheau Tieh Ngai', 'Ahmad Fairudz Jamaluddin', 'Mohd Syazwan Faisal Mohd', 'Faye Cruz', 'Gemma Narisma', 'Jerasorn Santisirisomboon', 'Thanh Ngo-Duc', 'Phan Van Tan', 'Patama Singhruck', 'Dodo Gunawan', 'Edvin Aldrian', 'Ardhasena Sopaheluwakan', 'Nikulin Grigory', 'Armelle Reca C. Remedio', 'Dmitry V. Sein', 'David Hein-Griggs', 'John L. McGregor', 'Hongwei Yang', 'Hidetaka Sasaki', 'Pankaj Kumar']",2020,10.1007/s00382-020-05322-2
10,Renewable Energy,Renewable Energy,"['Subin Ha', 'Zixuan Zhou', 'Eun-Soon Im', 'Young-Mi Lee']",2023,10.1016/j.renene.2023.02.039
11,Atmospheric Research,Atmospheric Research,"['B. Deepthi', 'Bellie Sivakumar']",2022,10.1016/j.atmosres.2022.106333
12,Environmental Research Letters,Environmental Research Letters,"['Renato K Braghiere', 'Joshua B Fisher', 'Kimberley R Miner', 'Charles E Miller', 'John R Worden', 'David S Schimel', 'Christian Frankenberg']",2023,10.1088/1748-9326/acb226
13,Atmospheric and Oceanic Science Letters,Atmospheric and Oceanic Science Letters,"['Hongying Chen', 'Zhuoqi He', 'Qiang Xie', 'Wei Zhuang']",2023,10.1016/j.aosl.2022.100288
14,Atmosphere,Atmosphere,"['Jennifer Ostermöller', 'Philip Lorenz', 'Kristina Fröhlich', 'Frank Kreienkamp', 'Barbara Früh']",2021,10.3390/atmos12030304
15,Journal of Climate,Journal of Climate,"['R. L. Beadling', 'J. L. Russell', 'R. J. Stouffer', 'M. Mazloff', 'L. D. Talley', 'P. J. Goodman', 'J. B. Sallée', 'H. T. Hewitt', 'P. Hyder', 'Amarjiit Pandde']",2020,10.1175/JCLI-D-19-0970.1
16,Environmental Research Communications,Environmental Research Communications,"['Benjamin J Harrison', 'Joseph D Daron', 'Matthew D Palmer', 'Jennifer H Weeks']",2021,10.1088/2515-7620/ac2e6e
17,Nature,Nature,"['Joeri Rogelj', 'Piers M. Forster', 'Elmar Kriegler', 'Christopher J. Smith', 'Roland Séférian']",2019,10.1038/s41586-019-1368-z
18,Bulletin of the American Meteorological Society,Bulletin of the American Meteorological Society,"['Natalie Teale', 'Steven M. Quiring']",2022,10.1175/BAMS-D-21-0339.1
