,journal_title,article_title,contributors,year,doi
0,Climate Dynamics,Climate Dynamics,"['Rosa Luna-Niño', 'Tereza Cavazos', 'Jose Abraham Torres-Alavez', 'Filippo Giorgi', 'Erika Coppola']",2021,10.1007/s00382-020-05509-7
1,Modeling Earth Systems and Environment,Modeling Earth Systems and Environment,"['Christiana Funmilola Olusegun', 'Oluwayomi Awe', 'Itunu Ijila', 'Opeyemi Ajanaku', 'Samuel Ogunjo']",2022,10.1007/s40808-022-01423-5
2,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Jiangbo Jin', 'Xiao Dong', 'Juanxiong He', 'Xin Gao', 'Banglin Zhang', 'Qingcun Zeng']",2023,10.1029/2022JD037957
3,Climatic Change,Climatic Change,"['Lynn Reuter', 'Alexander Graf', 'Klaus Goergen', 'Niels Döscher', 'Michael Leuchner']",2023,10.1007/s10584-023-03531-2
4,Environmental Research,Environmental Research,"[' Supari', 'Fredolin Tangang', 'Liew Juneng', 'Faye Cruz', 'Jing Xiang Chung', 'Sheau Tieh Ngai', 'Ester Salimun', 'Mohd Syazwan Faisal Mohd', 'Jerasorn Santisirisomboon', 'Patama Singhruck', 'Tan PhanVan', 'Thanh Ngo-Duc', 'Gemma Narisma', 'Edvin Aldrian', 'Dodo Gunawan', 'Ardhasena Sopaheluwakan']",2020,10.1016/j.envres.2020.109350
5,Climate Dynamics,Climate Dynamics,"['Meng-Zhuo Zhang', 'Zhongfeng Xu', 'Ying Han', 'Weidong Guo']",2022,10.1007/s00382-022-06355-5
6,Journal of Southern Hemisphere Earth Systems Science,Journal of Southern Hemisphere Earth Systems Science,"['C. Mackallah', 'M. A. Chamberlain', 'R. M. Law', 'M. Dix', 'T. Ziehn', 'D. Bi', 'R. Bodman', 'J. R. Brown', 'P. Dobrohotoff', 'K. Druken', 'B. Evans', 'I. N. Harman', 'H. Hayashida', 'R. Holmes', 'A. E. Kiss', 'A. Lenton', 'Y. Liu', 'S. Marsland', 'K. Meissner', 'L. Menviel', 'S. O’Farrell', 'H. A. Rashid', 'S. Ridzwan', 'A. Savita', 'J. Srbinovsky', 'A. Sullivan', 'C. Trenham', 'P. F. Vohralik', 'Y.-P. Wang', 'G. Williams', 'M. T. Woodhouse', 'N. Yeung']",2022,10.1071/ES21031
7,Climate Dynamics,Climate Dynamics,"['A. Lavin-Gullon', 'M. Feijoo', 'S. Solman', 'J. Fernandez', 'R. P. da Rocha', 'M. L. Bettolli']",2021,10.1007/s00382-021-05637-8
8,Earth System Dynamics,Earth System Dynamics,"['Praveen Kumar Pothapakula', 'Cristina Primo', 'Silje Sørland', 'Bodo Ahrens']",2020,10.5194/esd-11-903-2020
9,Geoscientific Model Development,Geoscientific Model Development,"['João António Martins Careto', 'Pedro Miguel Matos Soares', 'Rita Margarida Cardoso', 'Sixto Herrera', 'José Manuel Gutiérrez']",2022,10.5194/gmd-15-2653-2022
10,Climate Dynamics,Climate Dynamics,"['Olmo ME', 'R Balmaceda-Huarte', 'ML Bettolli']",2022,10.1007/s00382-022-06236-x
11,Geoscientific Model Development,Geoscientific Model Development,"['Emmanuele Russo', 'Silje Lund Sørland', 'Ingo Kirchner', 'Martijn Schaap', 'Christoph C. Raible', 'Ulrich Cubasch']",2020,10.5194/gmd-13-5779-2020
12,Climate Dynamics,Climate Dynamics,"['M. Gröger', 'L. Arneborg', 'C. Dieterich', 'A. Höglund', 'H. E. M. Meier']",2019,10.1007/s00382-019-04908-9
13,Regional Studies in Marine Science,Regional Studies in Marine Science,"['Deepjyoti Basak', 'Garlapati Nagababu', 'Harish Puppala', 'Jaydeep Patel', 'Surisetty V V Arun Kumar']",2023,10.1016/j.rsma.2023.103066
14,Science of The Total Environment,Science of The Total Environment,"['Maria Holmberg', 'Julian Aherne', 'Kari Austnes', 'Jelena Beloica', 'Alessandra De Marco', 'Thomas Dirnböck', 'Maria Francesca Fornasier', 'Klaus Goergen', 'Martyn Futter', 'Antti-Jussi Lindroos', 'Pavel Krám', 'Johan Neirynck', 'Tiina Maileena Nieminen', 'Tomasz Pecka', 'Maximilian Posch', 'Gisela Pröll', 'Ed C. Rowe', 'Thomas Scheuschner', 'Angela Schlutow', 'Salar Valinia', 'Martin Forsius']",2018,10.1016/j.scitotenv.2018.05.299
15,Science of The Total Environment,Science of The Total Environment,"['Geofrey Gabiri', 'Constanze Leemhuis', 'Bernd Diekkrüger', 'Kristian Näschen', 'Stefanie Steinbach', 'Frank Thonfeld']",2019,10.1016/j.scitotenv.2018.10.430
16,PLOS Climate,PLOS Climate,"['Filippo Giorgi', 'Andreas F. Prein', 'Jamie Males']",2022,10.1371/journal.pclm.0000042
17,Geophysical Research Letters,Geophysical Research Letters,"['Rashed Mahmood', 'Markus G. Donat', 'Pablo Ortega', 'Francisco J. Doblas‐Reyes', 'Yohan Ruprich‐Robert']",2021,10.1029/2021GL094915
18,Theoretical and Applied Climatology,Theoretical and Applied Climatology,"['Saeed Vazifehkhah', 'Ercan Kahya', 'Weihao Gao', 'Amir Delju']",2023,10.1007/s00704-023-04492-3
19,Climate Change,Encyclopedia of Engineering Geology,"['Paola Mercogliano', 'Edoardo Bucchignani', 'Alfredo Reder', 'Guido Rianna']",2018,10.1007/978-3-319-73568-9_54
20,Water Science and Engineering,Water Science and Engineering,"['Rosanna van Hespen', 'Zhan Hu', 'Bas Borsje', 'Michela De Dominicis', 'Daniel A. Friess', 'Svetlana Jevrejeva', 'Maarten G. Kleinhans', 'Maria Maza', 'Celine E.J. van Bijsterveldt', 'Tom Van der Stocken', 'Bregje van Wesenbeeck', 'Danghan Xie', 'Tjeerd J. Bouma']",2023,10.1016/j.wse.2022.10.004
21,The European Physical Journal Plus,The European Physical Journal Plus,['Filippo Giorgi'],2020,10.1140/epjp/s13360-020-00453-1
22,Climate,Climate,"['Obed M. Ogega', 'Benjamin A. Gyampoh', 'Malcolm N. Mistry']",2020,10.3390/cli8120143
23,Climate Dynamics,Climate Dynamics,['Namendra Kumar Shahi'],2022,10.1007/s00382-022-06602-9
24,Mediterranean climate,Oceanography of the Mediterranean Sea,"['Piero Lionello', 'Filippo Giorgi', 'Eelco Rohling', 'Richard Seager']",2023,10.1016/B978-0-12-823692-5.00011-X
25,Theoretical and Applied Climatology,Theoretical and Applied Climatology,"['Md. R. A. Ahamed', 'Aka Sharma', 'John Mohd Wani', 'A. P. Dimri']",2023,10.1007/s00704-023-04369-5
26,Journal of Climate,Journal of Climate,"['Stefano Castruccio', 'Ziqing Hu', 'Benjamin Sanderson', 'Alicia Karspeck', 'Dorit Hammerling']",2019,10.1175/JCLI-D-19-0280.1
27,Journal of Environmental Management,Journal of Environmental Management,"['Patrícia S. Silva', 'João L. Geirinhas', 'Rémy Lapere', 'Wil Laura', 'Domingo Cassain', 'Andrés Alegría', 'Jayaka Campbell']",2022,10.1016/j.jenvman.2022.116193
28,Weather and Climate Extremes,Weather and Climate Extremes,"['Aaron B. Wilson', 'Alvaro Avila-Diaz', 'Lais F. Oliveira', 'Cristian F. Zuluaga', 'Bryan Mark']",2022,10.1016/j.wace.2022.100467
29,SN Applied Sciences,SN Applied Sciences,"['Auther Maviza', 'Fethi Ahmed']",2021,10.1007/s42452-021-04512-9
30,Climate Dynamics,Climate Dynamics,"['James M. Ciarlo`', 'Erika Coppola', 'Adriano Fantini', 'Filippo Giorgi', 'XueJie Gao', 'Yao Tong', 'Russell H. Glazer', 'Jose Abraham Torres Alavez', 'Taleena Sines', 'Emanuela Pichelli', 'Francesca Raffaele', 'Sushant Das', 'Melissa Bukovsky', 'Moetasim Ashfaq', 'Eun-Soon Im', 'Thanh Nguyen-Xuan', 'Claas Teichmann', 'Armelle Remedio', 'Thomas Remke', 'Katharina Bülow', 'Torsten Weber', 'Lars Buntemeyer', 'Kevin Sieck', 'Diana Rechid', 'Daniela Jacob']",2021,10.1007/s00382-020-05400-5
31,Regional Climate Simulations with COSMO-CLM: CORDEX Africa and CORDEX FPS Convection,High Performance Computing in Science and Engineering '20,"['G. Schädler', 'H. Feldmann', 'H.-J. Panitz']",2021,10.1007/978-3-030-80602-6_29
32,Frontiers in Environmental Science,Frontiers in Environmental Science,"['Gaby S. Langendijk', 'Caroline Aubry-Wake', 'Marisol Osman', 'Carla Gulizia', 'Faten Attig-Bahar', 'Erik Behrens', 'André Bertoncini', 'Neil Hart', 'Victor S. Indasi', 'Silvia Innocenti', 'Eveline C. van der Linden', 'Nabir Mamnun', 'Kabir Rasouli', 'Kevin A. Reed', 'Nina Ridder', 'Juan Rivera', 'Romina Ruscica', 'Bethel U. Ukazu', 'Jakub P. Walawender', 'Dean P. Walker', 'Beth J. Woodhams', 'Yeliz A. Yılmaz']",2019,10.3389/fenvs.2019.00006
33,Water,Water,"['Kristian Näschen', 'Bernd Diekkrüger', 'Constanze Leemhuis', 'Larisa Seregina', 'Roderick van der Linden']",2019,10.3390/w11040859
34,Advances in Climate Change Research,Advances in Climate Change Research,"['Jia Wu', 'Zhen-Yu Han', 'Yu-Ping Yan', 'Chao-Yang Sun', 'Ying Xu', 'Ying Shi']",2021,10.1016/j.accre.2021.06.005
35,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences","Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",['D. Watson-Parris'],2021,10.1098/rsta.2020.0098
36,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Liwei Zou', 'Tianjun Zhou', 'Jianping Tang', 'Hailong Liu']",2020,10.1007/s00376-020-9268-6
37,Forests,Forests,"['Thomas Dirnböck', 'Heike Brielmann', 'Ika Djukic', 'Sarah Geiger', 'Andreas Hartmann', 'Franko Humer', 'Johannes Kobler', 'Martin Kralik', 'Yan Liu', 'Michael Mirtl', 'Gisela Pröll']",2020,10.3390/f11101112
38,Environmental Research Letters,Environmental Research Letters,"['Florian Claeys', 'Sylvie Gourlet-Fleury', 'Nicolas Picard', 'Dakis-Yaoba Ouédraogo', 'Mahlet G Tadesse', 'Bruno Hérault', 'Fidèle Baya', 'Fabrice Bénédet', 'Guillaume Cornu', 'Frédéric Mortier']",2019,10.1088/1748-9326/aafb81
39,Climate Dynamics,Climate Dynamics,"['M. L. Bettolli', 'S. A. Solman', 'R. P. da Rocha', 'M. Llopart', 'J. M. Gutierrez', 'J. Fernández', 'M. E. Olmo', 'A. Lavin-Gullon', 'S. C. Chou', 'D. Carneiro Rodrigues', 'E. Coppola', 'R. Balmaceda Huarte', 'M. Barreiro', 'J. Blázquez', 'M. Doyle', 'M. Feijoó', 'R. Huth', 'L. Machado', 'S. Vianna Cuadra']",2021,10.1007/s00382-020-05549-z
40,Geoscientific Model Development,Geoscientific Model Development,"['Abhishekh Kumar Srivastava', 'Paul Aaron Ullrich', 'Deeksha Rastogi', 'Pouya Vahmani', 'Andrew Jones', 'Richard Grotjahn']",2023,10.5194/gmd-16-3699-2023
41,Earth System Dynamics,Earth System Dynamics,"['Filippo Giorgi', 'Francesca Raffaele', 'Erika Coppola']",2019,10.5194/esd-10-73-2019
42,Climate Dynamics,Climate Dynamics,"['M. E. Olmo', 'M. L. Bettolli']",2021,10.1007/s00382-021-05748-2
43,Geoscientific Model Development,Geoscientific Model Development,"['Katja Weigel', 'Lisa Bock', 'Bettina K. Gier', 'Axel Lauer', 'Mattia Righi', 'Manuel Schlund', 'Kemisola Adeniyi', 'Bouwe Andela', 'Enrico Arnone', 'Peter Berg', 'Louis-Philippe Caron', 'Irene Cionni', 'Susanna Corti', 'Niels Drost', 'Alasdair Hunter', 'Llorenç Lledó', 'Christian Wilhelm Mohr', 'Aytaç Paçal', 'Núria Pérez-Zanón', 'Valeriu Predoi', 'Marit Sandstad', 'Jana Sillmann', 'Andreas Sterl', 'Javier Vegas-Regidor', 'Jost von Hardenberg', 'Veronika Eyring']",2021,10.5194/gmd-14-3159-2021
44,Atmospheric Research,Atmospheric Research,"['Entao Yu', 'Dongwei Liu', 'Jianjun Yang', 'Jianqi Sun', 'Lingxue Yu', 'Martin Peter King']",2023,10.1016/j.atmosres.2023.106731
45,Climate Dynamics,Climate Dynamics,"['Silvina A. Solman', 'M. L. Bettolli', 'M. E. Doyle', 'M. E. Olmo', 'M. Feijoo', 'D. Martinez', 'J. Blázquez', 'Rocio Balmaceda Huarte']",2021,10.1007/s00382-021-05770-4
46,Scientific Reports,Scientific Reports,"['Klaus Goergen', 'Stefan Kollet']",2021,10.1038/s41598-021-85744-y
47,International Journal of Climatology,International Journal of Climatology,"['Bonfils Safari', 'Joseph Ndakize Sebaziga', 'Asher Siebert']",2023,10.1002/joc.7891
48,Climate Services,Climate Services,"['Silje Lund Sørland', 'Andreas M. Fischer', 'Sven Kotlarski', 'Hans R. Künsch', 'Mark A. Liniger', 'Jan Rajczak', 'Christoph Schär', 'Curdin Spirig', 'Kuno Strassmann', 'Reto Knutti']",2020,10.1016/j.cliser.2020.100196
49,Climate Dynamics,Climate Dynamics,"['Nikolina Ban', 'Cécile Caillaud', 'Erika Coppola', 'Emanuela Pichelli', 'Stefan Sobolowski', 'Marianna Adinolfi', 'Bodo Ahrens', 'Antoinette Alias', 'Ivonne Anders', 'Sophie Bastin', 'Danijel Belušić', 'Ségolène Berthou', 'Erwan Brisson', 'Rita M. Cardoso', 'Steven C. Chan', 'Ole Bøssing Christensen', 'Jesús Fernández', 'Lluís Fita', 'Thomas Frisius', 'Goran Gašparac', 'Filippo Giorgi', 'Klaus Goergen', 'Jan Erik Haugen', 'Øivind Hodnebrog', 'Stergios Kartsios', 'Eleni Katragkou', 'Elizabeth J. Kendon', 'Klaus Keuler', 'Alvaro Lavin-Gullon', 'Geert Lenderink', 'David Leutwyler', 'Torge Lorenz', 'Douglas Maraun', 'Paola Mercogliano', 'Josipa Milovac', 'Hans-Juergen Panitz', 'Mario Raffa', 'Armelle Reca Remedio', 'Christoph Schär', 'Pedro M. M Soares', 'Lidija Srnec', 'Birthe Marie Steensen', 'Paolo Stocchi', 'Merja H. Tölle', 'Heimo Truhetz', 'Jesus Vergara-Temprado', 'Hylke de Vries', 'Kirsten Warrach-Sagi', 'Volker Wulfmeyer', 'Mar Janne Zander']",2021,10.1007/s00382-021-05708-w
50,Climate Change,Encyclopedia of Engineering Geology,"['Paola Mercogliano', 'Edoardo Bucchignani', 'Alfredo Reder', 'Guido Rianna']",2018,10.1007/978-3-319-12127-7_54-1
51,Water,Water,['Paola Faggian'],2021,10.3390/w13101335
52,Geoscientific Model Development,Geoscientific Model Development,"['Erika Coppola', 'Paolo Stocchi', 'Emanuela Pichelli', 'Jose Abraham Torres Alavez', 'Russell Glazer', 'Graziano Giuliani', 'Fabio Di Sante', 'Rita Nogherotto', 'Filippo Giorgi']",2021,10.5194/gmd-14-7705-2021
53,Geoscientific Model Development,Geoscientific Model Development,"['Jaroslav Resler', 'Kryštof Eben', 'Jan Geletič', 'Pavel Krč', 'Martin Rosecký', 'Matthias Sühring', 'Michal Belda', 'Vladimír Fuka', 'Tomáš Halenka', 'Peter Huszár', 'Jan Karlický', 'Nina Benešová', 'Jana Ďoubalová', 'Kateřina Honzáková', 'Josef Keder', 'Šárka Nápravníková', 'Ondřej Vlček']",2021,10.5194/gmd-14-4797-2021
54,Water Resources Management,Water Resources Management,"['Jew Das', 'Alin Treesa', 'N. V. Umamahesh']",2018,10.1007/s11269-018-2046-x
55,Global and Planetary Change,Global and Planetary Change,"['Joao Morim', 'Mark Hemer', 'Nick Cartwright', 'Darrell Strauss', 'Fernando Andutta']",2018,10.1016/j.gloplacha.2018.05.005
56,Annals of the New York Academy of Sciences,Annals of the New York Academy of Sciences,"['Tércio Ambrizzi', 'Michelle Simões Reboita', 'Rosmeri Porfírio da Rocha', 'Marta Llopart']",2019,10.1111/nyas.13932
57,Climate,Climate,"['Geofrey Gabiri', 'Bernd Diekkrüger', 'Kristian Näschen', 'Constanze Leemhuis', 'Roderick van der Linden', 'Jackson-Gilbert Mwanjalolo Majaliwa', 'Joy Apiyo Obando']",2020,10.3390/cli8070083
58,Agricultural Water Management,Agricultural Water Management,"['Ahmed Elbeltagi', 'Jinsong Deng', 'Ke Wang', 'Anurag Malik', 'Saman Maroufpoor']",2020,10.1016/j.agwat.2020.106334
59,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['M. E. Olmo', 'T. Weber', 'C. Teichmann', 'M. L. Bettolli']",2022,10.1029/2022JD037708
60,Geoscientific Model Development,Geoscientific Model Development,"['Marie-Estelle Demory', 'Ségolène Berthou', 'Jesús Fernández', 'Silje L. Sørland', 'Roman Brogli', 'Malcolm J. Roberts', 'Urs Beyerle', 'Jon Seddon', 'Rein Haarsma', 'Christoph Schär', 'Erasmo Buonomo', 'Ole B. Christensen', 'James M. Ciarlo ̀', 'Rowan Fealy', 'Grigory Nikulin', 'Daniele Peano', 'Dian Putrasahan', 'Christopher D. Roberts', 'Retish Senan', 'Christian Steger', 'Claas Teichmann', 'Robert Vautard']",2020,10.5194/gmd-13-5485-2020
61,Geophysical Research Letters,Geophysical Research Letters,"['Carl Hartick', 'Carina Furusho‐Percot', 'Martyn P. Clark', 'Stefan Kollet']",2022,10.1029/2022GL100924
62,Nature Climate Change,Nature Climate Change,"['Veronika Eyring', 'Peter M. Cox', 'Gregory M. Flato', 'Peter J. Gleckler', 'Gab Abramowitz', 'Peter Caldwell', 'William D. Collins', 'Bettina K. Gier', 'Alex D. Hall', 'Forrest M. Hoffman', 'George C. Hurtt', 'Alexandra Jahn', 'Chris D. Jones', 'Stephen A. Klein', 'John P. Krasting', 'Lester Kwiatkowski', 'Ruth Lorenz', 'Eric Maloney', 'Gerald A. Meehl', 'Angeline G. Pendergrass', 'Robert Pincus', 'Alex C. Ruane', 'Joellen L. Russell', 'Benjamin M. Sanderson', 'Benjamin D. Santer', 'Steven C. Sherwood', 'Isla R. Simpson', 'Ronald J. Stouffer', 'Mark S. Williamson']",2019,10.1038/s41558-018-0355-y
63,Geoscientific Model Development,Geoscientific Model Development,"['Charlotte Pascoe', 'Bryan N. Lawrence', 'Eric Guilyardi', 'Martin Juckes', 'Karl E. Taylor']",2020,10.5194/gmd-13-2149-2020
64,Climate Dynamics,Climate Dynamics,"['Mimi Hughes', 'Dustin Swales', 'James D. Scott', 'Michael Alexander', 'Kelly Mahoney', 'Rachel R. McCrary', 'Robert Cifelli', 'Melissa Bukovsky']",2022,10.1007/s00382-022-06168-6
65,Natural Hazards,Natural Hazards,"['Pedro M. M. Soares', 'João A. M. Careto', 'Ana Russo', 'Daniela C. A. Lima']",2023,10.1007/s11069-023-05938-7
66,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Zexuan Xu', 'Alan Di Vittorio', 'Jie Zhang', 'Alan Rhoades', 'Xiaoge Xin', 'Hongmei Xu', 'Chan Xiao']",2021,10.1029/2020JD034361
67,Climate Dynamics,Climate Dynamics,"['Emilia Paula Diaconescu', 'Alain Mailhot', 'Ross Brown', 'Diane Chaumont']",2018,10.1007/s00382-017-3736-4
68,Heliyon,Heliyon,"['Tamene Adugna Demissie', 'Chala Hailu Sime']",2021,10.1016/j.heliyon.2021.e07791
69,Frontiers in Climate,Frontiers in Climate,"['Irene Brox Nilsen', 'Inger Hanssen-Bauer', 'Anita Verpe Dyrrdal', 'Hege Hisdal', 'Deborah Lawrence', 'Ingjerd Haddeland', 'Wai Kwok Wong']",2022,10.3389/fclim.2022.866563
70,Agricultural Water Management,Agricultural Water Management,"['Fabio Di Nunno', 'Francesco Granata']",2023,10.1016/j.agwat.2023.108232
71,Climate Dynamics,Climate Dynamics,"['Windmanagda Sawadogo', 'Michelle Simões Reboita', 'Aissatou Faye', 'Rosmeri Porfírio da Rocha', 'Romaric C. Odoulami', 'Christiana F. Olusegun', 'Mojisola Oluwayemisi Adeniyi', 'Babatunde J. Abiodun', 'Mouhamadou Bamba Sylla', 'Ismaila Diallo', 'Erika Coppola', 'Filippo Giorgi']",2021,10.1007/s00382-020-05377-1
72,Earth System Science Data,Earth System Science Data,"['Susannah Rennie', 'Klaus Goergen', 'Christoph Wohner', 'Sander Apweiler', 'Johannes Peterseil', 'John Watkins']",2021,10.5194/essd-13-631-2021
