,journal_title,article_title,contributors,year,doi
0,Climate Dynamics,Climate Dynamics,"['Hervé Douville', 'A. Ribes', 'S. Tyteca']",2019,10.1007/s00382-018-4141-3
1,Climate Dynamics,Climate Dynamics,"['Rebecca Jean Herman', 'Michela Biasutti', 'Yochanan Kushnir']",2023,10.1007/s00382-023-06755-1
2,Geophysical Research Letters,Geophysical Research Letters,"['Chris D. Jones', 'Jonathan E. Hickman', 'Steven T. Rumbold', 'Jeremy Walton', 'Robin D. Lamboll', 'Ragnhild B. Skeie', 'Stephanie Fiedler', 'Piers M. Forster', 'Joeri Rogelj', 'Manabu Abe', 'Michael Botzet', 'Katherine Calvin', 'Christophe Cassou', 'Jason N.S. Cole', 'Paolo Davini', 'Makoto Deushi', 'Martin Dix', 'John C. Fyfe', 'Nathan P. Gillett', 'Tatiana Ilyina', 'Michio Kawamiya', 'Maxwell Kelley', 'Slava Kharin', 'Tsuyoshi Koshiro', 'Hongmei Li', 'Chloe Mackallah', 'Wolfgang A. Müller', 'Pierre Nabat', 'Twan van Noije', 'Paul Nolan', 'Rumi Ohgaito', 'Dirk Olivié', 'Naga Oshima', 'Jose Parodi', 'Thomas J. Reerink', 'Lili Ren', 'Anastasia Romanou', 'Roland Séférian', 'Yongming Tang', 'Claudia Timmreck', 'Jerry Tjiputra', 'Etienne Tourigny', 'Kostas Tsigaridis', 'Hailong Wang', 'Mingxuan Wu', 'Klaus Wyser', 'Shuting Yang', 'Yang Yang', 'Tilo Ziehn']",2021,10.1029/2020GL091883
3,Geoscientific Model Development,Geoscientific Model Development,"['Xue Zheng', 'Qing Li', 'Tian Zhou', 'Qi Tang', 'Luke P. Van Roekel', 'Jean-Christophe Golaz', 'Hailong Wang', 'Philip Cameron-Smith']",2022,10.5194/gmd-15-3941-2022
4,International Journal of Climatology,International Journal of Climatology,"['Ying Mei', 'Shan‐shan Zhao', 'Si‐yi Wang', 'Xiao‐qiang Xie', 'Shi‐quan Wan', 'Wen‐ping He']",2022,10.1002/joc.7914
5,Geoscientific Model Development,Geoscientific Model Development,"['Doug M. Smith', 'James A. Screen', 'Clara Deser', 'Judah Cohen', 'John C. Fyfe', 'Javier García-Serrano', 'Thomas Jung', 'Vladimir Kattsov', 'Daniela Matei', 'Rym Msadek', 'Yannick Peings', 'Michael Sigmond', 'Jinro Ukita', 'Jin-Ho Yoon', 'Xiangdong Zhang']",2019,10.5194/gmd-12-1139-2019
6,Atmospheric Research,Atmospheric Research,"['Stephanie Fiedler', 'Klaus Wyser', 'Joeri Rogelj', 'Twan van Noije']",2021,10.1016/j.atmosres.2021.105866
7,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Kine Onsum Moseid', 'Michael Schulz', 'Trude Storelvmo', 'Ingeborg Rian Julsrud', 'Dirk Olivié', 'Pierre Nabat', 'Martin Wild', 'Jason N. S. Cole', 'Toshihiko Takemura', 'Naga Oshima', 'Susanne E. Bauer', 'Guillaume Gastineau']",2020,10.5194/acp-20-16023-2020
8,Climatic Change,Climatic Change,"['Christopher W. Callahan', 'Justin S. Mankin']",2022,10.1007/s10584-022-03387-y
9,Nature Climate Change,Nature Climate Change,"['A. M. Vicedo-Cabrera', 'N. Scovronick', 'F. Sera', 'D. Royé', 'R. Schneider', 'A. Tobias', 'C. Astrom', 'Y. Guo', 'Y. Honda', 'D. M. Hondula', 'R. Abrutzky', 'S. Tong', 'M. de Sousa Zanotti Stagliorio Coelho', 'P. H. Nascimento Saldiva', 'E. Lavigne', 'P. Matus Correa', 'N. Valdes Ortega', 'H. Kan', 'S. Osorio', 'J. Kyselý', 'A. Urban', 'H. Orru', 'E. Indermitte', 'J. J. K. Jaakkola', 'N. Ryti', 'M. Pascal', 'A. Schneider', 'K. Katsouyanni', 'E. Samoli', 'F. Mayvaneh', 'A. Entezari', 'P. Goodman', 'A. Zeka', 'P. Michelozzi', 'F. de’Donato', 'M. Hashizume', 'B. Alahmad', 'M. Hurtado Diaz', 'C. De La Cruz Valencia', 'A. Overcenco', 'D. Houthuijs', 'C. Ameling', 'S. Rao', 'F. Di Ruscio', 'G. Carrasco-Escobar', 'X. Seposo', 'S. Silva', 'J. Madureira', 'I. H. Holobaca', 'S. Fratianni', 'F. Acquaotta', 'H. Kim', 'W. Lee', 'C. Iniguez', 'B. Forsberg', 'M. S. Ragettli', 'Y. L. L. Guo', 'B. Y. Chen', 'S. Li', 'B. Armstrong', 'A. Aleman', 'A. Zanobetti', 'J. Schwartz', 'T. N. Dang', 'D. V. Dung', 'N. Gillett', 'A. Haines', 'M. Mengel', 'V. Huber', 'A. Gasparrini']",2021,10.1038/s41558-021-01058-x
10,Weather and Climate Extremes,Weather and Climate Extremes,"['Yeon-Hee Kim', 'Seung-Ki Min', 'Dáithí A. Stone', 'Hideo Shiogama', 'Piotr Wolski']",2018,10.1016/j.wace.2018.03.004
11,Climate Dynamics,Climate Dynamics,"['Julián Villamayor', 'Myriam Khodri', 'Ricardo Villalba', 'Valérie Daux']",2021,10.1007/s00382-021-05811-y
