,journal_title,article_title,contributors,year,doi
0,npj Climate and Atmospheric Science,npj Climate and Atmospheric Science,"['Jung Choi', 'Seok-Woo Son']",2022,10.1038/s41612-022-00251-9
1,Frontiers in Earth Science,Frontiers in Earth Science,"['Chiyu Zhao', 'Xin Geng', 'Li Qi']",2022,10.3389/feart.2022.866241
2,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Roland Séférian', 'Pierre Nabat', 'Martine Michou', 'David Saint‐Martin', 'Aurore Voldoire', 'Jeanne Colin', 'Bertrand Decharme', 'Christine Delire', 'Sarah Berthet', 'Matthieu Chevallier', 'Stephane Sénési', 'Laurent Franchisteguy', 'Jessica Vial', 'Marc Mallet', 'Emilie Joetzjer', 'Olivier Geoffroy', 'Jean‐François Guérémy', 'Marie‐Pierre Moine', 'Rym Msadek', 'Aurélien Ribes', 'Matthias Rocher', 'Romain Roehrig', 'David Salas‐y‐Mélia', 'Emilia Sanchez', 'Laurent Terray', 'Sophie Valcke', 'Robin Waldman', 'Olivier Aumont', 'Laurent Bopp', 'Julie Deshayes', 'Christian Éthé', 'Gurvan Madec']",2019,10.1029/2019MS001791
3,Climate Dynamics,Climate Dynamics,"['Giovanni Sgubin', 'Didier Swingedouw', 'Leonard F. Borchert', 'Matthew B. Menary', 'Thomas Noël', 'Harilaos Loukos', 'Juliette Mignot']",2021,10.1007/s00382-021-05863-0
4,Journal of Climate,Journal of Climate,"['Marie Drouard', 'Christophe Cassou']",2019,10.1175/JCLI-D-18-0803.1
5,Earth System Dynamics,Earth System Dynamics,"['Mark Reyers', 'Hendrik Feldmann', 'Sebastian Mieruch', 'Joaquim G. Pinto', 'Marianne Uhlig', 'Bodo Ahrens', 'Barbara Früh', 'Kameswarrao Modali', 'Natalie Laube', 'Julia Moemken', 'Wolfgang Müller', 'Gerd Schädler', 'Christoph Kottmeier']",2019,10.5194/esd-10-171-2019
6,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Shuai Hu', 'Bo Wu', 'Yiming Wang', 'Tianjun Zhou', 'Yongqiang Yu', 'Bian He', 'Pengfei Lin', 'Qing Bao', 'Hailong Liu', 'Kangjun Chen', 'Shuwen Zhao']",2023,10.1007/s00376-023-2122-x
7,Frontiers in Climate,Frontiers in Climate,"['George J. Boer', 'Reinel Sospedra-Alfonso', 'Patrick Martineau', 'Viatsheslav V. Kharin']",2022,10.3389/fclim.2022.836817
8,Climate Dynamics,Climate Dynamics,"['Holger Pohlmann', 'Sebastian Brune', 'Kristina Fröhlich', 'Johann H. Jungclaus', 'Christine Sgoff', 'Johanna Baehr']",2023,10.1007/s00382-022-06558-w
9,Atmosphere,Atmosphere,"['Sara Rubinetti', 'Carla Taricco', 'Silvia Alessio', 'Angelo Rubino', 'Ilaria Bizzarri', 'Davide Zanchettin']",2020,10.3390/atmos11060671
10,Russian Journal of Numerical Analysis and Mathematical Modelling,Russian Journal of Numerical Analysis and Mathematical Modelling,['Andrey S. Gritsun'],2022,10.1515/rnam-2022-0008
11,Geophysical Research Letters,Geophysical Research Letters,"['Davide Zanchettin', 'Claudia Timmreck', 'Matthew Toohey', 'Johann H. Jungclaus', 'Matthias Bittner', 'Stephan J. Lorenz', 'Angelo Rubino']",2019,10.1029/2018GL081018
12,Geophysical Research Letters,Geophysical Research Letters,"['Xing Yuan', 'Enda Zhu']",2018,10.1002/2018GL077211
13,Journal of Climate,Journal of Climate,"['Dillon Elsbury', 'Yannick Peings', 'David Saint-Martin', 'Hervé Douville', 'Gudrun Magnusdottir']",2019,10.1175/JCLI-D-18-0422.1
14,Bulletin of the American Meteorological Society,Bulletin of the American Meteorological Society,"['S. G. Yeager', 'G. Danabasoglu', 'N. A. Rosenbloom', 'W. Strand', 'S. C. Bates', 'G. A. Meehl', 'A. R. Karspeck', 'K. Lindsay', 'M. C. Long', 'H. Teng', 'N. S. Lovenduski']",2018,10.1175/BAMS-D-17-0098.1
15,Sustainability,Sustainability,"['Daoguang Song', 'Zhilian Li', 'Ting Wang', 'Yinglian Qi', 'Hongping Han', 'Zhi Chen']",2023,10.3390/su15032833
16,Geoscientific Model Development,Geoscientific Model Development,"['Ingo Bethke', 'Yiguo Wang', 'François Counillon', 'Noel Keenlyside', 'Madlen Kimmritz', 'Filippa Fransner', 'Annette Samuelsen', 'Helene Langehaug', 'Lea Svendsen', 'Ping-Gin Chiu', 'Leilane Passos', 'Mats Bentsen', 'Chuncheng Guo', 'Alok Gupta', 'Jerry Tjiputra', 'Alf Kirkevåg', 'Dirk Olivié', 'Øyvind Seland', 'Julie Solsvik Vågane', 'Yuanchao Fan', 'Tor Eldevik']",2021,10.5194/gmd-14-7073-2021
17,Climate Dynamics,Climate Dynamics,"['Martin B. Stolpe', 'Kevin Cowtan', 'Iselin Medhaug', 'Reto Knutti']",2021,10.1007/s00382-020-05493-y
