,journal_title,article_title,contributors,year,doi
0,Geoscientific Model Development,Geoscientific Model Development,"['Doug M. Smith', 'James A. Screen', 'Clara Deser', 'Judah Cohen', 'John C. Fyfe', 'Javier García-Serrano', 'Thomas Jung', 'Vladimir Kattsov', 'Daniela Matei', 'Rym Msadek', 'Yannick Peings', 'Michael Sigmond', 'Jinro Ukita', 'Jin-Ho Yoon', 'Xiangdong Zhang']",2019,10.5194/gmd-12-1139-2019
1,Climate Dynamics,Climate Dynamics,"['Federico Serva', 'Chiara Cagnazzo', 'Bo Christiansen', 'Shuting Yang']",2020,10.1007/s00382-020-05131-7
2,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['D. Rind', 'C. Orbe', 'J. Jonas', 'L. Nazarenko', 'T. Zhou', 'M. Kelley', 'A. Lacis', 'D. Shindell', 'G. Faluvegi', 'A. Romanou', 'G. Russell', 'N. Tausnev', 'M. Bauer', 'G. Schmidt']",2020,10.1029/2019JD032204
3,Atmospheric Research,Atmospheric Research,"['A. Gusain', 'S. Ghosh', 'S. Karmakar']",2020,10.1016/j.atmosres.2019.104680
4,Geoscientific Model Development,Geoscientific Model Development,"['Charlotte Pascoe', 'Bryan N. Lawrence', 'Eric Guilyardi', 'Martin Juckes', 'Karl E. Taylor']",2020,10.5194/gmd-13-2149-2020
5,Quarterly Journal of the Royal Meteorological Society,Quarterly Journal of the Royal Meteorological Society,"['Laura A. Holt', 'François Lott', 'Rolando R. Garcia', 'George N. Kiladis', 'Yuan‐Ming Cheng', 'James A. Anstey', 'Peter Braesicke', 'Andrew C. Bushell', 'Neal Butchart', 'Chiara Cagnazzo', 'Chih‐Chieh Chen', 'Hye‐Yeong Chun', 'Yoshio Kawatani', 'Tobias Kerzenmacher', 'Young‐Ha Kim', 'Charles McLandress', 'Hiroaki Naoe', 'Scott Osprey', 'Jadwiga H. Richter', 'Adam A. Scaife', 'John Scinocca', 'Federico Serva', 'Stefan Versick', 'Shingo Watanabe', 'Kohei Yoshida', 'Seiji Yukimoto']",2022,10.1002/qj.3827
6,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Clara Orbe', 'David A. Plummer', 'Darryn W. Waugh', 'Huang Yang', 'Patrick Jöckel', 'Douglas E. Kinnison', 'Beatrice Josse', 'Virginie Marecal', 'Makoto Deushi', 'Nathan Luke Abraham', 'Alexander T. Archibald', 'Martyn P. Chipperfield', 'Sandip Dhomse', 'Wuhu Feng', 'Slimane Bekki']",2020,10.5194/acp-20-3809-2020
7,Geoscientific Model Development,Geoscientific Model Development,"['Peter Hitchcock', 'Amy Butler', 'Andrew Charlton-Perez', 'Chaim I. Garfinkel', 'Tim Stockdale', 'James Anstey', 'Dann Mitchell', 'Daniela I. V. Domeisen', 'Tongwen Wu', 'Yixiong Lu', 'Daniele Mastrangelo', 'Piero Malguzzi', 'Hai Lin', 'Ryan Muncaster', 'Bill Merryfield', 'Michael Sigmond', 'Baoqiang Xiang', 'Liwei Jia', 'Yu-Kyung Hyun', 'Jiyoung Oh', 'Damien Specq', 'Isla R. Simpson', 'Jadwiga H. Richter', 'Cory Barton', 'Jeff Knight', 'Eun-Pa Lim', 'Harry Hendon']",2022,10.5194/gmd-15-5073-2022
8,Climate Dynamics,Climate Dynamics,"['Froila M Palmeiro', 'Javier García-Serrano', 'Mario Rodrigo', 'Marta Abalos', 'Bo Christiansen', 'Shuting Yang']",2023,10.1007/s00382-022-06368-0
9,Sustainability,Sustainability,"['Buddhi Wijesiri', 'Erick Bandala', 'An Liu', 'Ashantha Goonetilleke']",2020,10.3390/su122410463
10,Weather and Climate Dynamics,Weather and Climate Dynamics,['Neal Butchart'],2022,10.5194/wcd-3-1237-2022
11,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['B. Ayarzagüena', 'A.\xa0J. Charlton‐Perez', 'A.\xa0H. Butler', 'P. Hitchcock', 'I.\xa0R. Simpson', 'L.\xa0M. Polvani', 'N. Butchart', 'E.\xa0P. Gerber', 'L. Gray', 'B. Hassler', 'P. Lin', 'F. Lott', 'E. Manzini', 'R. Mizuta', 'C. Orbe', 'S. Osprey', 'D. Saint‐Martin', 'M. Sigmond', 'M. Taguchi', 'E.\xa0M. Volodin', 'S. Watanabe']",2020,10.1029/2019JD032345
12,Journal of Climate,Journal of Climate,"['Zheng Wu', 'Thomas Reichler']",2020,10.1175/JCLI-D-20-0104.1
13,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Evangelos Tyrlis', 'Elisa Manzini', 'Jürgen Bader', 'Jinro Ukita', 'Hisashi Nakamura', 'Daniela Matei']",2019,10.1029/2019JD031085
14,Weather and Climate Dynamics,Weather and Climate Dynamics,"['Thomas Reichler', 'Martin Jucker']",2022,10.5194/wcd-3-659-2022
15,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Marta Abalos', 'Natalia Calvo', 'Samuel Benito-Barca', 'Hella Garny', 'Steven C. Hardiman', 'Pu Lin', 'Martin B. Andrews', 'Neal Butchart', 'Rolando Garcia', 'Clara Orbe', 'David Saint-Martin', 'Shingo Watanabe', 'Kohei Yoshida']",2021,10.5194/acp-21-13571-2021
16,Atmosphere,Atmosphere,"['Pavel N. Vargin', 'Sergey V. Kostrykin', 'Evgeni M. Volodin', 'Alexander I. Pogoreltsev', 'Ke Wei']",2021,10.3390/atmos13010025
17,Geophysical Research Letters,Geophysical Research Letters,"['Yutian Wu', 'Isla R. Simpson', 'Richard Seager']",2019,10.1029/2019GL085545
18,Nature Communications,Nature Communications,"['Edward Charlesworth', 'Felix Plöger', 'Thomas Birner', 'Rasul Baikhadzhaev', 'Marta Abalos', 'Nathan Luke Abraham', 'Hideharu Akiyoshi', 'Slimane Bekki', 'Fraser Dennison', 'Patrick Jöckel', 'James Keeble', 'Doug Kinnison', 'Olaf Morgenstern', 'David Plummer', 'Eugene Rozanov', 'Sarah Strode', 'Guang Zeng', 'Tatiana Egorova', 'Martin Riese']",2023,10.1038/s41467-023-39559-2
19,Geoscientific Model Development,Geoscientific Model Development,"['Neal Butchart', 'James A. Anstey', 'Kevin Hamilton', 'Scott Osprey', 'Charles McLandress', 'Andrew C. Bushell', 'Yoshio Kawatani', 'Young-Ha Kim', 'Francois Lott', 'John Scinocca', 'Timothy N. Stockdale', 'Martin Andrews', 'Omar Bellprat', 'Peter Braesicke', 'Chiara Cagnazzo', 'Chih-Chieh Chen', 'Hye-Yeong Chun', 'Mikhail Dobrynin', 'Rolando R. Garcia', 'Javier Garcia-Serrano', 'Lesley J. Gray', 'Laura Holt', 'Tobias Kerzenmacher', 'Hiroaki Naoe', 'Holger Pohlmann', 'Jadwiga H. Richter', 'Adam A. Scaife', 'Verena Schenzinger', 'Federico Serva', 'Stefan Versick', 'Shingo Watanabe', 'Kohei Yoshida', 'Seiji Yukimoto']",2018,10.5194/gmd-11-1009-2018
20,Geoscientific Model Development,Geoscientific Model Development,"['Martin Juckes', 'Karl E. Taylor', 'Paul J. Durack', 'Bryan Lawrence', 'Matthew S. Mizielinski', 'Alison Pamment', 'Jean-Yves Peterschmitt', 'Michel Rixen', 'Stéphane Sénési']",2020,10.5194/gmd-13-201-2020
21,Frontiers in Climate,Frontiers in Climate,"['Doug M. Smith', 'Nathan P. Gillett', 'Isla R. Simpson', 'Panos J. Athanasiadis', 'Johanna Baehr', 'Ingo Bethke', 'Tarkan A. Bilge', 'Rémy Bonnet', 'Olivier Boucher', 'Kirsten L. Findell', 'Guillaume Gastineau', 'Silvio Gualdi', 'Leon Hermanson', 'L. Ruby Leung', 'Juliette Mignot', 'Wolfgang A. Müller', 'Scott Osprey', 'Odd Helge Otterå', 'Geeta G. Persad', 'Adam A. Scaife', 'Gavin A. Schmidt', 'Hideo Shiogama', 'Rowan T. Sutton', 'Didier Swingedouw', 'Shuting Yang', 'Tianjun Zhou', 'Tilo Ziehn']",2022,10.3389/fclim.2022.955414
22,Climate Dynamics,Climate Dynamics,"['Minpei Zhou', 'Zhongbo Yu', 'Huanghe Gu', 'Qin Ju', 'Yiyan Gao', 'Lei Wen', 'Tangkai Huang', 'Wei Wang']",2023,10.1007/s00382-022-06518-4
