,journal_title,article_title,contributors,year,doi
0,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Donghui Xu', 'Gautam Bisht', 'Tian Zhou', 'L. Ruby Leung', 'Ming Pan']",2022,10.1029/2021MS002772
1,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Tido Semmler', 'Sergey Danilov', 'Paul Gierz', 'Helge F. Goessling', 'Jan Hegewald', 'Claudia Hinrichs', 'Nikolay Koldunov', 'Narges Khosravi', 'Longjiang Mu', 'Thomas Rackow', 'Dmitry V. Sein', 'Dmitry Sidorenko', 'Qiang Wang', 'Thomas Jung']",2020,10.1029/2019MS002009
2,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Yilin Fang', 'L. Ruby Leung', 'Brett T Wolfe', 'Matteo Detto', 'Ryan G Knox', 'Nate G McDowell', 'Charlotte Grossiord', 'Chonggang Xu', 'Bradley O Christoffersen', 'Pierre Gentine', 'Charles D Koven', 'Jeffrey Q Chambers']",2021,10.1029/2021JD035004
3,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Jingyu Wang', 'Jiwen Fan', 'Zhe Feng', 'Kai Zhang', 'Erika Roesler', 'Benjamin Hillman', 'Jacob Shpund', 'Wuyin Lin', 'Shaocheng Xie']",2021,10.1029/2021MS002628
4,The Cryosphere,The Cryosphere,"['Dalei Hao', 'Gautam Bisht', 'Karl Rittger', 'Timbo Stillinger', 'Edward Bair', 'Yu Gu', 'L. Ruby Leung']",2023,10.5194/tc-17-673-2023
5,Hydrology and Earth System Sciences,Hydrology and Earth System Sciences,"['Dongyu Feng', 'Zeli Tan', 'Darren Engwirda', 'Chang Liao', 'Donghui Xu', 'Gautam Bisht', 'Tian Zhou', 'Hong-Yi Li', 'L. Ruby Leung']",2022,10.5194/hess-26-5473-2022
6,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Qing Zhu', 'William J. Riley', 'Colleen M. Iversen', 'Jens Kattge']",2020,10.1029/2019MS001841
7,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,"['Benjamin D. Santer', 'John C. Fyfe', 'Susan Solomon', 'Jeffrey F. Painter', 'Céline Bonfils', 'Giuliana Pallotta', 'Mark D. Zelinka']",2019,10.1073/pnas.1904586116
8,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['David Painemal', 'Andrea F. Corral', 'Armin Sorooshian', 'Michael A. Brunke', 'Seethala Chellappan', 'Vesta Afzali Gorooh', 'Seung‐Hee Ham', ""Larry O'Neill"", 'William L. Smith', 'George Tselioudis', 'Hailong Wang', 'Xubin Zeng', 'Paquita Zuidema']",2021,10.1029/2020JD033423
9,Frontiers in Marine Science,Frontiers in Marine Science,"['J. E. Jack Reeves Eyre', 'Xubin Zeng', 'Kai Zhang']",2021,10.3389/fmars.2021.642804
10,Geoscientific Model Development,Geoscientific Model Development,"['Yannic Fischler', 'Martin Rückamp', 'Christian Bischof', 'Vadym Aizinger', 'Mathieu Morlighem', 'Angelika Humbert']",2022,10.5194/gmd-15-3753-2022
11,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Shaocheng Xie', 'Yi‐Chi Wang', 'Wuyin Lin', 'Hsi‐Yen Ma', 'Qi Tang', 'Shuaiqi Tang', 'Xue Zheng', 'Jean‐Christophe Golaz', 'Guang J. Zhang', 'Minghua Zhang']",2019,10.1029/2019MS001702
12,A Performance-Portable Nonhydrostatic Atmospheric Dycore for the Energy Exascale Earth System Model Running at Cloud-Resolving Resolutions,"SC20: International Conference for High Performance Computing, Networking, Storage and Analysis","['Luca Bertagna', 'Oksana Guba', 'Mark A. Taylor', 'James G. Foucar', 'Jeff Larkin', 'Andrew M. Bradley', 'Sivasankaran Rajamanickam', 'Andrew G. Salinger']",2020,10.1109/SC41405.2020.00096
13,Journal of Geophysical Research: Biogeosciences,Journal of Geophysical Research: Biogeosciences,"['M. Berkelhammer', 'B. Drewniak', 'B. Ahlswede', 'M. A. Gonzalez‐Meler']",2022,10.1029/2021JG006612
14,Data Science Journal,Data Science Journal,"['Maegen B. Simmonds', 'William J. Riley', 'Deborah A. Agarwal', 'Xingyuan Chen', 'Shreyas Cholia', 'Robert Crystal-Ornelas', 'Ethan T. Coon', 'Dipankar Dwivedi', 'Valerie C. Hendrix', 'Maoyi Huang', 'Ahmad Jan', 'Zarine Kakalia', 'Jitendra Kumar', 'Charles D. Koven', 'Li Li', 'Mario Melara', 'Lavanya Ramakrishnan', 'Daniel M. Ricciuto', 'Anthony P. Walker', 'Wei Zhi', 'Qing Zhu', 'Charuleka Varadharajan']",2022,10.5334/dsj-2022-003
15,Atmospheric Measurement Techniques,Atmospheric Measurement Techniques,"['Robert Jackson', 'Scott Collis', 'Valentin Louf', 'Alain Protat', 'Die Wang', 'Scott Giangrande', 'Elizabeth J. Thompson', 'Brenda Dolan', 'Scott W. Powell']",2021,10.5194/amt-14-53-2021
16,Science of The Total Environment,Science of The Total Environment,"['Jorge A. Villa', 'Garrett J. Smith', 'Yang Ju', 'Lupita Renteria', 'Jordan C. Angle', 'Evan Arntzen', 'Samuel F. Harding', 'Huiying Ren', 'Xingyuan Chen', 'Audrey H. Sawyer', 'Emily B. Graham', 'James C. Stegen', 'Kelly C. Wrighton', 'Gil Bohrer']",2020,10.1016/j.scitotenv.2020.136920
17,Frontiers in Forests and Global Change,Frontiers in Forests and Global Change,"['Kara Allen', 'Joshua B. Fisher', 'Richard P. Phillips', 'Jennifer S. Powers', 'Edward R. Brzostek']",2020,10.3389/ffgc.2020.00043
18,Current Climate Change Reports,Current Climate Change Reports,"['Helene T. Hewitt', 'Malcolm Roberts', 'Pierre Mathiot', 'Arne Biastoch', 'Ed Blockley', 'Eric P. Chassignet', 'Baylor Fox-Kemper', 'Pat Hyder', 'David P. Marshall', 'Ekaterina Popova', 'Anne-Marie Treguier', 'Laure Zanna', 'Andrew Yool', 'Yongqiang Yu', 'Rebecca Beadling', 'Mike Bell', 'Till Kuhlbrodt', 'Thomas Arsouze', 'Alessio Bellucci', 'Fred Castruccio', 'Bolan Gan', 'Dian Putrasahan', 'Christopher D. Roberts', 'Luke Van Roekel', 'Qiuying Zhang']",2020,10.1007/s40641-020-00164-w
19,Climate Dynamics,Climate Dynamics,"['Subodh Kumar Saha', 'Yongkang Xue', 'Sujith Krishnakumar', 'Ismaila Diallo', 'Yashas Shivamurthy', 'Tetsu Nakamura', 'Qi Tang', 'Hemantkumar S. Chaudhari']",2023,10.1007/s00382-023-06709-7
20,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Huan Guo', 'Yi Ming', 'Songmiao Fan', 'Andrew T. Wittenberg', 'Rong Zhang', 'Ming Zhao', 'Linjiong Zhou']",2022,10.1029/2022MS003111
21,npj Climate and Atmospheric Science,npj Climate and Atmospheric Science,"['Ragnhild Bieltvedt Skeie', 'Gunnar Myhre', 'Øivind Hodnebrog', 'Philip J. Cameron-Smith', 'Makoto Deushi', 'Michaela I. Hegglin', 'Larry W. Horowitz', 'Ryan J. Kramer', 'Martine Michou', 'Michael J. Mills', 'Dirk J. L. Olivié', 'Fiona M. O’ Connor', 'David Paynter', 'Bjørn H. Samset', 'Alistair Sellar', 'Drew Shindell', 'Toshihiko Takemura', 'Simone Tilmes', 'Tongwen Wu']",2020,10.1038/s41612-020-00131-0
