,journal_title,article_title,contributors,year,doi
0,Journal of Climate,Journal of Climate,"['Matthew T. Luongo', 'Shang-Ping Xie', 'Ian Eisenman']",2022,10.1175/JCLI-D-21-0950.1
1,Quarterly Journal of the Royal Meteorological Society,Quarterly Journal of the Royal Meteorological Society,"['L. Zanna', 'J. M. Brankart', 'M. Huber', 'S. Leroux', 'T. Penduff', 'P. D. Williams']",2019,10.1002/qj.3397
2,Ocean Modelling,Ocean Modelling,"['Jiangbo Jin', 'Hailong Liu', 'Xiao Dong', 'Juanxiong He', 'Xin Gao', 'Yi Yu', 'He Zhang', 'Minghua Zhang', 'Qingcun Zeng']",2022,10.1016/j.ocemod.2022.102063
3,Journal of Climate,Journal of Climate,"['Jia-Rui Shi', 'Lynne D. Talley', 'Shang-Ping Xie', 'Wei Liu', 'Sarah T. Gille']",2020,10.1175/JCLI-D-19-0877.1
4,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Oluwayemi A. Garuba', 'Hansi A. Singh', 'Elizabeth Hunke', 'Philip J. Rasch']",2020,10.1029/2019MS001902
5,Nature Geoscience,Nature Geoscience,"['Shouwei Li', 'Wei Liu', 'Robert J. Allen', 'Jia-Rui Shi', 'Laifang Li']",2023,10.1038/s41561-023-01219-x
6,Geophysical Research Letters,Geophysical Research Letters,"['Oluwayemi A. Garuba', 'Jian Lu', 'Hansi A. Singh', 'Fukai Liu', 'Phil Rasch']",2018,10.1029/2018GL078882
7,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,"['Laure Zanna', 'Samar Khatiwala', 'Jonathan M. Gregory', 'Jonathan Ison', 'Patrick Heimbach']",2019,10.1073/pnas.1808838115
8,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Jiangbo Jin', 'Xiao Dong', 'Juanxiong He', 'Yi Yu', 'Hailong Liu', 'Minghua Zhang', 'Qingcun Zeng', 'He Zhang', 'Xin Gao', 'Guangqing Zhou', 'Yaqi Wang']",2022,10.1007/s00376-021-1167-y
9,Climate Dynamics,Climate Dynamics,"['Robert Fraser', 'Matthew Palmer', 'Christopher Roberts', 'Chris Wilson', 'Dan Copsey', 'Laure Zanna']",2019,10.1007/s00382-019-04814-0
10,Environmental Research Letters,Environmental Research Letters,"['Jan D Zika', 'Nikolaos Skliris', 'Adam T Blaker', 'Robert Marsh', 'A J George Nurser', 'Simon A Josey']",2018,10.1088/1748-9326/aace42
11,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Molly E. Menzel', 'Timothy M. Merlis']",2019,10.1029/2018MS001544
12,Geophysical Research Letters,Geophysical Research Letters,"['Yuan‐Jen Lin', 'Yen‐Ting Hwang', 'Paulo Ceppi', 'Jonathan M. Gregory']",2019,10.1029/2019GL083084
13,Nature Climate Change,Nature Climate Change,"['Yona Silvy', 'Eric Guilyardi', 'Jean-Baptiste Sallée', 'Paul J. Durack']",2020,10.1038/s41558-020-0878-x
14,Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans,"['Christopher M. Little', 'Aixue Hu', 'Chris W. Hughes', 'Gerard D. McCarthy', 'Christopher G. Piecuch', 'Rui M. Ponte', 'Matthew D. Thomas']",2019,10.1029/2019JC015152
15,Journal of Climate,Journal of Climate,"['Jon Robson', 'Matthew B. Menary', 'Rowan T. Sutton', 'Jenny Mecking', 'Jonathan M. Gregory', 'Colin Jones', 'Bablu Sinha', 'David P. Stevens', 'Laura J. Wilcox']",2022,10.1175/JCLI-D-22-0124.1
16,Climate Dynamics,Climate Dynamics,"['N. Sandeep', 'P. Swapna', 'R. Krishnan', 'R. Farneti', 'A. G. Prajeesh', 'D. C. Ayantika', 'S. Manmeet']",2020,10.1007/s00382-020-05180-y
17,Global Change Biology,Global Change Biology,"['Karlie S. McDonald', 'Alistair J. Hobday', 'Elizabeth A. Fulton', 'Peter A. Thompson']",2018,10.1111/gcb.14168
18,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Jiangbo Jin', 'He Zhang', 'Xiao Dong', 'Hailong Liu', 'Minghua Zhang', 'Xin Gao', 'Juanxiong He', 'Zhaoyang Chai', 'Qingcun Zeng', 'Guangqing Zhou', 'Zhaohui Lin', 'Yi Yu', 'Pengfei Lin', 'Ruxu Lian', 'Yongqiang Yu', 'Mirong Song', 'Dongling Zhang']",2021,10.1007/s00376-020-0188-2
19,Journal of Climate,Journal of Climate,"['Oluwayemi A. Garuba', 'Barry A. Klinger']",2018,10.1175/JCLI-D-17-0452.1
20,Geophysical Research Letters,Geophysical Research Letters,"['Oluwayemi A. Garuba', 'Jian Lu', 'Fukai Liu', 'Hansi A. Singh']",2018,10.1002/2017GL075633
21,Frontiers in Marine Science,Frontiers in Marine Science,"['Rui M. Ponte', 'Mark Carson', 'Mauro Cirano', 'Catia M. Domingues', 'Svetlana Jevrejeva', 'Marta Marcos', 'Gary Mitchum', 'R. S. W. van de Wal', 'Philip L. Woodworth', 'Michaël Ablain', 'Fabrice Ardhuin', 'Valérie Ballu', 'Mélanie Becker', 'Jérôme Benveniste', 'Florence Birol', 'Elizabeth Bradshaw', 'Anny Cazenave', 'P. De Mey-Frémaux', 'Fabien Durand', 'Tal Ezer', 'Lee-Lueng Fu', 'Ichiro Fukumori', 'Kathy Gordon', 'Médéric Gravelle', 'Stephen M. Griffies', 'Weiqing Han', 'Angela Hibbert', 'Chris W. Hughes', 'Déborah Idier', 'Villy H. Kourafalou', 'Christopher M. Little', 'Andrew Matthews', 'Angélique Melet', 'Mark Merrifield', 'Benoit Meyssignac', 'Shoshiro Minobe', 'Thierry Penduff', 'Nicolas Picot', 'Christopher Piecuch', 'Richard D. Ray', 'Lesley Rickards', 'Alvaro Santamaría-Gómez', 'Detlef Stammer', 'Joanna Staneva', 'Laurent Testut', 'Keith Thompson', 'Philip Thompson', 'Stefano Vignudelli', 'Joanne Williams', 'Simon D. P. Williams', 'Guy Wöppelmann', 'Laure Zanna', 'Xuebin Zhang']",2019,10.3389/fmars.2019.00437
22,Climate Dynamics,Climate Dynamics,"['Matthew P. Couldrey', 'Jonathan M. Gregory', 'Fabio Boeira Dias', 'Peter Dobrohotoff', 'Catia M. Domingues', 'Oluwayemi Garuba', 'Stephen M. Griffies', 'Helmuth Haak', 'Aixue Hu', 'Masayoshi Ishii', 'Johann Jungclaus', 'Armin Köhl', 'Simon J. Marsland', 'Sayantani Ojha', 'Oleg A. Saenko', 'Abhishek Savita', 'Andrew Shao', 'Detlef Stammer', 'Tatsuo Suzuki', 'Alexander Todd', 'Laure Zanna']",2021,10.1007/s00382-020-05471-4
23,Climate Dynamics,Climate Dynamics,"['K. P. Sooraj', 'Ajinkya M. Aswale', 'P. Swapna', 'P. Terray', 'N. S. Sandeep']",2023,10.1007/s00382-023-06817-4
24,Nature,Nature,"['Ben Bronselaer', 'Michael Winton', 'Stephen M. Griffies', 'William J. Hurlin', 'Keith B. Rodgers', 'Olga V. Sergienko', 'Ronald J. Stouffer', 'Joellen L. Russell']",2018,10.1038/s41586-018-0712-z
25,Frontiers in Marine Science,Frontiers in Marine Science,"['Baylor Fox-Kemper', 'Alistair Adcroft', 'Claus W. Böning', 'Eric P. Chassignet', 'Enrique Curchitser', 'Gokhan Danabasoglu', 'Carsten Eden', 'Matthew H. England', 'Rüdiger Gerdes', 'Richard J. Greatbatch', 'Stephen M. Griffies', 'Robert W. Hallberg', 'Emmanuel Hanert', 'Patrick Heimbach', 'Helene T. Hewitt', 'Christopher N. Hill', 'Yoshiki Komuro', 'Sonya Legg', 'Julien Le Sommer', 'Simona Masina', 'Simon J. Marsland', 'Stephen G. Penny', 'Fangli Qiao', 'Todd D. Ringler', 'Anne Marie Treguier', 'Hiroyuki Tsujino', 'Petteri Uotila', 'Stephen G. Yeager']",2019,10.3389/fmars.2019.00065
26,Journal of Climate,Journal of Climate,"['B. Meyssignac', 'A. B. A Slangen', 'A. Melet', 'J. A. Church', 'X. Fettweis', 'B. Marzeion', 'C. Agosta', 'S. R. M. Ligtenberg', 'G. Spada', 'K. Richter', 'M. D. Palmer', 'C. D. Roberts', 'N. Champollion']",2017,10.1175/JCLI-D-17-0112.1
27,Geoscientific Model Development,Geoscientific Model Development,"['Charlotte Pascoe', 'Bryan N. Lawrence', 'Eric Guilyardi', 'Martin Juckes', 'Karl E. Taylor']",2020,10.5194/gmd-13-2149-2020
28,Journal of Climate,Journal of Climate,"['Oleg A. Saenko', 'Duo Yang', 'Jonathan M. Gregory']",2018,10.1175/JCLI-D-18-0186.1
29,Geophysical Research Letters,Geophysical Research Letters,"['Rishav Goyal', 'Alex Sen Gupta', 'Martin Jucker', 'Matthew H. England']",2021,10.1029/2020GL090849
