,journal_title,article_title,contributors,year,doi
0,"International Environmental Agreements: Politics, Law and Economics","International Environmental Agreements: Politics, Law and Economics","['Jane A. Flegal', 'Aarti Gupta']",2018,10.1007/s10784-017-9377-6
1,Climate Dynamics,Climate Dynamics,"['Weiyi Sun', 'Bin Wang', 'Deliang Chen', 'Chaochao Gao', 'Guonian Lu', 'Jian Liu']",2020,10.1007/s00382-020-05371-7
2,Journal of Climate,Journal of Climate,"['Helene Muri', 'Jerry Tjiputra', 'Odd Helge Otterå', 'Muralidhar Adakudlu', 'Siv K. Lauvset', 'Alf Grini', 'Michael Schulz', 'Ulrike Niemeier', 'Jón Egill Kristjánsson']",2018,10.1175/JCLI-D-17-0620.1
3,Environmental Research Letters,Environmental Research Letters,"['K U Jayakrishnan', 'Govindasamy Bala', 'Long Cao', 'Ken Caldeira']",2022,10.1088/1748-9326/ac69fd
4,Geoscientific Model Development,Geoscientific Model Development,"['Charlotte Pascoe', 'Bryan N. Lawrence', 'Eric Guilyardi', 'Martin Juckes', 'Karl E. Taylor']",2020,10.5194/gmd-13-2149-2020
5,Current Climate Change Reports,Current Climate Change Reports,['Long Cao'],2018,10.1007/s40641-018-0088-z
6,Climate Policy,Climate Policy,"['Masahiro Sugiyama', 'Yosuke Arino', 'Takanobu Kosugi', 'Atsushi Kurosawa', 'Shingo Watanabe']",2018,10.1080/14693062.2017.1323721
7,Geophysical Research Letters,Geophysical Research Letters,"['Chang‐Eui Park', 'Su‐Jong Jeong', 'Yuanchao Fan', 'Jerry Tjiputra', 'Helene Muri', 'Chunmiao Zheng']",2019,10.1029/2019GL084210
8,Earth System Dynamics,Earth System Dynamics,"['Aobo Liu', 'John C. Moore', 'Yating Chen']",2023,10.5194/esd-14-39-2023
9,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Wenfu Tang', 'Simone Tilmes', 'David M. Lawrence', 'Fang Li', 'Cenlin He', 'Louisa K. Emmons', 'Rebecca R. Buchholz', 'Lili Xia']",2023,10.5194/acp-23-5467-2023
10,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Lei Duan', 'Long Cao', 'Govindasamy Bala', 'Ken Caldeira']",2020,10.1029/2019JD031883
11,Geophysical Research Letters,Geophysical Research Letters,"['Long Cao', 'Jiu Jiang']",2017,10.1002/2017GL076546
12,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,"['D. G. MacMartin', 'D. Visioni', 'B. Kravitz', 'J.H. Richter', 'T. Felgenhauer', 'W. R. Lee', 'D. R. Morrow', 'E. A. Parson', 'M. Sugiyama']",2022,10.1073/pnas.2202230119
13,Earth's Future,Earth's Future,['Alan Robock'],2016,10.1002/2016EF000407
14,Geoengineering,"Climate Technology, Gender, and Justice",['Tina Sikka'],2019,10.1007/978-3-030-01147-5_2
15,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,"['Phoebe L. Zarnetske', 'Jessica Gurevitch', 'Janet Franklin', 'Peter M. Groffman', 'Cheryl S. Harrison', 'Jessica J. Hellmann', 'Forrest M. Hoffman', 'Shan Kothari', 'Alan Robock', 'Simone Tilmes', 'Daniele Visioni', 'Jin Wu', 'Lili Xia', 'Cheng-En Yang']",2021,10.1073/pnas.1921854118
