,journal_title,article_title,contributors,year,doi
0,Geoscientific Model Development,Geoscientific Model Development,"['Meng-Zhuo Zhang', 'Zhongfeng Xu', 'Ying Han', 'Weidong Guo']",2021,10.5194/gmd-14-3079-2021
1,Geoscientific Model Development,Geoscientific Model Development,"['Zhongfeng Xu', 'Zhaolu Hou', 'Ying Han', 'Weidong Guo']",2016,10.5194/gmd-9-4365-2016
2,Weather and Climate Dynamics,Weather and Climate Dynamics,"['Jorge L. García-Franco', 'Lesley J. Gray', 'Scott Osprey']",2020,10.5194/wcd-1-349-2020
3,Quarterly Journal of the Royal Meteorological Society,Quarterly Journal of the Royal Meteorological Society,"[""Christopher H. O'Reilly"", 'Antje Weisheimer', 'David MacLeod', 'Daniel J. Befort', 'Tim Palmer']",2020,10.1002/qj.3890
4,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Bian He', 'Yimin Liu', 'Guoxiong Wu', 'Qing Bao', 'Tianjun Zhou', 'Xiaofei Wu', 'Lei Wang', 'Jiandong Li', 'Xiaocong Wang', 'Jinxiao Li', 'Wenting Hu', 'Xiaoqi Zhang', 'Chen Sheng', 'Yiqiong Tang']",2020,10.1007/s00376-019-9085-y
5,Journal of Climate,Journal of Climate,"['Jie Jiang', 'Tianjun Zhou']",2019,10.1175/JCLI-D-18-0890.1
6,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Roland Séférian', 'Pierre Nabat', 'Martine Michou', 'David Saint‐Martin', 'Aurore Voldoire', 'Jeanne Colin', 'Bertrand Decharme', 'Christine Delire', 'Sarah Berthet', 'Matthieu Chevallier', 'Stephane Sénési', 'Laurent Franchisteguy', 'Jessica Vial', 'Marc Mallet', 'Emilie Joetzjer', 'Olivier Geoffroy', 'Jean‐François Guérémy', 'Marie‐Pierre Moine', 'Rym Msadek', 'Aurélien Ribes', 'Matthias Rocher', 'Romain Roehrig', 'David Salas‐y‐Mélia', 'Emilia Sanchez', 'Laurent Terray', 'Sophie Valcke', 'Robin Waldman', 'Olivier Aumont', 'Laurent Bopp', 'Julie Deshayes', 'Christian Éthé', 'Gurvan Madec']",2019,10.1029/2019MS001791
7,Environmental Research Letters,Environmental Research Letters,"['Kyung-Ja Ha', 'Byeong-Hee Kim', 'Eui-Seok Chung', 'Johnny C L Chan', 'Chih-Pei Chang']",2020,10.1088/1748-9326/ab7767
8,Weather and Climate Extremes,Weather and Climate Extremes,"['Dáithí A. Stone', 'Nikolaos Christidis', 'Chris Folland', 'Sarah Perkins-Kirkpatrick', 'Judith Perlwitz', 'Hideo Shiogama', 'Michael F. Wehner', 'Piotr Wolski', 'Shreyas Cholia', 'Harinarayan Krishnan', 'Donald Murray', 'Oliver Angélil', 'Urs Beyerle', 'Andrew Ciavarella', 'Andrea Dittus', 'Xiao-Wei Quan', 'Mark Tadross']",2019,10.1016/j.wace.2019.100206
9,Climate Dynamics,Climate Dynamics,"['Fabio Di Sante', 'Erika Coppola', 'Riccardo Farneti', 'Filippo Giorgi']",2019,10.1007/s00382-019-04612-8
10,Geoscientific Model Development,Geoscientific Model Development,"['Doug M. Smith', 'James A. Screen', 'Clara Deser', 'Judah Cohen', 'John C. Fyfe', 'Javier García-Serrano', 'Thomas Jung', 'Vladimir Kattsov', 'Daniela Matei', 'Rym Msadek', 'Yannick Peings', 'Michael Sigmond', 'Jinro Ukita', 'Jin-Ho Yoon', 'Xiangdong Zhang']",2019,10.5194/gmd-12-1139-2019
11,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Rucong Yu', 'Yi Zhang', 'Jianjie Wang', 'Jian Li', 'Haoming Chen', 'Jiandong Gong', 'Jing Chen']",2019,10.1007/s00376-019-8203-1
12,Climate Dynamics,Climate Dynamics,"['Rebecca Jean Herman', 'Michela Biasutti', 'Yochanan Kushnir']",2023,10.1007/s00382-023-06755-1
13,Climate Dynamics,Climate Dynamics,"['Wenxia Zhang', 'Yongjun Chen', 'Tianjun Zhou', 'Xiaolong Chen', 'Zikun Ren']",2023,10.1007/s00382-023-06842-3
14,Indian Ocean Dipole influence on Indian summer monsoon and ENSO: A review,Indian Summer Monsoon Variability,"['Annalisa Cherchi', 'Pascal Terray', 'Satyaban B. Ratna', 'Syam Sankar', 'K P Sooraj', 'Swadhin Behera']",2021,10.1016/B978-0-12-822402-1.00011-9
15,Environmental Research Letters,Environmental Research Letters,"['Tao Zhu', 'Jing Yang', 'Bian He']",2023,10.1088/1748-9326/acd796
16,Weather and Forecasting,Weather and Forecasting,"['Jinxiao Li', 'Qing Bao', 'Yimin Liu', 'Guoxiong Wu', 'Lei Wang', 'Bian He', 'Xiaocong Wang', 'Jing Yang', 'Xiaofei Wu', 'Zili Shen']",2021,10.1175/WAF-D-20-0189.1
17,Climate Dynamics,Climate Dynamics,"['Hervé Douville', 'A. Ribes', 'S. Tyteca']",2019,10.1007/s00382-018-4141-3
18,Climate Dynamics,Climate Dynamics,"['Koffi Worou', 'Hugues Goosse', 'Thierry Fichefet', 'Françoise Guichard', 'Moussa Diakhate']",2020,10.1007/s00382-020-05276-5
19,Climate Dynamics,Climate Dynamics,"['Haolin Luo', 'Ziqian Wang', 'Song Yang', 'Wei Hua']",2023,10.1007/s00382-022-06301-5
20,Earth-Science Reviews,Earth-Science Reviews,"['Pin Xian Wang', 'Bin Wang', 'Hai Cheng', 'John Fasullo', 'ZhengTang Guo', 'Thorsten Kiefer', 'ZhengYu Liu']",2017,10.1016/j.earscirev.2017.07.006
21,Climate Dynamics,Climate Dynamics,"['Tianyun Dong', 'Wenjie Dong']",2021,10.1007/s00382-021-05773-1
22,WIREs Climate Change,WIREs Climate Change,"['Deepti Singh', 'Subimal Ghosh', 'Mathew K. Roxy', 'Sonali McDermid']",2019,10.1002/wcc.571
23,Geoscientific Model Development,Geoscientific Model Development,"['Nathan P. Gillett', 'Hideo Shiogama', 'Bernd Funke', 'Gabriele Hegerl', 'Reto Knutti', 'Katja Matthes', 'Benjamin D. Santer', 'Daithi Stone', 'Claudia Tebaldi']",2016,10.5194/gmd-9-3685-2016
24,Sustainability,Sustainability,"['Buddhi Wijesiri', 'Erick Bandala', 'An Liu', 'Ashantha Goonetilleke']",2020,10.3390/su122410463
25,Climate Dynamics,Climate Dynamics,"['Martin B. Stolpe', 'Kevin Cowtan', 'Iselin Medhaug', 'Reto Knutti']",2021,10.1007/s00382-020-05493-y
26,International Journal of Climatology,International Journal of Climatology,"['Iracema F. A. Cavalcanti', 'Dayana C. Souza', 'Paulo Y. Kubota', 'Caio A. S. Coelho', 'Silvio N. Figueroa', 'Jessica C. A. Baker']",2022,10.1002/joc.7694
27,Climate Dynamics,Climate Dynamics,"['Hui Sun', 'Xiaodong Liu']",2021,10.1007/s00382-020-05593-9
28,Climate Dynamics,Climate Dynamics,"['Guojun Gu', 'Robert F. Adler']",2023,10.1007/s00382-022-06567-9
29,Atmosphere,Atmosphere,['Jinxiao Li'],2023,10.3390/atmos14050905
30,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Ping Zhang', 'Anmin Duan']",2021,10.1029/2021JD034675
31,Journal of Climate,Journal of Climate,"['Shuai Hu', 'Bo Wu', 'Tianjun Zhou', 'Yongqiang Yu']",2022,10.1175/JCLI-D-21-0207.1
