,journal_title,article_title,contributors,year,doi
0,The Cryosphere,The Cryosphere,"['Kevin Bulthuis', 'Maarten Arnst', 'Sainan Sun', 'Frank Pattyn']",2019,10.5194/tc-13-1349-2019
1,Climate Dynamics,Climate Dynamics,"['Jay R. Alder', 'Steven W. Hostetler']",2019,10.1007/s00382-019-04663-x
2,Earth System Dynamics,Earth System Dynamics,"['Christoph Heinze', 'Veronika Eyring', 'Pierre Friedlingstein', 'Colin Jones', 'Yves Balkanski', 'William Collins', 'Thierry Fichefet', 'Shuang Gao', 'Alex Hall', 'Detelina Ivanova', 'Wolfgang Knorr', 'Reto Knutti', 'Alexander Löw', 'Michael Ponater', 'Martin G. Schultz', 'Michael Schulz', 'Pier Siebesma', 'Joao Teixeira', 'George Tselioudis', 'Martin Vancoppenolle']",2019,10.5194/esd-10-379-2019
3,Oceanography,Oceanography,"['Sophie Nowicki', 'Helene Seroussi']",2018,10.5670/oceanog.2018.216
4,The Cryosphere,The Cryosphere,"['Julien Brondex', 'Fabien Gillet-Chaulet', 'Olivier Gagliardini']",2019,10.5194/tc-13-177-2019
5,Environmental Research Letters,Environmental Research Letters,"['Ji-Hoon Oh', 'Kyung Min Noh', 'Hyung-Gyu Lim', 'Emilia Kyung Jin', 'Sang-Yoon Jun', 'Jong-Seong Kug']",2022,10.1088/1748-9326/ac444e
6,Earth and Space Science,Earth and Space Science,"['Sandra O. Brugger', 'Adrian A. Jimenez', 'Leandro Ponsoni', 'Claire Todd']",2022,10.1029/2021EA002111
7,Nature,Nature,"['Tamsin L. Edwards', 'Mark A. Brandon', 'Gael Durand', 'Neil R. Edwards', 'Nicholas R. Golledge', 'Philip B. Holden', 'Isabel J. Nias', 'Antony J. Payne', 'Catherine Ritz', 'Andreas Wernecke']",2019,10.1038/s41586-019-0901-4
8,Environmental Research Communications,Environmental Research Communications,"['Jennifer H Weeks', 'Fai Fung', 'Benjamin J Harrison', 'Matthew D Palmer']",2023,10.1088/2515-7620/acc020
9,The Cryosphere,The Cryosphere,"['Raymond Sellevold', 'Leonardus van Kampenhout', 'Jan T. M. Lenaerts', 'Brice Noël', 'William H. Lipscomb', 'Miren Vizcaino']",2019,10.5194/tc-13-3193-2019
10,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Laura Muntjewerf', 'Raymond Sellevold', 'Miren Vizcaino', 'Carolina Ernani da Silva', 'Michele Petrini', 'Katherine Thayer‐Calder', 'Meike D. W. Scherrenberg', 'Sarah L. Bradley', 'Caroline A. Katsman', 'Jeremy Fyke', 'William H. Lipscomb', 'Marcus Lofverstrom', 'William J. Sacks']",2020,10.1029/2019MS002031
11,The Cryosphere,The Cryosphere,"['Hélène Seroussi', 'Sophie Nowicki', 'Erika Simon', 'Ayako Abe-Ouchi', 'Torsten Albrecht', 'Julien Brondex', 'Stephen Cornford', 'Christophe Dumas', 'Fabien Gillet-Chaulet', 'Heiko Goelzer', 'Nicholas R. Golledge', 'Jonathan M. Gregory', 'Ralf Greve', 'Matthew J. Hoffman', 'Angelika Humbert', 'Philippe Huybrechts', 'Thomas Kleiner', 'Eric Larour', 'Gunter Leguy', 'William H. Lipscomb', 'Daniel Lowry', 'Matthias Mengel', 'Mathieu Morlighem', 'Frank Pattyn', 'Anthony J. Payne', 'David Pollard', 'Stephen F. Price', 'Aurélien Quiquet', 'Thomas J. Reerink', 'Ronja Reese', 'Christian B. Rodehacke', 'Nicole-Jeanne Schlegel', 'Andrew Shepherd', 'Sainan Sun', 'Johannes Sutter', 'Jonas Van Breedam', 'Roderik S. W. van de Wal', 'Ricarda Winkelmann', 'Tong Zhang']",2019,10.5194/tc-13-1441-2019
12,Nature,Nature,"['Tamsin L. Edwards', 'Sophie Nowicki', 'Ben Marzeion', 'Regine Hock', 'Heiko Goelzer', 'Hélène Seroussi', 'Nicolas C. Jourdain', 'Donald A. Slater', 'Fiona E. Turner', 'Christopher J. Smith', 'Christine M. McKenna', 'Erika Simon', 'Ayako Abe-Ouchi', 'Jonathan M. Gregory', 'Eric Larour', 'William H. Lipscomb', 'Antony J. Payne', 'Andrew Shepherd', 'Cécile Agosta', 'Patrick Alexander', 'Torsten Albrecht', 'Brian Anderson', 'Xylar Asay-Davis', 'Andy Aschwanden', 'Alice Barthel', 'Andrew Bliss', 'Reinhard Calov', 'Christopher Chambers', 'Nicolas Champollion', 'Youngmin Choi', 'Richard Cullather', 'Joshua Cuzzone', 'Christophe Dumas', 'Denis Felikson', 'Xavier Fettweis', 'Koji Fujita', 'Benjamin K. Galton-Fenzi', 'Rupert Gladstone', 'Nicholas R. Golledge', 'Ralf Greve', 'Tore Hattermann', 'Matthew J. Hoffman', 'Angelika Humbert', 'Matthias Huss', 'Philippe Huybrechts', 'Walter Immerzeel', 'Thomas Kleiner', 'Philip Kraaijenbrink', 'Sébastien Le clec’h', 'Victoria Lee', 'Gunter R. Leguy', 'Christopher M. Little', 'Daniel P. Lowry', 'Jan-Hendrik Malles', 'Daniel F. Martin', 'Fabien Maussion', 'Mathieu Morlighem', 'James F. O’Neill', 'Isabel Nias', 'Frank Pattyn', 'Tyler Pelle', 'Stephen F. Price', 'Aurélien Quiquet', 'Valentina Radić', 'Ronja Reese', 'David R. Rounce', 'Martin Rückamp', 'Akiko Sakai', 'Courtney Shafer', 'Nicole-Jeanne Schlegel', 'Sarah Shannon', 'Robin S. Smith', 'Fiammetta Straneo', 'Sainan Sun', 'Lev Tarasov', 'Luke D. Trusel', 'Jonas Van Breedam', 'Roderik van de Wal', 'Michiel van den Broeke', 'Ricarda Winkelmann', 'Harry Zekollari', 'Chen Zhao', 'Tong Zhang', 'Thomas Zwinger']",2021,10.1038/s41586-021-03302-y
13,Earth System Dynamics,Earth System Dynamics,"['Francisco José Cuesta-Valero', 'Almudena García-García', 'Hugo Beltrami', 'Joel Finnis']",2021,10.5194/esd-12-581-2021
14,Geoscientific Model Development,Geoscientific Model Development,"['Masa Kageyama', 'Pascale Braconnot', 'Sandy P. Harrison', 'Alan M. Haywood', 'Johann H. Jungclaus', 'Bette L. Otto-Bliesner', 'Jean-Yves Peterschmitt', 'Ayako Abe-Ouchi', 'Samuel Albani', 'Patrick J. Bartlein', 'Chris Brierley', 'Michel Crucifix', 'Aisling Dolan', 'Laura Fernandez-Donado', 'Hubertus Fischer', 'Peter O. Hopcroft', 'Ruza F. Ivanovic', 'Fabrice Lambert', 'Daniel J. Lunt', 'Natalie M. Mahowald', 'W. Richard Peltier', 'Steven J. Phipps', 'Didier M. Roche', 'Gavin A. Schmidt', 'Lev Tarasov', 'Paul J. Valdes', 'Qiong Zhang', 'Tianjun Zhou']",2018,10.5194/gmd-11-1033-2018
15,Nature Communications,Nature Communications,"['Florence Colleoni', 'Laura De Santis', 'Christine S. Siddoway', 'Andrea Bergamasco', 'Nicholas R. Golledge', 'Gerrit Lohmann', 'Sandra Passchier', 'Martin J. Siegert']",2018,10.1038/s41467-018-04583-0
16,Geoscientific Model Development,Geoscientific Model Development,"['Matthew J. Hoffman', 'Mauro Perego', 'Stephen F. Price', 'William H. Lipscomb', 'Tong Zhang', 'Douglas Jacobsen', 'Irina Tezaur', 'Andrew G. Salinger', 'Raymond Tuminaro', 'Luca Bertagna']",2018,10.5194/gmd-11-3747-2018
