,journal_title,article_title,contributors,year,doi
0,Geoscientific Model Development,Geoscientific Model Development,"['Charlotte Pascoe', 'Bryan N. Lawrence', 'Eric Guilyardi', 'Martin Juckes', 'Karl E. Taylor']",2020,10.5194/gmd-13-2149-2020
1,Hydrology and Earth System Sciences,Hydrology and Earth System Sciences,"['Eunkyo Seo', 'Paul A. Dirmeyer']",2022,10.5194/hess-26-5411-2022
2,Geophysical Research Letters,Geophysical Research Letters,"['R. K. Braghiere', 'J. B. Fisher', 'R. A. Fisher', 'M. Shi', 'B. S. Steidinger', 'B. N. Sulman', 'N. A. Soudzilovskaia', 'X. Yang', 'J. Liang', 'K. G. Peay', 'T. W. Crowther', 'R. P. Phillips']",2021,10.1029/2021GL094514
3,Land,Land,"['Jinxiu Liu', 'Weihao Shen', 'Yaqian He']",2021,10.3390/land10050489
4,Environmental Research Letters,Environmental Research Letters,"['Nicole S Lovenduski', 'Gordon B Bonan']",2017,10.1088/1748-9326/aa66b8
5,Nature,Nature,"['Carlos A. Guerra', 'Miguel Berdugo', 'David J. Eldridge', 'Nico Eisenhauer', 'Brajesh K. Singh', 'Haiying Cui', 'Sebastian Abades', 'Fernando D. Alfaro', 'Adebola R. Bamigboye', 'Felipe Bastida', 'José L. Blanco-Pastor', 'Asunción de los Ríos', 'Jorge Durán', 'Tine Grebenc', 'Javier G. Illán', 'Yu-Rong Liu', 'Thulani P. Makhalanyane', 'Steven Mamet', 'Marco A. Molina-Montenegro', 'José L. Moreno', 'Arpan Mukherjee', 'Tina U. Nahberger', 'Gabriel F. Peñaloza-Bojacá', 'César Plaza', 'Sergio Picó', 'Jay Prakash Verma', 'Ana Rey', 'Alexandra Rodríguez', 'Leho Tedersoo', 'Alberto L. Teixido', 'Cristian Torres-Díaz', 'Pankaj Trivedi', 'Juntao Wang', 'Ling Wang', 'Jianyong Wang', 'Eli Zaady', 'Xiaobing Zhou', 'Xin-Quan Zhou', 'Manuel Delgado-Baquerizo']",2022,10.1038/s41586-022-05292-x
6,Geophysical Research Letters,Geophysical Research Letters,"['Zhiyi Jiang', 'Chris M. Brierley', 'Jürgen Bader', 'Pascale Braconnot', 'Michael Erb', 'Peter O. Hopcroft', 'Dabang Jiang', 'Johann Jungclaus', 'Vyacheslav Khon', 'Gerrit Lohmann', 'Olivier Marti', 'Matthew B. Osman', 'Bette Otto‐Bliesner', 'Birgit Schneider', 'Xiaoxu Shi', 'David J. R. Thornalley', 'Zhiping Tian', 'Qiong Zhang']",2023,10.1029/2023GL103078
7,Geophysical Research Letters,Geophysical Research Letters,"['J. C. A. Baker', 'D. V. Spracklen']",2022,10.1029/2021GL095136
8,Geoscientific Model Development,Geoscientific Model Development,"['Rumi Ohgaito', 'Akitomo Yamamoto', 'Tomohiro Hajima', ""Ryouta O'ishi"", 'Manabu Abe', 'Hiroaki Tatebe', 'Ayako Abe-Ouchi', 'Michio Kawamiya']",2021,10.5194/gmd-14-1195-2021
9,Journal of Hydrology,Journal of Hydrology,"['Qilin Wang', 'Lei Cheng', 'Lu Zhang', 'Pan Liu', 'Shujing Qin', 'Liu Liu', 'Zhaoxia Jing']",2021,10.1016/j.jhydrol.2021.126231
10,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['S. S. McDermid', 'L. O. Mearns', 'A. C. Ruane']",2017,10.1002/2016MS000749
11,Journal of Geophysical Research: Biogeosciences,Journal of Geophysical Research: Biogeosciences,"['Bharat Sharma', 'Jitendra Kumar', 'Nathan Collier', 'Auroop R. Ganguly', 'Forrest M. Hoffman']",2022,10.1029/2021JG006738
12,Nature Communications,Nature Communications,"['Jun Ge', 'Qi Liu', 'Beilei Zan', 'Zhiqiang Lin', 'Sha Lu', 'Bo Qiu', 'Weidong Guo']",2022,10.1038/s41467-022-33622-0
13,Nature Geoscience,Nature Geoscience,"['H. Damon Matthews', 'Katarzyna B. Tokarska', 'Zebedee R. J. Nicholls', 'Joeri Rogelj', 'Josep G. Canadell', 'Pierre Friedlingstein', 'Thomas L. Frölicher', 'Piers M. Forster', 'Nathan P. Gillett', 'Tatiana Ilyina', 'Robert B. Jackson', 'Chris D. Jones', 'Charles Koven', 'Reto Knutti', 'Andrew H. MacDougall', 'Malte Meinshausen', 'Nadine Mengis', 'Roland Séférian', 'Kirsten Zickfeld']",2020,10.1038/s41561-020-00663-3
14,Ecohydrology & Hydrobiology,Ecohydrology & Hydrobiology,"['Umida Makhmudova', 'Sayidjakhon Khasanov', 'Akmal Karimov', 'Sarvar Abdurakhmonov']",2023,10.1016/j.ecohyd.2023.03.006
15,Urban Climate,Urban Climate,"['Yaofeng Gu', 'Dan Li']",2018,10.1016/j.uclim.2017.12.001
16,Global Biogeochemical Cycles,Global Biogeochemical Cycles,"['Gordon B. Bonan', 'Danica L. Lombardozzi', 'William R. Wieder', 'Keith W. Oleson', 'David M. Lawrence', 'Forrest M. Hoffman', 'Nathan Collier']",2019,10.1029/2019GB006175
17,Frontiers in Environmental Science,Frontiers in Environmental Science,"['Carlo Giupponi', 'Animesh K. Gain', 'Fabio Farinosi']",2018,10.3389/fenvs.2018.00141
18,Environmental Research Letters,Environmental Research Letters,"['TC Chakraborty', 'Chandan Sarangi', 'Xuhui Lee']",2021,10.1088/1748-9326/abef8e
19,Nature Reviews Earth & Environment,Nature Reviews Earth & Environment,"['Sonali McDermid', 'Mallika Nocco', 'Patricia Lawston-Parker', 'Jessica Keune', 'Yadu Pokhrel', 'Meha Jain', 'Jonas Jägermeyr', 'Luca Brocca', 'Christian Massari', 'Andrew D. Jones', 'Pouya Vahmani', 'Wim Thiery', 'Yi Yao', 'Andrew Bell', 'Liang Chen', 'Wouter Dorigo', 'Naota Hanasaki', 'Scott Jasechko', 'Min-Hui Lo', 'Rezaul Mahmood', 'Vimal Mishra', 'Nathaniel D. Mueller', 'Dev Niyogi', 'Sam S. Rabin', 'Lindsey Sloat', 'Yoshihide Wada', 'Luca Zappa', 'Fei Chen', 'Benjamin I. Cook', 'Hyungjun Kim', 'Danica Lombardozzi', 'Jan Polcher', 'Dongryeol Ryu', 'Joe Santanello', 'Yusuke Satoh', 'Sonia Seneviratne', 'Deepti Singh', 'Tokuta Yokohata']",2023,10.1038/s43017-023-00438-5
20,Nature Communications,Nature Communications,"['E. Sinha', 'A. M. Michalak', 'K. V. Calvin', 'P. J. Lawrence']",2019,10.1038/s41467-019-08884-w
21,Geophysical Research Letters,Geophysical Research Letters,"['Johannes Winckler', 'Quentin Lejeune', 'Christian H. Reick', 'Julia Pongratz']",2019,10.1029/2018GL080211
22,Arabian Journal of Geosciences,Arabian Journal of Geosciences,"['Qi Luo', 'Tinglong Zhang', 'Zhenchao Li']",2022,10.1007/s12517-022-10993-8
23,Current Climate Change Reports,Current Climate Change Reports,"['Xiangtao Xu', 'Anna T. Trugman']",2021,10.1007/s40641-020-00168-6
24,Ecography,Ecography,"['Spyros Theodoridis', 'Carsten Rahbek', 'David Nogues‐Bravo']",2021,10.1111/ecog.05588
25,Geophysical Research Letters,Geophysical Research Letters,"['Thanh Le', 'Kyung‐Ja Ha', 'Deg‐Hyo Bae']",2021,10.1029/2021GL095804
26,Agricultural and Forest Meteorology,Agricultural and Forest Meteorology,"['Petra Sieber', 'Sepp Böhme', 'Niclas Ericsson', 'Per-Anders Hansson']",2022,10.1016/j.agrformet.2022.108978
27,Earth's Future,Earth's Future,"['P. A. Mooney', 'H. Lee', 'S. Sobolowski']",2021,10.1029/2020EF001838
28,Geoscientific Model Development,Geoscientific Model Development,"['Lei Ma', 'George C. Hurtt', 'Louise P. Chini', 'Ritvik Sahajpal', 'Julia Pongratz', 'Steve Frolking', 'Elke Stehfest', 'Kees Klein Goldewijk', ""Donal O'Leary"", 'Jonathan C. Doelman']",2020,10.5194/gmd-13-3203-2020
29,Journal of Climate,Journal of Climate,"['Ning Wei', 'Jianyang Xia', 'Jian Zhou', 'Lifen Jiang', 'Erqian Cui', 'Jiaye Ping', 'Yiqi Luo']",2022,10.1175/JCLI-D-21-0763.1
30,Frontiers in Ecology and Evolution,Frontiers in Ecology and Evolution,"['Yiming Deng', 'Eben Goodale', 'Anran Dong', 'Demeng Jiang', 'Aiwu Jiang', 'Zhixin Zhang', 'Christos Mammides']",2023,10.3389/fevo.2023.1174495
31,Earth system perspective,Balancing Greenhouse Gas Budgets,"['Lesley Ott', 'Abhishek Chatterjee']",2022,10.1016/B978-0-12-814952-2.00014-9
32,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Gen Ito', 'Anastasia Romanou', 'Nancy Y. Kiang', 'Gregory Faluvegi', 'Igor Aleinov', 'Reto Ruedy', 'Gary Russell', 'Paul Lerner', 'Maxwell Kelley', 'Ken Lo']",2020,10.1029/2019MS002030
33,Journal of Climate,Journal of Climate,"['Jun Ge', 'Bo Qiu', 'Bowen Chu', 'Duzitian Li', 'Lingling Jiang', 'Weidan Zhou', 'Jianping Tang', 'Weidong Guo']",2021,10.1175/JCLI-D-21-0462.1
34,Journal of Hydrometeorology,Journal of Hydrometeorology,"['Liang Chen', 'Paul A. Dirmeyer', 'Ahmed Tawfik', 'David M. Lawrence']",2017,10.1175/JHM-D-17-0011.1
35,Environmental Research Letters,Environmental Research Letters,"['Xiang Song', 'Fang Li', 'Sandy P Harrison', 'Tianxiang Luo', 'Almut Arneth', 'Matthew Forrest', 'Stijn Hantson', 'Gitta Lasslop', 'Stephane Mangeon', 'Jian Ni', 'Chao Yue', 'Thomas Hickler', 'Yiqi Luo', 'Stephen Sitch', 'Xin Xu', 'Zaichun Zhu']",2020,10.1088/1748-9326/ab94e8
36,Climate Dynamics,Climate Dynamics,"['Wilhelm May', 'Markku Rummukainen', 'Frederique Chéruy', 'Stefan Hagemann', 'Arndt Meier']",2017,10.1007/s00382-016-3408-9
