,journal_title,article_title,contributors,year,doi
0,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Yaqi Wang', 'Zipeng Yu', 'Pengfei Lin', 'Hailong Liu', 'Jiangbo Jin', 'Lijuan Li', 'Yanli Tang', 'Li Dong', 'Kangjun Chen', 'Yiwen Li', 'Qian Yang', 'Mengrong Ding', 'Yao Meng', 'Bowen Zhao', 'Jilin Wei', 'Jinfeng Ma', 'Zhikuo Sun']",2020,10.1007/s00376-020-2045-8
1,Applied Sciences,Applied Sciences,"['Huiqun Hao', 'Jinrong Jiang', 'Tianyi Wang', 'Hailong Liu', 'Pengfei Lin', 'Ziyang Zhang', 'Beifang Niu']",2023,10.3390/app13042690
2,Environmental Biology of Fishes,Environmental Biology of Fishes,"['Tayler M. Clarke', 'Thomas Frölicher', 'Gabriel Reygondeau', 'Fresia Villalobos-Rojas', 'Colette C. C. Wabnitz', 'Ingo S. Wehrtmann', 'William W. L. Cheung']",2022,10.1007/s10641-022-01256-2
3,The Cryosphere,The Cryosphere,"['Abigail Smith', 'Alexandra Jahn', 'Clara Burgard', 'Dirk Notz']",2022,10.5194/tc-16-3235-2022
4,Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans,"['F. K. Garry', 'E. L. McDonagh', 'A. T. Blaker', 'C. D. Roberts', 'D. G. Desbruyères', 'E. Frajka‐Williams', 'B. A. King']",2019,10.1029/2018JC014225
5,Earth System Science Data,Earth System Science Data,"['Andrea Storto', 'Simona Masina']",2016,10.5194/essd-8-679-2016
6,Global Biogeochemical Cycles,Global Biogeochemical Cycles,"['Ivy Frenger', 'Daniele Bianchi', 'Carolin Stührenberg', 'Andreas Oschlies', 'John Dunne', 'Curtis Deutsch', 'Eric Galbraith', 'Florian Schütte']",2018,10.1002/2017GB005743
7,Journal of Climate,Journal of Climate,"['Yuchao Zhu', 'Rong-Hua Zhang', 'Jichang Sun']",2020,10.1175/JCLI-D-19-0654.1
8,Geoscientific Model Development,Geoscientific Model Development,"['Stephen G. Yeager', 'Nan Rosenbloom', 'Anne A. Glanville', 'Xian Wu', 'Isla Simpson', 'Hui Li', 'Maria J. Molina', 'Kristen Krumhardt', 'Samuel Mogen', 'Keith Lindsay', 'Danica Lombardozzi', 'Will Wieder', 'Who M. Kim', 'Jadwiga H. Richter', 'Matthew Long', 'Gokhan Danabasoglu', 'David Bailey', 'Marika Holland', 'Nicole Lovenduski', 'Warren G. Strand', 'Teagan King']",2022,10.5194/gmd-15-6451-2022
9,Geophysical Research Letters,Geophysical Research Letters,"['B. G. Reichl', 'L. Deike']",2020,10.1029/2020GL087267
10,Geoscientific Model Development,Geoscientific Model Development,"['Shiming Xu', 'Jialiang Ma', 'Lu Zhou', 'Yan Zhang', 'Jiping Liu', 'Bin Wang']",2021,10.5194/gmd-14-603-2021
11,Journal of Climate,Journal of Climate,"['Anne Marie Treguier', 'Pierre Mathiot', 'Tim Graham', 'Dan Copsey', 'Camille Lique', 'Jean Sterlin']",2021,10.1175/JCLI-D-20-0063.1
12,Journal of Climate,Journal of Climate,"['Michael Mayer', 'Leopold Haimberger', 'John M. Edwards', 'Patrick Hyder']",2017,10.1175/JCLI-D-17-0137.1
