,journal_title,article_title,contributors,year,doi
0,Frontiers in Marine Science,Frontiers in Marine Science,"['Julie A. Trotter', 'Charitha Pattiaratchi', 'Paolo Montagna', 'Marco Taviani', 'James Falter', 'Ron Thresher', 'Andrew Hosie', 'David Haig', 'Federica Foglini', 'Quan Hua', 'Malcolm T. McCulloch']",2019,10.3389/fmars.2019.00173
1,Global Biogeochemical Cycles,Global Biogeochemical Cycles,"['William J. Jenkins', 'Scott C. Doney', 'Alan M. Seltzer', 'Christopher R. German', 'Dempsey E. Lott', 'Kevin L. Cahill']",2023,10.1029/2022GB007667
2,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['J. P. Dunne', 'I. Bociu', 'B. Bronselaer', 'H. Guo', 'J. G. John', 'J. P. Krasting', 'C. A. Stock', 'M. Winton', 'N. Zadeh']",2020,10.1029/2019MS002008
3,Earth System Science Data,Earth System Science Data,"['Pierre Friedlingstein', ""Michael O'Sullivan"", 'Matthew W. Jones', 'Robbie M. Andrew', 'Judith Hauck', 'Are Olsen', 'Glen P. Peters', 'Wouter Peters', 'Julia Pongratz', 'Stephen Sitch', 'Corinne Le Quéré', 'Josep G. Canadell', 'Philippe Ciais', 'Robert B. Jackson', 'Simone Alin', 'Luiz E. O. C. Aragão', 'Almut Arneth', 'Vivek Arora', 'Nicholas R. Bates', 'Meike Becker', 'Alice Benoit-Cattin', 'Henry C. Bittig', 'Laurent Bopp', 'Selma Bultan', 'Naveen Chandra', 'Frédéric Chevallier', 'Louise P. Chini', 'Wiley Evans', 'Liesbeth Florentie', 'Piers M. Forster', 'Thomas Gasser', 'Marion Gehlen', 'Dennis Gilfillan', 'Thanos Gkritzalis', 'Luke Gregor', 'Nicolas Gruber', 'Ian Harris', 'Kerstin Hartung', 'Vanessa Haverd', 'Richard A. Houghton', 'Tatiana Ilyina', 'Atul K. Jain', 'Emilie Joetzjer', 'Koji Kadono', 'Etsushi Kato', 'Vassilis Kitidis', 'Jan Ivar Korsbakken', 'Peter Landschützer', 'Nathalie Lefèvre', 'Andrew Lenton', 'Sebastian Lienert', 'Zhu Liu', 'Danica Lombardozzi', 'Gregg Marland', 'Nicolas Metzl', 'David R. Munro', 'Julia E. M. S. Nabel', 'Shin-Ichiro Nakaoka', 'Yosuke Niwa', ""Kevin O'Brien"", 'Tsuneo Ono', 'Paul I. Palmer', 'Denis Pierrot', 'Benjamin Poulter', 'Laure Resplandy', 'Eddy Robertson', 'Christian Rödenbeck', 'Jörg Schwinger', 'Roland Séférian', 'Ingunn Skjelvan', 'Adam J. P. Smith', 'Adrienne J. Sutton', 'Toste Tanhua', 'Pieter P. Tans', 'Hanqin Tian', 'Bronte Tilbrook', 'Guido van der Werf', 'Nicolas Vuichard', 'Anthony P. Walker', 'Rik Wanninkhof', 'Andrew J. Watson', 'David Willis', 'Andrew J. Wiltshire', 'Wenping Yuan', 'Xu Yue', 'Sönke Zaehle']",2020,10.5194/essd-12-3269-2020
4,Environmental Research Letters,Environmental Research Letters,"['Mathieu Mongin', 'Mark E Baird', 'Andrew Lenton', 'Craig Neill', 'John Akl']",2021,10.1088/1748-9326/ac002d
5,Global Biogeochemical Cycles,Global Biogeochemical Cycles,"['Heather Graven', 'Ralph F. Keeling', 'Joeri Rogelj']",2020,10.1029/2019GB006170
6,Biogeosciences,Biogeosciences,"['Fabrice Lacroix', 'Tatiana Ilyina', 'Jens Hartmann']",2020,10.5194/bg-17-55-2020
7,Global Biogeochemical Cycles,Global Biogeochemical Cycles,"['A. M. Chiodi', 'J. P. Dunne', 'D. E. Harrison']",2019,10.1029/2018GB006047
8,Climate of the Past,Climate of the Past,"['Aurich Jeltsch-Thömmes', 'Fortunat Joos']",2020,10.5194/cp-16-423-2020
9,Earth System Dynamics,Earth System Dynamics,"['Aaron Spring', 'István Dunkl', 'Hongmei Li', 'Victor Brovkin', 'Tatiana Ilyina']",2021,10.5194/esd-12-1139-2021
