,journal_title,article_title,contributors,year,doi
0,Geophysical Research Letters,Geophysical Research Letters,"['James A. Screen', 'Rosemary Eade', 'Doug M. Smith', 'Stephen Thomson', 'Hao Yu']",2022,10.1029/2022GL100523
1,Nature Climate Change,Nature Climate Change,"['Eystein Jansen', 'Jens Hesselbjerg Christensen', 'Trond Dokken', 'Kerim H. Nisancioglu', 'Bo M. Vinther', 'Emilie Capron', 'Chuncheng Guo', 'Mari F. Jensen', 'Peter L. Langen', 'Rasmus A. Pedersen', 'Shuting Yang', 'Mats Bentsen', 'Helle A. Kjær', 'Henrik Sadatzki', 'Evangeline Sessford', 'Martin Stendel']",2020,10.1038/s41558-020-0860-7
2,Geophysical Research Letters,Geophysical Research Letters,"['A. Walsh', 'J. A. Screen', 'A. A. Scaife', 'D. M. Smith']",2022,10.1029/2022GL100416
3,Earth-Science Reviews,Earth-Science Reviews,"['Qinglong You', 'Ziyi Cai', 'Nick Pepin', 'Deliang Chen', 'Bodo Ahrens', 'Zhihong Jiang', 'Fangying Wu', 'Shichang Kang', 'Ruonan Zhang', 'Tonghua Wu', 'Pengling Wang', 'Mingcai Li', 'Zhiyan Zuo', 'Yanhong Gao', 'Panmao Zhai', 'Yuqing Zhang']",2021,10.1016/j.earscirev.2021.103625
4,Atmosphere,Atmosphere,"['Fernanda Casagrande', 'Francisco A. B. Neto', 'Ronald B. de Souza', 'Paulo Nobre']",2021,10.3390/atmos12111494
5,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Rémy Lapere', 'Jennie L. Thomas', 'Louis Marelle', 'Annica M. L. Ekman', 'Markus M. Frey', 'Marianne Tronstad Lund', 'Risto Makkonen', 'Ananth Ranjithkumar', 'Matthew E. Salter', 'Bjørn Hallvard Samset', 'Michael Schulz', 'Larisa Sogacheva', 'Xin Yang', 'Paul Zieger']",2023,10.1029/2022JD038235
6,Journal of Climate,Journal of Climate,"['Yu-Chiao Liang', 'Claude Frankignoul', 'Young-Oh Kwon', 'Guillaume Gastineau', 'Elisa Manzini', 'Gokhan Danabasoglu', 'Lingling Suo', 'Stephen Yeager', 'Yongqi Gao', 'Jisk J. Attema', 'Annalisa Cherchi', 'Rohit Ghosh', 'Daniela Matei', 'Jennifer V. Mecking', 'Tian Tian', 'Ying Zhang']",2021,10.1175/JCLI-D-20-0578.1
7,Frontiers in Earth Science,Frontiers in Earth Science,"['Yi Fan', 'Xiaona Yao', 'Botao Zhou', 'Huixin Li', 'Mei Liu']",2023,10.3389/feart.2022.1076396
8,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['A. H. Södergren', 'A. J. McDonald']",2022,10.1029/2021JD035058
9,WIREs Climate Change,WIREs Climate Change,"['James D. Ford', 'Tristan Pearce', 'Ivan Villaverde Canosa', 'Sherilee Harper']",2021,10.1002/wcc.735
10,International Journal of Climatology,International Journal of Climatology,"['Shaoyin Wang', 'Jiping Liu', 'Xiao Cheng', 'Tobias Kerzenmacher', 'Hua Li', 'Riyu Lu', 'Yongyun Hu', 'Zhuoqi Chen', 'Peter Braesicke']",2022,10.1002/joc.7603
11,Weather and Climate Dynamics,Weather and Climate Dynamics,"['Amélie Simon', 'Guillaume Gastineau', 'Claude Frankignoul', 'Vladimir Lapin', 'Pablo Ortega']",2022,10.5194/wcd-3-845-2022
12,Weather,Weather,['James A. Screen'],2021,10.1002/wea.4069
13,Frontiers in Climate,Frontiers in Climate,"['Doug M. Smith', 'Nathan P. Gillett', 'Isla R. Simpson', 'Panos J. Athanasiadis', 'Johanna Baehr', 'Ingo Bethke', 'Tarkan A. Bilge', 'Rémy Bonnet', 'Olivier Boucher', 'Kirsten L. Findell', 'Guillaume Gastineau', 'Silvio Gualdi', 'Leon Hermanson', 'L. Ruby Leung', 'Juliette Mignot', 'Wolfgang A. Müller', 'Scott Osprey', 'Odd Helge Otterå', 'Geeta G. Persad', 'Adam A. Scaife', 'Gavin A. Schmidt', 'Hideo Shiogama', 'Rowan T. Sutton', 'Didier Swingedouw', 'Shuting Yang', 'Tianjun Zhou', 'Tilo Ziehn']",2022,10.3389/fclim.2022.955414
14,Journal of Climate,Journal of Climate,"['Tiffany A. Shaw', 'Zoë Smith']",2022,10.1175/JCLI-D-21-0508.1
15,Renewable Energy,Renewable Energy,"['H.C. Bloomfield', 'D.J. Brayshaw', 'A. Troccoli', 'C.M. Goodess', 'M. De Felice', 'L. Dubus', 'P.E. Bett', 'Y.-M. Saint-Drenan']",2021,10.1016/j.renene.2020.09.125
16,Global Biogeochemical Cycles,Global Biogeochemical Cycles,"['Mandy Velthuis', 'Annelies J. Veraart']",2022,10.1029/2022GB007339
17,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Nicole Jacobs', 'William R. Simpson', 'Kelly A. Graham', 'Christopher Holmes', 'Frank Hase', 'Thomas Blumenstock', 'Qiansi Tu', 'Matthias Frey', 'Manvendra K. Dubey', 'Harrison A. Parker', 'Debra Wunch', 'Rigel Kivi', 'Pauli Heikkinen', 'Justus Notholt', 'Christof Petri', 'Thorsten Warneke']",2021,10.5194/acp-21-16661-2021
18,Climate Dynamics,Climate Dynamics,"['Bingyi Wu', 'Shuoyi Ding']",2023,10.1007/s00382-022-06445-4
19,Nature Climate Change,Nature Climate Change,"['Laura Landrum', 'Marika M. Holland']",2020,10.1038/s41558-020-0892-z
20,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Evangelos Tyrlis', 'Elisa Manzini', 'Jürgen Bader', 'Jinro Ukita', 'Hisashi Nakamura', 'Daniela Matei']",2019,10.1029/2019JD031085
21,npj Climate and Atmospheric Science,npj Climate and Atmospheric Science,"['Xavier J. Levine', 'Ivana Cvijanovic', 'Pablo Ortega', 'Markus G. Donat', 'Etienne Tourigny']",2021,10.1038/s41612-021-00183-w
22,Earth and Space Science,Earth and Space Science,"['Varunesh Chandra', 'S. Sandeep', 'E. Suhas', 'Aneesh C. Subramanian']",2022,10.1029/2021EA002185
23,Climate Dynamics,Climate Dynamics,"['Haixia Xiao', 'Feng Zhang', 'Lijuan Miao', 'X. San Liang', 'Kun Wu', 'Renqiang Liu']",2020,10.1007/s00382-020-05330-2
24,Atmospheric Research,Atmospheric Research,"['Guokun Dai', 'Xueying Ma', 'Mu Mu', 'Zhe Han', 'Chunxiang Li', 'Zhina Jiang', 'Mengbin Zhu']",2023,10.1016/j.atmosres.2023.106775
25,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Daniel M. Westervelt', 'Nora R. Mascioli', 'Arlene M. Fiore', 'Andrew J. Conley', 'Jean-François Lamarque', 'Drew T. Shindell', 'Greg Faluvegi', 'Michael Previdi', 'Gustavo Correa', 'Larry W. Horowitz']",2020,10.5194/acp-20-3009-2020
26,Nitrogen,Nitrogen,"['Claudia Fiencke', 'Maija E. Marushchak', 'Tina Sanders', 'Rica Wegner', 'Christian Beer']",2022,10.3390/nitrogen3030031
27,Geoscientific Model Development,Geoscientific Model Development,"['Hakase Hayashida', 'Meibing Jin', 'Nadja S. Steiner', 'Neil C. Swart', 'Eiji Watanabe', 'Russell Fiedler', 'Andrew McC. Hogg', 'Andrew E. Kiss', 'Richard J. Matear', 'Peter G. Strutton']",2021,10.5194/gmd-14-6847-2021
28,Nature Communications,Nature Communications,"['Rachel H. White', 'Sam Anderson', 'James F. Booth', 'Ginni Braich', 'Christina Draeger', 'Cuiyi Fei', 'Christopher D. G. Harley', 'Sarah B. Henderson', 'Matthias Jakob', 'Carie-Ann Lau', 'Lualawi Mareshet Admasu', 'Veeshan Narinesingh', 'Christopher Rodell', 'Eliott Roocroft', 'Kate R. Weinberger', 'Greg West']",2023,10.1038/s41467-023-36289-3
29,Climate of the Past,Climate of the Past,"['Alan M. Haywood', 'Julia C. Tindall', 'Harry J. Dowsett', 'Aisling M. Dolan', 'Kevin M. Foley', 'Stephen J. Hunter', 'Daniel J. Hill', 'Wing-Le Chan', 'Ayako Abe-Ouchi', 'Christian Stepanek', 'Gerrit Lohmann', 'Deepak Chandan', 'W. Richard Peltier', 'Ning Tan', 'Camille Contoux', 'Gilles Ramstein', 'Xiangyu Li', 'Zhongshi Zhang', 'Chuncheng Guo', 'Kerim H. Nisancioglu', 'Qiong Zhang', 'Qiang Li', 'Youichi Kamae', 'Mark A. Chandler', 'Linda E. Sohl', 'Bette L. Otto-Bliesner', 'Ran Feng', 'Esther C. Brady', 'Anna S. von der Heydt', 'Michiel L. J. Baatsen', 'Daniel J. Lunt']",2020,10.5194/cp-16-2095-2020
30,Annals of the New York Academy of Sciences,Annals of the New York Academy of Sciences,"['Ian Simmonds', 'Muyuan Li']",2021,10.1111/nyas.14673
31,Science of The Total Environment,Science of The Total Environment,"['Juha Aalto', 'Ilari Lehtonen', 'Pentti Pirinen', 'Kaisu Aapala', 'Risto K. Heikkinen']",2023,10.1016/j.scitotenv.2023.164782
32,Geophysical Research Letters,Geophysical Research Letters,"['E. W. Kolstad', 'J. A. Screen']",2019,10.1029/2019GL083059
33,Nature Communications,Nature Communications,"['Tetsu Nakamura', 'Koji Yamazaki', 'Tomonori Sato', 'Jinro Ukita']",2019,10.1038/s41467-019-13124-2
34,Weather and Climate Extremes,Weather and Climate Extremes,"['Karianne Ødemark', 'Malte Müller', 'Cyril Palerme', 'Ole Einar Tveito']",2023,10.1016/j.wace.2022.100530
35,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Qikai Yu', 'Bingyi Wu']",2023,10.1029/2022JD037104
