,journal_title,article_title,contributors,year,doi
0,Journal of Climate,Journal of Climate,"['Anna Lea Albright', 'Cristian Proistosescu', 'Peter Huybers']",2021,10.1175/JCLI-D-21-0167.1
1,Geophysical Research Letters,Geophysical Research Letters,"['A. L. Jones', 'D. R. Feldman', 'S. Freidenreich', 'D. Paynter', 'V. Ramaswamy', 'W. D. Collins', 'R. Pincus']",2017,10.1002/2017GL075933
2,Nature Communications,Nature Communications,"['Shiv Priyam Raghuraman', 'David Paynter', 'V. Ramaswamy']",2021,10.1038/s41467-021-24544-4
3,Earth's Future,Earth's Future,"['T. Chakraborty', 'X. Lee', 'D. M. Lawrence']",2022,10.1029/2022EF002805
4,Environmental Research Letters,Environmental Research Letters,"['Linnea L Huusko', 'Frida A-M Bender', 'Annica M L Ekman', 'Trude Storelvmo']",2021,10.1088/1748-9326/ac0748
5,Geoscientific Model Development,Geoscientific Model Development,"['Meng-Zhuo Zhang', 'Zhongfeng Xu', 'Ying Han', 'Weidong Guo']",2021,10.5194/gmd-14-3079-2021
6,Climate Dynamics,Climate Dynamics,"['Fei Wang', 'Hua Zhang', 'Qiuyan Wang', 'Bing Xie', 'Xixun Zhou', 'Qingquan Liu']",2023,10.1007/s00382-022-06369-z
7,Agricultural and Forest Meteorology,Agricultural and Forest Meteorology,"['Qian Zhao', 'Zaichun Zhu', 'Hui Zeng', 'Weiqing Zhao', 'Ranga B. Myneni']",2020,10.1016/j.agrformet.2020.108111
8,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Christopher J. Smith', 'Ryan J. Kramer', 'Gunnar Myhre', 'Kari Alterskjær', 'William Collins', 'Adriana Sima', 'Olivier Boucher', 'Jean-Louis Dufresne', 'Pierre Nabat', 'Martine Michou', 'Seiji Yukimoto', 'Jason Cole', 'David Paynter', 'Hideo Shiogama', ""Fiona M. O'Connor"", 'Eddy Robertson', 'Andy Wiltshire', 'Timothy Andrews', 'Cécile Hannay', 'Ron Miller', 'Larissa Nazarenko', 'Alf Kirkevåg', 'Dirk Olivié', 'Stephanie Fiedler', 'Anna Lewinschal', 'Chloe Mackallah', 'Martin Dix', 'Robert Pincus', 'Piers M. Forster']",2020,10.5194/acp-20-9591-2020
9,npj Climate and Atmospheric Science,npj Climate and Atmospheric Science,"['Ragnhild Bieltvedt Skeie', 'Gunnar Myhre', 'Øivind Hodnebrog', 'Philip J. Cameron-Smith', 'Makoto Deushi', 'Michaela I. Hegglin', 'Larry W. Horowitz', 'Ryan J. Kramer', 'Martine Michou', 'Michael J. Mills', 'Dirk J. L. Olivié', 'Fiona M. O’ Connor', 'David Paynter', 'Bjørn H. Samset', 'Alistair Sellar', 'Drew Shindell', 'Toshihiko Takemura', 'Simone Tilmes', 'Tongwen Wu']",2020,10.1038/s41612-020-00131-0
10,Environmental Research Letters,Environmental Research Letters,"['Klaus Wyser', 'Erik Kjellström', 'Torben Koenigk', 'Helena Martins', 'Ralf Döscher']",2020,10.1088/1748-9326/ab81c2
11,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Roland Séférian', 'Pierre Nabat', 'Martine Michou', 'David Saint‐Martin', 'Aurore Voldoire', 'Jeanne Colin', 'Bertrand Decharme', 'Christine Delire', 'Sarah Berthet', 'Matthieu Chevallier', 'Stephane Sénési', 'Laurent Franchisteguy', 'Jessica Vial', 'Marc Mallet', 'Emilie Joetzjer', 'Olivier Geoffroy', 'Jean‐François Guérémy', 'Marie‐Pierre Moine', 'Rym Msadek', 'Aurélien Ribes', 'Matthias Rocher', 'Romain Roehrig', 'David Salas‐y‐Mélia', 'Emilia Sanchez', 'Laurent Terray', 'Sophie Valcke', 'Robin Waldman', 'Olivier Aumont', 'Laurent Bopp', 'Julie Deshayes', 'Christian Éthé', 'Gurvan Madec']",2019,10.1029/2019MS001791
12,Nature Climate Change,Nature Climate Change,"['Malte F. Stuecker', 'Axel Timmermann', 'Fei-Fei Jin', 'Cristian Proistosescu', 'Sarah M. Kang', 'Doyeon Kim', 'Kyung-Sook Yun', 'Eui-Seok Chung', 'Jung-Eun Chu', 'Cecilia M. Bitz', 'Kyle C. Armour', 'Michiya Hayashi']",2020,10.1038/s41558-019-0667-6
13,Climate Dynamics,Climate Dynamics,"['J. M. Gregory', 'T. Andrews', 'P. Ceppi', 'T. Mauritsen', 'M. J. Webb']",2020,10.1007/s00382-019-04991-y
14,The Planetary Science Journal,The Planetary Science Journal,"['Duncan A. Christie', 'Elspeth K. H. Lee', 'Hamish Innes', 'Pascal A. Noti', 'Benjamin Charnay', 'Thomas J. Fauchez', 'Nathan J. Mayne', 'Russell Deitrick', 'Feng Ding', 'Jennifer J. Greco', 'Mark Hammond', 'Isaac Malsky', 'Avi Mandell', 'Emily Rauscher', 'Michael T. Roman', 'Denis E. Sergeev', 'Linda Sohl', 'Maria E. Steinrueck', 'Martin Turbet', 'Eric T. Wolf', 'Maria Zamyatina', 'Ludmila Carone']",2022,10.3847/PSJ/ac9dfe
15,Earth System Dynamics,Earth System Dynamics,"['Benjamin M. Sanderson', 'Maria Rugenstein']",2022,10.5194/esd-13-1715-2022
16,Geoscientific Model Development,Geoscientific Model Development,"['Nathan P. Gillett', 'Hideo Shiogama', 'Bernd Funke', 'Gabriele Hegerl', 'Reto Knutti', 'Katja Matthes', 'Benjamin D. Santer', 'Daithi Stone', 'Claudia Tebaldi']",2016,10.5194/gmd-9-3685-2016
17,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['M. Zhao', 'J.-C. Golaz', 'I. M. Held', 'H. Guo', 'V. Balaji', 'R. Benson', 'J.-H. Chen', 'X. Chen', 'L. J. Donner', 'J. P. Dunne', 'K. Dunne', 'J. Durachta', 'S.-M. Fan', 'S. M. Freidenreich', 'S. T. Garner', 'P. Ginoux', 'L. M. Harris', 'L. W. Horowitz', 'J. P. Krasting', 'A. R. Langenhorst', 'Z. Liang', 'P. Lin', 'S.-J. Lin', 'S. L. Malyshev', 'E. Mason', 'P. C. D. Milly', 'Y. Ming', 'V. Naik', 'F. Paulot', 'D. Paynter', 'P. Phillipps', 'A. Radhakrishnan', 'V. Ramaswamy', 'T. Robinson', 'D. Schwarzkopf', 'C. J. Seman', 'E. Shevliakova', 'Z. Shen', 'H. Shin', 'L. G. Silvers', 'J. R. Wilson', 'M. Winton', 'A. T. Wittenberg', 'B. Wyman', 'B. Xiang']",2018,10.1002/2017MS001209
18,Geoscientific Model Development,Geoscientific Model Development,"['Charlotte Pascoe', 'Bryan N. Lawrence', 'Eric Guilyardi', 'Martin Juckes', 'Karl E. Taylor']",2020,10.5194/gmd-13-2149-2020
19,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Robert J. Allen', 'Steven Turnock', 'Pierre Nabat', 'David Neubauer', 'Ulrike Lohmann', 'Dirk Olivié', 'Naga Oshima', 'Martine Michou', 'Tongwen Wu', 'Jie Zhang', 'Toshihiko Takemura', 'Michael Schulz', 'Kostas Tsigaridis', 'Susanne E. Bauer', 'Louisa Emmons', 'Larry Horowitz', 'Vaishali Naik', 'Twan van Noije', 'Tommi Bergman', 'Jean-Francois Lamarque', 'Prodromos Zanis', 'Ina Tegen', 'Daniel M. Westervelt', 'Philippe Le Sager', 'Peter Good', 'Sungbo Shim', ""Fiona O'Connor"", 'Dimitris Akritidis', 'Aristeidis K. Georgoulias', 'Makoto Deushi', 'Lori T. Sentman', 'Jasmin G. John', 'Shinichiro Fujimori', 'William J. Collins']",2020,10.5194/acp-20-9641-2020
20,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['D. Watson‐Parris', 'Y. Rao', 'D. Olivié', 'Ø. Seland', 'P. Nowack', 'G. Camps‐Valls', 'P. Stier', 'S. Bouabid', 'M. Dewey', 'E. Fons', 'J. Gonzalez', 'P. Harder', 'K. Jeggle', 'J. Lenhardt', 'P. Manshausen', 'M. Novitasari', 'L. Ricard', 'C. Roesch']",2022,10.1029/2021MS002954
21,Geoscientific Model Development,Geoscientific Model Development,"['Stephanie Fiedler', 'Bjorn Stevens', 'Matthew Gidden', 'Steven J. Smith', 'Keywan Riahi', 'Detlef van Vuuren']",2019,10.5194/gmd-12-989-2019
22,Geophysical Research Letters,Geophysical Research Letters,"['Yue Dong', 'Andrew G. Pauling', 'Shaina Sadai', 'Kyle C. Armour']",2022,10.1029/2022GL101249
23,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Robert Pincus', 'Stefan A. Buehler', 'Manfred Brath', 'Cyril Crevoisier', 'Omar Jamil', 'K. Franklin Evans', 'James Manners', 'Raymond L. Menzel', 'Eli J. Mlawer', 'David Paynter', 'Rick L. Pernak', 'Yoann Tellier']",2020,10.1029/2020JD033483
