,journal_title,article_title,contributors,year,doi
0,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Jie Wu', 'Ying Shi', 'Ying Xu']",2020,10.1029/2020JD033611
1,Journal of Hydrology: Regional Studies,Journal of Hydrology: Regional Studies,"['Sophal Try', 'Shigenobu Tanaka', 'Kenji Tanaka', 'Takahiro Sayama', 'Temur Khujanazarov', 'Chantha Oeurng']",2022,10.1016/j.ejrh.2022.101035
2,Arabian Journal of Geosciences,Arabian Journal of Geosciences,"['David Francisco Bustos Usta', 'Maryam Teymouri', 'Uday Chatterjee']",2022,10.1007/s12517-022-09709-9
3,Water Resources Research,Water Resources Research,"['André S. Ballarin', 'José Gescilam Sousa Mota Uchôa', 'Matheus S. dos Santos', 'André Almagro', 'Ianca P. Miranda', 'Pedro Gustavo C. da Silva', 'Greicelene J. da Silva', 'Marcus N. Gomes Júnior', 'Edson Wendland', 'Paulo Tarso S. Oliveira']",2023,10.1029/2023WR034914
4,Geophysical Research Letters,Geophysical Research Letters,['I. Cnossen'],2022,10.1029/2022GL100693
5,Environmental Research Letters,Environmental Research Letters,"['Donghyun Lee', 'Seung-Ki Min', 'Joong-Bae Ahn', 'Dong-Hyun Cha', 'Seok-Woo Shin', 'Eun-Chul Chang', 'Myoung-Seok Suh', 'Young-Hwa Byun', 'Jin-Uk Kim']",2023,10.1088/1748-9326/acd208
6,Remote Sensing,Remote Sensing,"['Tianqi Bai', 'Like Fan', 'Genxin Song', 'Hongquan Song', 'Xutong Ru', 'Yaobin Wang', 'Haopeng Zhang', 'Ruiqi Min', 'Weijiao Wang']",2023,10.3390/rs15102601
7,Sustainability,Sustainability,"['Yueping Deng', 'Wenyu Jiang', 'Tianyu Zhang', 'Jing Chen', 'Zhi Wu', 'Yuanqing Liu', 'Xinyue Tao', 'Bo Liu']",2023,10.3390/su15108194
8,Journal of Climate,Journal of Climate,"['Sihua Huang', 'Bin Wang', 'Zhiping Wen']",2020,10.1175/JCLI-D-19-1002.1
9,Earth System Dynamics,Earth System Dynamics,"['Xinyuan Hou', 'Martin Wild', 'Doris Folini', 'Stelios Kazadzis', 'Jan Wohland']",2021,10.5194/esd-12-1099-2021
10,Energy,Energy,"['Shuangyi Zhang', 'Xichen Li']",2021,10.1016/j.energy.2020.119321
11,Nature Climate Change,Nature Climate Change,"['Alexander Koch', 'Jed O. Kaplan']",2022,10.1038/s41558-022-01289-6
12,SSRN Electronic Journal,SSRN Electronic Journal,"['Shuaifeng Song', 'Xiaodong Yan']",2022,10.2139/ssrn.4074639
13,Global Change Biology,Global Change Biology,"['Jennifer K. McWhorter', 'Paul R. Halloran', 'George Roff', 'William J. Skirving', 'Peter J. Mumby']",2022,10.1111/gcb.16323
14,Remote Sensing,Remote Sensing,"['Huiqing Bai', 'Zhongxiang Sun', 'Xuenan Yao', 'Junhua Kong', 'Yongjian Wang', 'Xiaoyu Zhang', 'Weiping Chen', 'Peige Fan', 'Shaohua Li', 'Zhenchang Liang', 'Zhanwu Dai']",2022,10.3390/rs14153717
15,Earth's Future,Earth's Future,"['T. E. Wong', 'C. Ledna', 'L. Rennels', 'H. Sheets', 'F. C. Errickson', 'D. Diaz', 'D. Anthoff']",2022,10.1029/2022EF003061
16,Atmosphere,Atmosphere,"['Fernanda Casagrande', 'Francisco A. B. Neto', 'Ronald B. de Souza', 'Paulo Nobre']",2021,10.3390/atmos12111494
17,Negative Emissions: The Role and Response of the Climate System,Greenhouse Gas Removal Technologies,['Chris D. Jones'],2022,10.1039/9781839165245-00027
18,Earth System Dynamics,Earth System Dynamics,"['Sjoukje Y. Philip', 'Sarah F. Kew', 'Geert Jan van Oldenborgh', 'Faron S. Anslow', 'Sonia I. Seneviratne', 'Robert Vautard', 'Dim Coumou', 'Kristie L. Ebi', 'Julie Arrighi', 'Roop Singh', 'Maarten van Aalst', 'Carolina Pereira Marghidan', 'Michael Wehner', 'Wenchang Yang', 'Sihan Li', 'Dominik L. Schumacher', 'Mathias Hauser', 'Rémy Bonnet', 'Linh N. Luu', 'Flavio Lehner', 'Nathan Gillett', 'Jordis S. Tradowsky', 'Gabriel A. Vecchi', 'Chris Rodell', 'Roland B. Stull', 'Rosie Howard', 'Friederike E. L. Otto']",2022,10.5194/esd-13-1689-2022
19,Geophysical Research Letters,Geophysical Research Letters,"['Kimberley J. Reid', ""Travis A. O'Brien"", 'Andrew D. King', 'Todd P. Lane']",2021,10.1029/2021GL095335
20,Sustainable Energy Technologies and Assessments,Sustainable Energy Technologies and Assessments,"['Yasmine Zakari', 'Adrien Michel', 'Michael Lehning']",2022,10.1016/j.seta.2022.102460
