,journal_title,article_title,contributors,year,doi
0,Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans,"['Patricia DeRepentigny', 'Alexandra Jahn', 'Marika M. Holland', 'Abigail Smith']",2020,10.1029/2020JC016133
1,The Cryosphere,The Cryosphere,"['Steffen Tietsche', 'Magdalena Alonso-Balmaseda', 'Patricia Rosnay', 'Hao Zuo', 'Xiangshan Tian-Kunze', 'Lars Kaleschke']",2018,10.5194/tc-12-2051-2018
2,Monthly Weather Review,Monthly Weather Review,"['Hiroshi Sumata', 'Frank Kauker', 'Michael Karcher', 'Rüdiger Gerdes']",2019,10.1175/MWR-D-18-0360.1
3,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Shengzhe Chen', 'Jiping Liu', 'Yifan Ding', 'Yuanyuan Zhang', 'Xiao Cheng', 'Yongyun Hu']",2021,10.1007/s00376-020-0213-5
4,Climate of the Past,Climate of the Past,"['Marie Sicard', 'Masa Kageyama', 'Sylvie Charbit', 'Pascale Braconnot', 'Jean-Baptiste Madeleine']",2022,10.5194/cp-18-607-2022
5,The Cryosphere,The Cryosphere,"['Abigail Smith', 'Alexandra Jahn', 'Clara Burgard', 'Dirk Notz']",2022,10.5194/tc-16-3235-2022
6,Journal of Climate,Journal of Climate,"['Jake Aylmer', 'David Ferreira', 'Daniel Feltham']",2020,10.1175/JCLI-D-19-0761.1
7,Frontiers in Earth Science,Frontiers in Earth Science,"['Sirui Li', 'Gang Huang', 'Xichen Li', 'Jiping Liu', 'Guangzhou Fan']",2021,10.3389/feart.2021.649743
8,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Chao‐Yuan Yang', 'Jiping Liu', 'Shiming Xu']",2020,10.1029/2019MS001938
9,Remote Sensing,Remote Sensing,"['Marko Mäkynen', 'Jari Haapala', 'Giuseppe Aulicino', 'Beena Balan-Sarojini', 'Magdalena Balmaseda', 'Alexandru Gegiuc', 'Fanny Girard-Ardhuin', 'Stefan Hendricks', 'Georg Heygster', 'Larysa Istomina', 'Lars Kaleschke', 'Juha Karvonen', 'Thomas Krumpen', 'Mikko Lensu', 'Michael Mayer', 'Flavio Parmiggiani', 'Robert Ricker', 'Eero Rinne', 'Amelie Schmitt', 'Markku Similä', 'Steffen Tietsche', 'Rasmus Tonboe', 'Peter Wadhams', 'Mai Winstrup', 'Hao Zuo']",2020,10.3390/rs12071214
10,The Cryosphere,The Cryosphere,"['David Docquier', 'François Massonnet', 'Antoine Barthélemy', 'Neil F. Tandon', 'Olivier Lecomte', 'Thierry Fichefet']",2017,10.5194/tc-11-2829-2017
11,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['David A. Bailey', 'Marika M. Holland', 'Alice K. DuVivier', 'Elizabeth C. Hunke', 'Adrian K. Turner']",2020,10.1029/2020MS002154
12,Ocean Science,Ocean Science,['Céline Heuzé'],2017,10.5194/os-13-609-2017
13,Earth and Space Science,Earth and Space Science,"['Sandra O. Brugger', 'Adrian A. Jimenez', 'Leandro Ponsoni', 'Claire Todd']",2022,10.1029/2021EA002111
