,journal_title,article_title,contributors,year,doi
0,Anthropocene,Anthropocene,"['Jonathan M. Winter', 'Jose R. Lopez', 'Alex C. Ruane', 'Charles A. Young', 'Bridget R. Scanlon', 'Cynthia Rosenzweig']",2017,10.1016/j.ancene.2017.05.002
1,BioScience,BioScience,"['Bonnie J E Myers', 'Sarah R Weiskopf', 'Alexey N Shiklomanov', 'Simon Ferrier', 'Ensheng Weng', 'Kimberly A Casey', 'Mike Harfoot', 'Stephen T Jackson', 'Allison K Leidner', 'Timothy M Lenton', 'Gordon Luikart', 'Hiroyuki Matsuda', 'Nathalie Pettorelli', 'Isabel M D Rosa', 'Alex C Ruane', 'Gabriel B Senay', 'Shawn P Serbin', 'Derek P Tittensor', 'T Douglas Beard']",2021,10.1093/biosci/biab094
2,Geoscientific Model Development,Geoscientific Model Development,"['Martin Juckes', 'Karl E. Taylor', 'Paul J. Durack', 'Bryan Lawrence', 'Matthew S. Mizielinski', 'Alison Pamment', 'Jean-Yves Peterschmitt', 'Michel Rixen', 'Stéphane Sénési']",2020,10.5194/gmd-13-201-2020
3,Ocean Biomass and Climate Change,Reference Module in Earth Systems and Environmental Sciences,"['Andrea Bryndum-Buchholz', 'Heike K. Lotze', 'Camilla Novaglio', 'Tyler D. Eddy']",2023,10.1016/B978-0-323-90798-9.00010-X
4,European Journal of Agronomy,European Journal of Agronomy,"['E. Poisson', 'A. Mollier', 'J. Trouverie', 'J.-C. Avice', 'S. Brunel-Muguet']",2018,10.1016/j.eja.2018.05.001
5,Nature Climate Change,Nature Climate Change,"['Derek P. Tittensor', 'Camilla Novaglio', 'Cheryl S. Harrison', 'Ryan F. Heneghan', 'Nicolas Barrier', 'Daniele Bianchi', 'Laurent Bopp', 'Andrea Bryndum-Buchholz', 'Gregory L. Britten', 'Matthias Büchner', 'William W. L. Cheung', 'Villy Christensen', 'Marta Coll', 'John P. Dunne', 'Tyler D. Eddy', 'Jason D. Everett', 'Jose A. Fernandes-Salvador', 'Elizabeth A. Fulton', 'Eric D. Galbraith', 'Didier Gascuel', 'Jerome Guiet', 'Jasmin G. John', 'Jason S. Link', 'Heike K. Lotze', 'Olivier Maury', 'Kelly Ortega-Cisneros', 'Juliano Palacios-Abrantes', 'Colleen M. Petrik', 'Hubert du Pontavice', 'Jonathan Rault', 'Anthony J. Richardson', 'Lynne Shannon', 'Yunne-Jai Shin', 'Jeroen Steenbeek', 'Charles A. Stock', 'Julia L. Blanchard']",2021,10.1038/s41558-021-01173-9
6,Environmental Research Letters,Environmental Research Letters,"['Cynthia Rosenzweig', 'Nigel W Arnell', 'Kristie L Ebi', 'Hermann Lotze-Campen', 'Frank Raes', 'Chris Rapley', 'Mark Stafford Smith', 'Wolfgang Cramer', 'Katja Frieler', 'Christopher P O Reyer', 'Jacob Schewe', 'Detlef van Vuuren', 'Lila Warszawski']",2017,10.1088/1748-9326/12/1/010301
7,Water,Water,"['Magali Troin', 'Richard Arsenault', 'Elyse Fournier', 'François Brissette']",2021,10.3390/w13213112
8,Marine Ecology Progress Series,Marine Ecology Progress Series,"['A Bryndum-Buchholz', 'DG Boyce', 'DP Tittensor', 'V Christensen', 'D Bianchi', 'HK Lotze']",2020,10.3354/meps13438
9,Earth Perspectives,Earth Perspectives,"['Alex C. Ruane', 'Sonali P. McDermid']",2017,10.1186/s40322-017-0036-4
10,Atmospheric Research,Atmospheric Research,"['Shruti Verma', 'R. Bhatla', 'N.K. Shahi', 'R.K. Mall']",2022,10.1016/j.atmosres.2022.106201
