,journal_title,article_title,contributors,year,doi
0,Climate Dynamics,Climate Dynamics,"['Martin Ménégoz', 'Christophe Cassou', 'Didier Swingedouw', 'Yohan Ruprich-Robert', 'Pierre-Antoine Bretonnière', 'Francisco Doblas-Reyes']",2018,10.1007/s00382-017-3986-1
1,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Lauren R. Marshall', 'Anja Schmidt', 'Jill S. Johnson', 'Graham W. Mann', 'Lindsay A. Lee', 'Richard Rigby', 'Ken S. Carslaw']",2021,10.1029/2020JD033578
2,Journal of Climate,Journal of Climate,"['Meng Zuo', 'Wenmin Man', 'Tianjun Zhou']",2021,10.1175/JCLI-D-20-0891.1
3,Science Advances,Science Advances,"['Francesco S. R. Pausata', 'Davide Zanchettin', 'Christina Karamperidou', 'Rodrigo Caballero', 'David S. Battisti']",2020,10.1126/sciadv.aaz5006
4,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Laura E. Revell', 'Andrea Stenke', 'Beiping Luo', 'Stefanie Kremser', 'Eugene Rozanov', 'Timofei Sukhodolov', 'Thomas Peter']",2017,10.5194/acp-17-13139-2017
5,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Kevin DallaSanta', 'Lorenzo M. Polvani']",2022,10.5194/acp-22-8843-2022
6,International Journal of Climatology,International Journal of Climatology,"['Liang Ning', 'Jian Liu', 'Raymond S. Bradley', 'Mi Yan', 'Kefan Chen', 'Weiyi Sun', 'Chunhan Jin']",2020,10.1002/joc.6387
7,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Christina Brodowsky', 'Timofei Sukhodolov', 'Aryeh Feinberg', 'Michael Höpfner', 'Thomas Peter', 'Andrea Stenke', 'Eugene Rozanov']",2021,10.1029/2021JD035472
8,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Ilaria Quaglia', 'Claudia Timmreck', 'Ulrike Niemeier', 'Daniele Visioni', 'Giovanni Pitari', 'Christina Brodowsky', 'Christoph Brühl', 'Sandip S. Dhomse', 'Henning Franke', 'Anton Laakso', 'Graham W. Mann', 'Eugene Rozanov', 'Timofei Sukhodolov']",2023,10.5194/acp-23-921-2023
9,Journal of Geophysical Research: Biogeosciences,Journal of Geophysical Research: Biogeosciences,"['Atsushi Obata', 'Yukimasa Adachi']",2019,10.1029/2018JG004696
10,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Evgeniya Predybaylo', 'Georgiy L. Stenchikov', 'Andrew T. Wittenberg', 'Fanrong Zeng']",2017,10.1002/2016JD025796
11,Journal of Climate,Journal of Climate,"['Meng Zuo', 'Wenmin Man', 'Tianjun Zhou', 'Zhun Guo']",2018,10.1175/JCLI-D-17-0571.1
12,Science Advances,Science Advances,"['Seungmok Paik', 'Seung-Ki Min', 'Carley E. Iles', 'Erich M. Fischer', 'Andrew P. Schurer']",2020,10.1126/sciadv.aba1212
13,Nature Communications,Nature Communications,"['J. T. Fasullo', 'R. Tomas', 'S. Stevenson', 'B. Otto-Bliesner', 'E. Brady', 'E. Wahl']",2017,10.1038/s41467-017-01302-z
14,Geoscientific Model Development,Geoscientific Model Development,"['Charlotte Pascoe', 'Bryan N. Lawrence', 'Eric Guilyardi', 'Martin Juckes', 'Karl E. Taylor']",2020,10.5194/gmd-13-2149-2020
15,Geophysical Research Letters,Geophysical Research Letters,"['John T. Fasullo', 'Bette L. Otto‐Bliesner', 'Samantha Stevenson']",2019,10.1029/2019GL084377
16,Earth System Dynamics,Earth System Dynamics,"['Sebastian Illing', 'Christopher Kadow', 'Holger Pohlmann', 'Claudia Timmreck']",2018,10.5194/esd-9-701-2018
17,The Effect of Strong Volcanic Eruptions on ENSO,El Niño Southern Oscillation in a Changing Climate,"['Shayne McGregor', 'Myriam Khodri', 'Nicola Maher', 'Masamichi Ohba', 'Francesco S. R. Pausata', 'Samantha Stevenson']",2020,10.1002/9781119548164.ch12
18,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Hans Brenna', 'Steffen Kutterolf', 'Michael J. Mills', 'Kirstin Krüger']",2020,10.5194/acp-20-6521-2020
19,Climate of the Past,Climate of the Past,"['Markus Stoffel', 'Christophe Corona', 'Francis Ludlow', 'Michael Sigl', 'Heli Huhtamaa', 'Emmanuel Garnier', 'Samuli Helama', 'Sébastien Guillet', 'Arlene Crampsie', 'Katrin Kleemann', 'Chantal Camenisch', 'Joseph McConnell', 'Chaochao Gao']",2022,10.5194/cp-18-1083-2022
20,Climate Dynamics,Climate Dynamics,"['Peter O. Hopcroft', 'Jessy Kandlbauer', 'Paul J. Valdes', 'R. Stephen J. Sparks']",2018,10.1007/s00382-017-3964-7
21,Environmental Modelling & Software,Environmental Modelling & Software,"['Ziheng Sun', 'Liping Di', 'Benjamin Cash', 'Juozas Gaigalas']",2020,10.1016/j.envsoft.2019.104559
22,Climate of the Past,Climate of the Past,"['Claudia Timmreck', 'Matthew Toohey', 'Davide Zanchettin', 'Stefan Brönnimann', 'Elin Lundstad', 'Rob Wilson']",2021,10.5194/cp-17-1455-2021
23,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Chloe Yuchao Gao', 'Vaishali Naik', 'Larry W. Horowitz', 'Paul Ginoux', 'Fabien Paulot', 'John Dunne', 'Michael Mills', 'Valentina Aquila', 'Peter Colarco']",2023,10.1029/2022MS003532
24,Science,Science,"['Sylvia G. Dee', 'Kim M. Cobb', 'Julien Emile-Geay', 'Toby R. Ault', 'R. Lawrence Edwards', 'Hai Cheng', 'Christopher D. Charles']",2020,10.1126/science.abc1733
25,Geoscientific Model Development,Geoscientific Model Development,"['Rumi Ohgaito', 'Akitomo Yamamoto', 'Tomohiro Hajima', ""Ryouta O'ishi"", 'Manabu Abe', 'Hiroaki Tatebe', 'Ayako Abe-Ouchi', 'Michio Kawamiya']",2021,10.5194/gmd-14-1195-2021
26,Bulletin of Volcanology,Bulletin of Volcanology,"['Thomas J. Aubry', 'Jamie I. Farquharson', 'Colin R. Rowell', 'Sebastian F. L. Watt', 'Virginie Pinel', 'Frances Beckett', 'John Fasullo', 'Peter O. Hopcroft', 'David M. Pyle', 'Anja Schmidt', 'John Staunton Sykes']",2022,10.1007/s00445-022-01562-8
27,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Mohamed Abdelkader', 'Georgiy Stenchikov', 'Andrea Pozzer', 'Holger Tost', 'Jos Lelieveld']",2023,10.5194/acp-23-471-2023
28,Land,Land,['Brice B. Hanberry'],2022,10.3390/land11091536
29,Geoscientific Model Development,Geoscientific Model Development,"['Doug M. Smith', 'James A. Screen', 'Clara Deser', 'Judah Cohen', 'John C. Fyfe', 'Javier García-Serrano', 'Thomas Jung', 'Vladimir Kattsov', 'Daniela Matei', 'Rym Msadek', 'Yannick Peings', 'Michael Sigmond', 'Jinro Ukita', 'Jin-Ho Yoon', 'Xiangdong Zhang']",2019,10.5194/gmd-12-1139-2019
30,Geoscientific Model Development,Geoscientific Model Development,"['Yann Quilcaille', 'Thomas Gasser', 'Philippe Ciais', 'Olivier Boucher']",2023,10.5194/gmd-16-1129-2023
31,Geophysical Research Letters,Geophysical Research Letters,"['Davide Zanchettin', 'Claudia Timmreck', 'Matthew Toohey', 'Johann H. Jungclaus', 'Matthias Bittner', 'Stephan J. Lorenz', 'Angelo Rubino']",2019,10.1029/2018GL081018
32,Weather and Climate Extremes,Weather and Climate Extremes,"['Tianyun Dong', 'Xian Zhu', 'Rong Deng', 'Yiling Ma', 'Wenjie Dong']",2022,10.1016/j.wace.2022.100497
33,Quaternary Science Reviews,Quaternary Science Reviews,"['Gill Plunkett', 'Michael Sigl', 'Joseph R. McConnell', 'Jonathan R. Pilcher', 'Nathan J. Chellman']",2023,10.1016/j.quascirev.2022.107936
34,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Alison Ming', 'V. Holly L. Winton', 'James Keeble', 'Nathan L. Abraham', 'Mohit C. Dalvi', 'Paul Griffiths', 'Nicolas Caillon', 'Anna E. Jones', 'Robert Mulvaney', 'Joël Savarino', 'Markus M. Frey', 'Xin Yang']",2020,10.1029/2019JD032290
35,Climate of the Past,Climate of the Past,"['Ulrike Niemeier', 'Felix Riede', 'Claudia Timmreck']",2021,10.5194/cp-17-633-2021
36,Nature Communications,Nature Communications,"['Myriam Khodri', 'Takeshi Izumo', 'Jérôme Vialard', 'Serge Janicot', 'Christophe Cassou', 'Matthieu Lengaigne', 'Juliette Mignot', 'Guillaume Gastineau', 'Eric Guilyardi', 'Nicolas Lebas', 'Alan Robock', 'Michael J. McPhaden']",2017,10.1038/s41467-017-00755-6
37,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Sandip S. Dhomse', 'Graham W. Mann', 'Juan Carlos Antuña Marrero', 'Sarah E. Shallcross', 'Martyn P. Chipperfield', 'Kenneth S. Carslaw', 'Lauren Marshall', 'N. Luke Abraham', 'Colin E. Johnson']",2020,10.5194/acp-20-13627-2020
