,journal_title,article_title,contributors,year,doi
0,Scientific Reports,Scientific Reports,"['Benjamin M. Sanderson', 'Brian C. O’Neill']",2020,10.1038/s41598-020-66275-4
1,Biogeosciences,Biogeosciences,['Andrew H. MacDougall'],2021,10.5194/bg-18-4937-2021
2,Geoscience Data Journal,Geoscience Data Journal,"['Zebedee Nicholls', 'Jared Lewis', 'Melissa Makin', 'Usha Nattala', 'Geordie Z. Zhang', 'Simon J. Mutch', 'Edoardo Tescari', 'Malte Meinshausen']",2021,10.1002/gdj3.113
3,Nature Communications,Nature Communications,"['Jörg Schwinger', 'Ali Asaadi', 'Nadine Goris', 'Hanna Lee']",2022,10.1038/s41467-022-28573-5
4,Energy and Climate Change,Energy and Climate Change,"['Inês Azevedo', 'Christopher Bataille', 'John Bistline', 'Leon Clarke', 'Steven Davis']",2021,10.1016/j.egycc.2021.100066
5,Earth System Dynamics,Earth System Dynamics,"['Susanne Baur', 'Alexander Nauels', 'Zebedee Nicholls', 'Benjamin M. Sanderson', 'Carl-Friedrich Schleussner']",2023,10.5194/esd-14-367-2023
6,Nature Climate Change,Nature Climate Change,"['Michael Sigmond', 'John C. Fyfe', 'Oleg A. Saenko', 'Neil C. Swart']",2020,10.1038/s41558-020-0786-0
7,Biogeosciences,Biogeosciences,"['Andrew H. MacDougall', 'Thomas L. Frölicher', 'Chris D. Jones', 'Joeri Rogelj', 'H. Damon Matthews', 'Kirsten Zickfeld', 'Vivek K. Arora', 'Noah J. Barrett', 'Victor Brovkin', 'Friedrich A. Burger', 'Micheal Eby', 'Alexey V. Eliseev', 'Tomohiro Hajima', 'Philip B. Holden', 'Aurich Jeltsch-Thömmes', 'Charles Koven', 'Nadine Mengis', 'Laurie Menviel', 'Martine Michou', 'Igor I. Mokhov', 'Akira Oka', 'Jörg Schwinger', 'Roland Séférian', 'Gary Shaffer', 'Andrei Sokolov', 'Kaoru Tachiiri', 'Jerry Tjiputra', 'Andrew Wiltshire', 'Tilo Ziehn']",2020,10.5194/bg-17-2987-2020
8,Geophysical Research Letters,Geophysical Research Letters,"['Z. Nicholls', 'M. Meinshausen', 'J. Lewis', 'C. J. Smith', 'P. M. Forster', 'J. S. Fuglestvedt', 'J. Rogelj', 'J. S. Kikstra', 'K. Riahi', 'E. Byers']",2022,10.1029/2022GL099788
9,Geoscientific Model Development,Geoscientific Model Development,"['Marina Martínez Montero', 'Michel Crucifix', 'Victor Couplet', 'Nuria Brede', 'Nicola Botta']",2022,10.5194/gmd-15-8059-2022
