NAME,YEAR,LEAD,PAPER,DOI
AMIP1,1992,Gates et al., 1992 BAMS,10.1175/1520-0477(1992)073<1962:ATAMIP>2.0.CO;2
CMIP1,1995,Meehl et al., 1995 BAMS,10.1175/1520-0477-76.6.951
CMIP2,2005,Meehl et al., 2005 BAMS - 230413 - 231 Web of Science; 339 Google Scholar,10.1175/BAMS-86-1-89
CMIP3,2007,Meehl et al., 2007 BAMS - 230413 - 2175 Web of Science; 3272 Google Scholar,10.1175/BAMS-88-9-1383
CMIP5,2012,Taylor et al., 2012 BAMS - 230413 - 10091 web of science; 14336 Google Scholar,10.1175/BAMS-D-11-00094.1
CMIP6,2016,Eyring et al., 2016 GMD - 230413 - 3372 Web of Science; 4834 Google Scholar,10.5194/gmd-9-1937-2016
AERCMIP,2017,Collins et al., 2017,10.5194/gmd-10-585-2017
C4MIP,2016,Jones et al., 2016,10.5194/gmd-9-2853-2016
CFMIP,2016,Webb et al., 2017,10.5194/gmd-10-359-2017
CORDEX,2016,Gutowski et al., 2016,10.5194/gmd-9-4087-2016
DAMIP,2016,Gillett et al., 2016,10.5194/gmd-9-3685-2016
DCPP,2016,Boer et al., 2016,10.5194/gmd-9-3751-2016
DYNVARMIP,2016,Gerber & Manzini, 2016,10.5194/gmd-9-3413-2016
FAFMIP,2016,Gregory et al., 2016,10.5194/gmd-9-3993-2016
GEOMIP6,2015,Kravitz et al., 2015,10.5194/gmd-8-3379-2015
GMMIP,2016,Zhou et al., 2016,10.5194/gmd-9-3589-2016
HIGHRESMIP,2016,Haarsma et al., 2016,10.5194/gmd-9-4185-2016
ISMIP6,2016,Nowicki et al., 2016,10.5194/gmd-9-4521-2016
LS3MIP,2016,van den Hurk et al., 2016,10.5194/gmd-9-2809-2016
LUMIP,2016,Lawrence et al., 2016,10.5194/gmd-9-2973-2016
OMIP1,2016,Griffies et al., 2016,10.5194/gmd-9-3231-2016
OMIP2,2017,Orr et al., 2017,10.5194/gmd-10-2169-2017
PAMIP,2019,Smith et al., 2019,10.5194/gmd-12-1139-2019
PMIP4,2018,Kageyama et al., 2018,10.5194/gmd-11-1033-2018
RFMIP,2016,Pincus et al., 2016,10.5194/gmd-9-3447-2016
SCENARIOMIP,2016,O'Neill et al., 2016,10.5194/gmd-9-3461-2016
SIMIP,2016,Notz et al., 2016,10.5194/gmd-9-3427-2016
VIACSAB,2016,Ruane et al., 2016,10.5194/gmd-9-3493-2016
VOLMIP,2016,Zanchettin et al., 2016,10.5194/gmd-9-2701-2016
ZECMIP,2019,Jones et al., 2019,10.5194/gmd-12-4375-2019
E3SM-1-0,2019,Golaz et al., 2019 JAMES,10.1029/2018MS001603
CCSM4,2011,Gent et al., 2011 JCL,10.1175/2011JCLI4083.1
CESM1,2013,Hurrell et al., 2013 BAMS,10.1175/BAMS-D-12-00121.1
CESM2,2020,Danabasoglu et al., 2020 JAMES,10.1029/2019MS001916
